@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute value_38 numeric
@attribute class {class_0,class_1}

@data
115,292,64,25503,2,1,2,1,1,3,2,1,0,1,2,4,2,3,2,2,55,46,3,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,4,105,2,class_0
118,198,52,47201,2,1,2,1,1,3,2,1,2,1,0,0,7,1,2,1,50,45,14,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,4,103.22,2,class_0
117,354,38,35539,2,1,2,1,1,3,2,1,0,1,2,4,2,3,2,2,50,50,14,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,4,105,2,class_0
121,377,37,35539,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,50,50,10,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,4,106.66,2,class_0
124,406,32,23052,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,40,45,10,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,4,100,2,class_0
113,45,52,47201,2,1,2,1,1,1,0,1,0,0,1,1,9,1,2,2,40,45,6,15,87,1,29,0,1400,62.5,37.5,0,0,2.5,1,40,4,103.22,2,class_0
125,215,62,35816,1,1,2,1,1,1,0,1,0,1,2,6,2,2,0,2,40,41,3,15.8,72,1,30,0,2000,62.5,37.5,0,0,2.5,1,30,4,107.4,2,class_0
128,36,47,37352,1,1,2,1,1,1,0,1,0,1,2,6,9,3,3,2,40,42,3,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,4,107.4,2,class_0
129,34,47,37352,1,1,2,1,1,1,0,1,0,1,2,6,9,3,3,2,45,42,3,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,4,107.4,2,class_0
129,339,69,37080,1,1,2,1,1,1,0,1,0,0,2,7,2,3,0,2,35,42,8,15,75,0.75,30,0,2100,58.8,41.2,0,0,2,0.8,30,4,107.4,2,class_0
122,341,5,37157,1,1,2,1,1,1,0,1,0,0,2,7,2,3,0,1,30,45,6,17,70,0.75,35,0,2200,58.8,41.2,0,0,2.5,1,33,4,106.45,2,class_0
131,272,70,37080,1,1,2,1,1,1,0,1,0,0,2,7,2,3,0,2,40,47,12,17,78,0.75,35,0,2400,58.8,41.2,4,0,2.5,1,30,4,100,2,class_0
136,237,62,35811,1,1,2,1,1,1,0,1,0,1,3,2,2,2,0,1,45,38,4,15,80,0.625,30,7,1600,58.1,34.9,0,0,2.5,1.5,30,4,103.22,2,class_0
