@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1}

@data
0,1,22,1818,3,3756,2,0,0,0,0,0,class_0
20,0,17,1819,3,1037,2,0,0,0,0,0,class_0
31,0,33,1829,1,1040,1,0,0,0,1,0,class_0
53,0,21,1837,3,1000,2,0,0,0,0,0,class_0
64,1,15,1838,3,1350,2,0,0,0,2,0,class_0
75,0,19,1840,3,990,2,0,0,0,1,0,class_0
86,0,20,1844,1,1000,1,0,0,1,0,0,class_0
97,1,22,1846,3,1500,2,0,0,1,0,0,class_0
1,0,33,1848,1,900,1,0,1,0,1,0,class_0
11,0,21,1851,3,1000,2,0,0,0,1,0,class_0
12,0,33,1853,2,1417,2,0,1,0,2,0,class_0
14,1,50,1856,3,1200,2,0,0,0,1,0,class_0
13,0,26,1856,3,1800,2,0,0,0,1,0,class_0
15,0,20,1857,2,1417,2,0,0,0,1,0,class_0
16,0,17,1859,3,1030,2,0,0,1,1,1,class_0
19,0,21,1866,3,1000,2,0,0,0,1,0,class_0
21,0,25,1870,3,1000,2,0,0,0,1,0,class_0
24,1,0,1876,3,1245,2,0,0,2,2,2,class_0
23,0,16,1876,3,1200,4,1,0,0,0,0,class_0
30,0,18,1884,3,1080,2,1,0,2,1,2,class_0
29,1,22,1884,3,1000,2,1,0,2,1,0,class_0
42,0,19,1892,1,1092,1,0,0,0,0,0,class_0
47,2,45,1896,3,1300,2,1,0,2,2,2,class_0
46,1,51,1896,3,1040,2,1,0,2,2,2,class_0
52,0,27,1902,3,1850,2,1,0,2,1,2,class_0
56,1,11,1904,2,1504,2,1,0,2,2,2,class_0
61,2,46,1910,2,1620,2,1,0,2,2,2,class_0
63,2,40,1911,3,1652,2,1,0,2,2,2,class_0
67,0,30,1918,2,2300,2,0,1,2,2,2,class_0
70,0,23,1921,0,950,2,1,0,2,0,2,class_0
69,0,21,1923,3,885,4,1,0,2,1,2,class_0
71,0,25,1924,3,2365,4,1,0,2,1,0,class_0
76,0,19,1926,3,860,4,1,0,2,1,1,class_0
74,0,18,1926,3,884,4,1,0,2,1,1,class_0
3,2,43,1927,3,1770,2,1,0,2,2,1,class_0
79,0,31,1927,3,1508,2,1,0,2,1,0,class_0
78,1,47,1927,3,2663,4,0,1,2,1,1,class_0
72,1,0,1927,3,1330,4,1,0,2,2,2,class_0
81,0,23,1928,3,2678,4,1,1,2,1,2,class_0
80,1,12,1928,3,2220,2,1,1,2,1,1,class_0
77,0,17,1928,3,860,4,1,0,2,1,1,class_0
84,2,37,1931,3,1365,4,1,0,2,2,2,class_0
83,2,39,1931,3,1450,4,0,0,2,2,2,class_0
82,1,50,1931,3,1500,4,1,0,2,2,2,class_0
101,1,2,1937,3,1690,4,0,1,2,2,1,class_0
85,0,27,1939,3,1800,4,1,1,2,1,2,class_0
9,0,34,1945,3,1060,4,1,1,2,1,1,class_0
6,0,32,1945,3,1710,2,0,1,2,1,1,class_0
5,2,45,1945,3,2160,2,1,0,2,2,2,class_0
105,3,49,1945,3,2663,6,1,0,2,1,0,class_0
106,1,14,1951,3,900,4,1,0,2,1,2,class_0
88,1,5,1951,3,2423,4,1,1,2,2,2,class_0
87,1,10,1951,3,1031,4,1,0,2,2,2,class_0
95,0,30,1955,3,2300,4,0,1,2,2,2,class_0
4,2,44,1959,3,1700,2,1,0,2,2,2,class_0
90,1,0,1959,3,1000,6,1,0,2,2,2,class_0
93,0,26,1961,3,980,4,1,1,2,1,1,class_0
92,1,53,1962,3,2213,4,1,1,2,2,2,class_0
91,0,16,1969,3,870,6,1,0,2,1,2,class_0
99,2,41,1975,3,3756,6,1,0,2,2,2,class_0
98,1,51,1978,3,950,6,1,0,2,2,2,class_0
2,2,40,1982,3,1500,2,1,0,2,2,2,class_0
10,0,20,1986,3,2250,2,1,0,2,0,2,class_0
17,1,36,1863,2,1000,2,0,0,1,1,2,class_1
18,0,20,1864,2,1200,2,0,0,1,0,0,class_1
22,1,7,1874,2,1037,2,0,0,1,1,2,class_1
25,2,42,1878,2,860,2,1,0,2,1,0,class_1
26,1,1,1882,2,1350,2,1,0,2,1,2,class_1
28,0,33,1883,2,1500,2,1,0,2,1,2,class_1
27,1,3,1883,2,1150,2,1,0,2,1,0,class_1
32,0,24,1884,2,3756,2,1,0,2,1,2,class_1
34,0,23,1887,3,870,2,1,0,1,1,2,class_1
33,1,52,1887,2,1161,2,1,0,2,1,0,class_1
36,2,38,1888,2,4558,2,1,0,2,2,2,class_1
35,1,10,1889,3,1120,1,1,0,1,1,2,class_1
38,2,42,1890,3,1092,2,1,0,1,0,2,class_1
37,0,19,1890,3,1000,2,1,0,2,1,2,class_1
40,1,8,1891,3,2160,2,1,0,1,1,2,class_1
39,1,9,1891,2,1350,2,1,0,2,1,0,class_1
41,0,17,1892,3,1060,2,1,0,2,1,2,class_1
43,1,14,1893,3,2000,2,1,0,2,1,2,class_1
44,1,2,1894,3,1700,2,1,0,1,1,2,class_1
45,1,53,1895,3,2367,2,1,0,2,2,2,class_1
49,0,30,1897,2,4000,2,1,1,2,2,2,class_1
48,1,5,1897,2,2264,2,1,0,2,1,2,class_1
50,1,6,1898,2,2000,2,1,0,2,1,0,class_1
62,0,26,1900,3,1200,2,1,0,2,1,2,class_1
51,0,31,1900,3,2000,2,1,0,2,1,2,class_1
102,1,4,1901,2,1240,2,1,0,2,2,2,class_1
103,1,7,1903,2,1300,2,1,0,2,1,0,class_1
94,0,28,1903,2,3000,2,1,0,2,1,0,class_1
55,1,50,1903,2,1417,2,1,0,2,1,2,class_1
54,1,13,1903,2,1154,2,1,0,2,2,2,class_1
96,1,36,1904,2,1200,2,1,0,2,1,1,class_1
57,0,20,1904,2,965,4,1,0,2,1,1,class_1
58,3,50,1908,3,1240,1,1,1,2,1,2,class_1
60,1,15,1909,3,3756,1,1,0,2,1,2,class_1
59,0,29,1909,3,1730,2,1,0,2,2,2,class_1
100,1,1,1914,2,2210,4,1,0,2,1,2,class_1
66,2,38,1915,2,2822,2,1,0,2,2,2,class_1
65,0,16,1915,3,1000,4,1,0,2,2,2,class_1
68,0,24,1920,2,2122,2,1,0,2,1,2,class_1
73,1,8,1928,3,2250,2,1,0,2,1,0,class_1
8,0,35,1945,2,840,2,1,0,2,1,1,class_1
104,3,48,1945,2,2822,2,1,0,2,1,2,class_1
107,1,15,1950,3,1320,2,1,0,2,1,1,class_1
89,2,39,1955,3,804,4,1,0,2,1,2,class_1
