@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1}

@data
0,2,2,1,2,1,2,0,class_0
2,2,2,0,0,2,2,2,class_0
14,2,1,1,2,2,2,2,class_0
16,2,2,2,2,1,2,2,class_0
17,2,2,2,2,2,2,1,class_0
20,2,2,1,1,2,1,1,class_0
21,1,1,0,0,0,2,2,class_0
3,2,2,0,0,1,2,1,class_0
6,1,0,2,0,2,2,0,class_0
7,1,2,1,0,1,2,1,class_0
8,2,1,2,2,1,2,2,class_0
10,2,2,0,0,1,2,1,class_0
11,2,2,0,0,2,2,1,class_0
13,0,1,0,0,2,1,2,class_0
22,0,0,2,0,0,1,0,class_0
25,0,2,0,0,2,2,2,class_0
26,2,1,2,0,1,0,2,class_0
27,0,1,0,2,2,2,0,class_0
28,0,0,0,2,2,0,2,class_0
31,1,2,2,2,1,2,2,class_0
33,2,2,0,0,2,2,2,class_0
37,2,2,2,2,2,0,1,class_0
38,1,0,1,0,1,2,1,class_0
40,2,0,2,1,2,1,2,class_0
43,1,1,1,1,1,2,1,class_0
45,0,0,2,2,2,1,1,class_0
46,2,2,0,2,1,1,2,class_0
48,1,0,0,0,0,2,2,class_0
49,1,0,1,2,2,0,1,class_0
50,2,1,0,0,2,2,2,class_0
51,2,2,1,2,2,2,2,class_0
52,1,2,2,1,1,2,1,class_0
55,2,2,0,2,0,2,2,class_0
56,1,1,0,1,2,2,1,class_0
57,0,0,0,0,2,0,1,class_0
58,2,2,2,2,0,2,2,class_0
59,2,2,2,0,1,2,2,class_0
60,2,2,2,2,2,2,2,class_0
62,2,2,1,2,2,2,2,class_0
63,1,0,0,0,2,0,1,class_0
64,1,0,2,2,1,2,1,class_0
71,1,1,2,0,1,0,0,class_0
76,0,2,2,2,1,2,2,class_0
75,2,2,2,2,2,2,2,class_0
81,2,2,2,0,1,2,1,class_0
84,0,1,0,0,2,0,2,class_0
85,2,2,2,2,2,2,2,class_0
86,2,0,1,0,2,2,2,class_0
87,2,2,0,2,1,0,1,class_0
88,2,0,2,0,2,2,1,class_0
89,2,2,1,2,0,2,2,class_0
90,2,0,1,2,2,1,2,class_0
95,2,2,0,2,2,2,0,class_0
96,1,1,1,2,2,2,2,class_0
100,1,2,2,1,2,0,2,class_0
102,1,2,2,0,1,2,2,class_0
104,2,2,2,0,1,1,2,class_0
105,2,2,1,2,1,2,2,class_0
110,0,1,0,2,1,2,0,class_0
111,2,0,2,0,2,2,0,class_0
112,2,2,0,2,1,0,0,class_0
113,2,0,0,2,0,2,1,class_0
114,1,0,2,2,1,2,1,class_0
116,2,2,1,0,2,2,2,class_0
117,2,2,2,2,1,2,2,class_0
122,1,2,2,0,1,0,1,class_0
124,1,2,0,0,1,1,1,class_0
125,1,2,1,0,1,0,0,class_0
128,2,2,0,0,1,2,2,class_0
130,2,2,1,2,2,2,2,class_0
131,1,0,1,1,0,2,1,class_0
133,2,0,2,1,1,2,2,class_0
135,2,0,1,2,2,2,2,class_0
139,2,0,2,2,2,0,2,class_0
140,2,1,2,0,2,1,2,class_0
141,1,2,0,2,1,2,1,class_0
144,2,2,0,0,2,2,2,class_0
152,0,2,0,0,2,2,2,class_0
147,2,1,1,2,1,2,1,class_0
148,2,2,0,0,2,0,1,class_0
156,2,2,1,2,2,2,2,class_0
157,2,2,0,2,1,1,2,class_0
158,2,2,1,2,1,2,2,class_0
160,1,2,2,0,1,2,2,class_0
161,2,2,0,2,1,0,2,class_0
165,0,2,1,2,2,0,1,class_0
166,2,1,2,0,2,0,1,class_0
168,2,2,1,0,2,2,2,class_0
169,0,0,1,0,2,2,2,class_0
171,0,2,2,1,1,2,2,class_0
176,2,2,2,0,1,1,1,class_0
177,2,0,0,2,1,2,2,class_0
178,2,2,1,2,1,2,2,class_0
179,2,2,2,2,2,2,2,class_0
182,0,2,1,0,2,2,1,class_0
183,2,2,2,0,2,1,2,class_0
184,2,0,2,2,1,1,2,class_0
185,1,0,0,0,2,2,1,class_0
186,2,2,0,2,2,1,2,class_0
198,2,2,1,0,2,2,0,class_0
187,0,0,1,0,2,2,0,class_0
190,1,2,2,0,2,1,2,class_0
191,1,0,1,2,0,2,2,class_0
193,1,1,0,0,1,2,2,class_0
194,2,0,2,2,1,2,2,class_0
197,2,1,1,1,2,1,0,class_0
200,2,0,1,0,1,2,0,class_0
201,2,2,0,1,2,2,2,class_0
202,2,2,1,1,2,2,1,class_0
203,1,2,0,0,1,1,2,class_0
204,2,2,0,2,1,1,1,class_0
205,0,2,0,0,1,2,2,class_0
207,2,2,1,2,1,1,2,class_0
208,1,2,1,2,2,2,2,class_0
213,2,2,0,2,1,1,1,class_0
215,2,2,2,2,1,2,0,class_0
217,2,2,1,1,2,2,2,class_0
216,2,2,1,0,2,2,2,class_0
218,2,2,0,2,0,2,1,class_0
220,2,2,0,0,0,2,2,class_0
221,2,2,0,1,2,2,2,class_0
224,0,0,0,0,0,0,2,class_0
225,2,2,1,0,2,2,2,class_0
226,2,2,2,1,1,1,1,class_0
227,1,2,2,0,1,0,1,class_0
229,2,2,2,2,2,2,2,class_0
234,2,2,0,2,0,2,2,class_0
236,2,2,0,1,1,2,2,class_0
238,0,2,0,2,2,2,2,class_0
240,2,2,2,2,1,2,2,class_0
243,2,2,2,2,0,0,2,class_0
244,0,2,1,2,1,2,2,class_0
245,1,1,0,0,2,1,2,class_0
246,2,2,1,2,1,2,2,class_0
247,2,0,0,2,2,2,2,class_0
249,2,0,0,0,2,1,1,class_0
251,2,2,0,2,1,2,1,class_0
253,1,2,1,2,2,2,2,class_0
254,2,0,1,2,0,2,1,class_0
255,2,2,0,2,0,0,2,class_0
257,1,2,0,0,0,2,1,class_0
259,2,2,2,2,2,2,2,class_0
261,2,2,0,2,1,2,1,class_0
262,2,2,2,0,2,2,2,class_0
263,2,1,2,2,2,0,2,class_0
265,2,2,1,2,2,0,0,class_0
266,2,2,2,2,2,2,2,class_0
267,0,0,2,0,2,2,2,class_0
268,1,0,2,2,1,0,2,class_0
269,1,0,0,0,1,0,2,class_0
271,1,2,2,0,2,2,2,class_0
272,2,0,2,0,2,0,1,class_0
275,0,0,1,0,0,2,2,class_0
278,2,2,0,2,0,1,1,class_0
280,1,2,2,2,2,0,2,class_0
282,0,2,2,2,1,1,0,class_0
283,0,0,0,0,1,2,2,class_0
284,1,2,1,0,1,1,1,class_0
285,1,2,1,2,2,2,0,class_0
287,1,2,0,2,2,2,2,class_0
288,0,2,1,2,2,0,0,class_0
289,1,2,0,2,0,1,1,class_0
291,2,2,1,0,2,2,1,class_0
293,2,0,2,2,1,2,2,class_0
296,1,0,0,2,0,0,1,class_0
297,0,2,0,2,2,2,0,class_0
298,1,2,2,2,1,1,1,class_0
299,0,2,2,0,2,2,0,class_0
300,0,2,0,1,0,2,2,class_0
301,1,2,1,0,2,2,2,class_0
302,0,2,2,0,0,2,2,class_0
303,0,2,2,1,2,2,2,class_0
304,2,2,1,2,2,0,0,class_0
306,1,2,1,2,2,2,1,class_0
307,0,2,1,1,2,2,1,class_0
308,0,0,2,1,1,0,1,class_0
309,2,2,0,0,2,2,2,class_0
310,0,2,2,2,2,2,2,class_0
311,2,2,0,0,1,2,0,class_0
313,2,1,2,1,2,1,1,class_0
314,1,1,0,2,0,0,2,class_0
316,2,0,1,2,1,0,2,class_0
317,2,1,0,0,2,2,2,class_0
318,2,2,1,2,2,0,1,class_0
319,1,1,2,0,2,2,2,class_0
321,2,2,0,0,1,0,2,class_0
322,2,2,2,0,1,0,2,class_0
323,2,2,1,0,0,0,1,class_0
324,1,2,0,2,2,0,1,class_0
326,2,2,0,2,2,2,1,class_0
329,2,0,2,0,2,0,2,class_0
332,2,0,2,1,1,0,0,class_0
335,2,1,2,2,2,1,1,class_0
339,0,0,1,2,1,2,0,class_0
342,2,2,1,2,1,2,2,class_0
344,2,2,2,2,1,2,2,class_0
345,2,2,0,2,2,2,2,class_0
346,1,2,0,2,2,0,0,class_0
348,2,1,0,2,2,2,2,class_0
349,1,0,1,0,0,0,2,class_0
351,2,0,2,1,1,2,2,class_0
357,1,0,0,0,1,0,2,class_0
354,2,2,1,2,2,2,2,class_0
358,2,2,0,0,2,2,2,class_0
359,2,0,2,2,1,1,0,class_0
362,2,2,1,0,0,2,2,class_0
363,1,0,1,0,1,1,2,class_0
368,1,0,0,2,2,2,2,class_0
369,2,0,1,2,1,2,0,class_0
370,2,2,0,0,2,2,0,class_0
372,2,2,0,0,2,0,1,class_0
373,2,2,0,2,2,2,2,class_0
374,1,2,0,0,2,2,2,class_0
376,0,2,2,1,0,2,0,class_0
377,2,2,1,2,2,0,2,class_0
378,0,2,0,2,2,0,2,class_0
1,2,0,0,0,2,2,1,class_1
15,2,2,2,1,2,0,2,class_1
18,1,2,0,2,0,2,2,class_1
19,1,0,1,0,2,1,2,class_1
4,0,2,2,0,2,0,0,class_1
5,2,2,1,2,1,0,0,class_1
9,2,1,0,2,1,0,2,class_1
12,0,0,2,2,2,1,0,class_1
23,2,2,2,2,2,1,0,class_1
24,1,0,1,0,2,2,1,class_1
29,1,0,0,2,1,1,1,class_1
30,1,1,2,0,0,0,0,class_1
32,2,0,2,2,2,0,2,class_1
34,1,1,2,0,1,2,2,class_1
35,2,1,1,0,2,0,1,class_1
36,0,0,2,0,2,1,1,class_1
39,2,0,0,0,1,2,2,class_1
41,0,0,0,2,0,2,2,class_1
42,1,1,1,0,2,1,2,class_1
44,2,0,2,0,0,2,2,class_1
47,0,2,0,0,2,2,0,class_1
53,1,2,0,0,1,0,1,class_1
54,1,0,0,2,0,1,1,class_1
61,2,2,2,2,2,2,0,class_1
65,2,0,1,0,2,0,0,class_1
66,2,0,1,0,2,1,2,class_1
67,1,2,2,2,0,0,1,class_1
68,1,2,1,2,1,1,1,class_1
69,0,1,0,2,2,1,2,class_1
70,2,2,1,2,1,2,2,class_1
72,0,2,0,1,2,2,0,class_1
73,2,2,2,2,0,2,2,class_1
74,1,0,0,0,2,0,2,class_1
77,2,2,0,0,1,0,0,class_1
78,0,1,0,2,2,2,0,class_1
79,2,2,1,1,2,0,2,class_1
80,1,2,0,0,1,2,2,class_1
82,2,0,0,0,2,2,2,class_1
83,0,2,0,2,1,2,2,class_1
91,2,2,0,1,0,0,2,class_1
92,0,2,1,1,2,2,2,class_1
93,0,0,0,0,2,2,0,class_1
94,1,1,0,0,2,2,0,class_1
97,0,0,1,1,0,0,0,class_1
98,0,2,2,2,2,2,0,class_1
99,2,0,0,0,1,1,2,class_1
101,1,0,2,2,2,1,0,class_1
103,2,0,0,0,2,2,2,class_1
106,2,2,1,0,1,2,2,class_1
107,2,2,2,2,2,2,1,class_1
