@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute class {class_0,class_1}

@data
0,4,0,648,16,9,2,0,3,4,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,class_0
2,3,0,2388,20,7,2,2,0,2,1,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,3,class_0
5,3,1,1247,7,9,5,0,2,2,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,1,0,0,5,class_0
6,0,3,0,0,0,1,0,1,2,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,6,class_0
8,1,2,2777,28,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,class_0
9,1,2,2777,28,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,class_0
10,5,1,7690,15,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,class_0
12,0,3,19,0,0,1,0,3,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,class_0
14,4,0,143,90,5,2,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,class_0
15,0,3,0,0,0,1,3,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,class_0
18,3,0,113,3,2,5,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,class_0
21,1,2,1099,6,1,0,0,3,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,class_0
22,3,1,600,1,9,5,0,5,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,class_0
23,1,2,8512,119,5,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,12,0,0,0,0,1,3,class_0
24,0,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,class_0
25,4,0,6,0,9,2,0,0,3,1,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,6,class_0
27,3,3,274,7,2,5,0,2,2,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,class_0
29,3,1,28,4,9,5,0,0,2,1,1,0,0,1,0,0,6,1,0,1,0,3,0,0,0,0,0,6,class_0
30,3,0,474,8,2,1,3,0,2,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,class_0
32,3,3,4,0,5,0,1,2,4,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,5,class_0
33,0,3,0,0,0,1,0,0,5,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,6,class_0
34,3,0,623,2,9,5,1,0,4,1,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,class_0
39,3,1,2,0,2,2,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,4,1,0,0,0,0,3,class_0
41,5,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,class_0
42,0,3,51,2,1,0,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,class_0
43,0,3,115,10,1,6,0,5,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,class_0
44,2,0,9,1,5,1,0,0,2,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,0,6,class_0
47,3,0,22,0,2,2,0,0,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,class_0
48,0,3,0,0,0,1,0,0,5,1,1,1,1,1,1,0,4,1,0,0,0,9,0,0,0,1,0,3,class_0
49,0,3,49,6,1,0,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,class_0
51,3,0,1001,47,7,2,0,3,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,class_0
52,0,3,21,5,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,class_0
55,2,3,1,0,5,1,0,0,2,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,class_0
56,1,2,12,0,0,1,0,0,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,class_0
57,5,1,18,1,0,1,0,0,6,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,6,class_0
58,2,0,337,5,8,1,0,0,1,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,class_0
62,3,1,268,1,9,5,0,3,2,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,class_0
63,3,3,10,1,0,5,0,5,3,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,class_0
64,2,0,108,17,3,6,0,3,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,class_0
65,2,0,249,61,3,1,0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,class_0
66,3,3,239,14,0,5,0,3,3,1,1,0,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,5,class_0
68,2,0,132,10,5,1,0,8,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,class_0
72,0,3,109,8,1,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,class_0
73,3,3,246,6,2,2,3,0,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,class_0
74,3,3,36,1,5,5,1,2,3,1,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,5,class_0
75,1,3,215,1,0,4,0,0,4,1,1,0,1,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,class_0
77,0,3,112,4,1,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,class_0
78,4,0,1,5,6,3,0,0,5,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,6,class_0
79,2,0,93,11,8,6,0,3,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,class_0
80,2,3,103,0,5,1,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,class_0
81,4,0,3268,684,5,4,0,3,3,0,1,1,0,1,0,1,5,1,0,0,0,0,0,0,1,0,0,4,class_0
82,5,1,1904,157,9,2,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,class_0
84,4,0,435,14,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,3,0,0,0,0,0,5,class_0
85,2,3,70,3,0,0,3,0,2,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,class_0
86,4,0,21,4,9,7,0,2,1,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,class_0
88,3,3,323,7,2,5,3,0,2,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,5,class_0
89,0,3,11,2,0,1,0,0,2,0,1,0,1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,2,class_0
90,4,0,372,118,8,7,0,0,1,1,0,0,0,1,0,0,7,1,0,0,0,1,0,0,0,0,0,6,class_0
