@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@data
101,0,2.5,0,0,0,0,0,0,0,0,0,4,0,0,0,class_0
102,0,2.5,1,0,1,1,0,0,0,0,0,4,0,0,0,class_0
114,0,2,2,1,1,2,1,1,1,1,1,4,0,0,1,class_0
115,0,2,2,1,1,2,1,1,1,1,1,4,0,0,1,class_0
116,0,3.5,2,1,1,2,1,1,1,1,1,5,0,0,1,class_0
117,0,2,2,2,2,3,1,1,1,1,0,4,0,0,1,class_0
118,0,2,2,1,1,3,1,1,1,1,1,5,0,0,1,class_0
119,0,2,2,1,1,3,1,1,1,1,1,5,0,0,1,class_0
120,0,16,2,0,3,4,1,1,2,2,1,5,0,0,2,class_0
204,0,2,4,2,4,6,2,1,4,4,3,1,2,2,4,class_0
206,0,1,4,2,4,6,2,1,4,4,3,1,2,2,4,class_0
208,0,5,5,3,4,7,2,1,4,4,3,3,1,2,4,class_0
210,0,2,5,2,4,5,2,1,4,4,3,2,1,2,4,class_0
211,0,2,5,2,4,5,2,1,4,4,3,2,1,2,4,class_0
212,0,3,5,2,4,5,2,1,4,4,3,3,2,2,4,class_0
214,0,7,6,1,5,8,3,1,4,4,3,2,2,2,4,class_0
218,0,1,7,2,4,8,2,1,4,4,3,2,1,2,4,class_0
219,0,1,7,2,4,8,2,1,4,4,3,2,1,2,4,class_0
220,0,1,7,2,6,6,2,1,4,4,3,2,1,2,4,class_0
222,0,1,7,2,4,8,2,1,4,4,3,1,1,2,4,class_0
223,0,1,7,2,4,8,2,1,4,4,3,2,1,2,4,class_0
224,0,1,7,2,4,8,2,1,4,4,3,2,1,2,4,class_0
225,0,1,7,2,6,6,2,1,4,4,3,2,1,2,4,class_0
230,0,1,7,2,4,8,2,1,4,4,3,2,2,2,4,class_0
231,0,1,7,2,4,8,2,1,4,4,3,1,1,2,4,class_0
232,0,1,7,2,4,6,2,1,4,4,3,1,1,2,4,class_0
234,0,1,7,2,4,8,2,1,4,4,3,1,1,2,4,class_0
235,0,1,7,2,4,8,2,1,4,4,3,1,1,2,4,class_0
236,0,1,7,2,4,5,2,1,4,4,3,1,1,2,4,class_0
237,0,1,7,2,4,8,2,1,4,4,3,1,1,2,4,class_0
239,0,1,7,2,4,6,2,1,4,4,3,1,1,2,4,class_0
241,0,1,8,2,4,8,2,1,4,4,3,1,1,2,4,class_0
242,0,1,9,2,4,8,2,1,4,4,3,1,1,2,4,class_0
243,0,1,10,2,4,5,2,1,4,4,3,1,1,2,4,class_0
245,0,1,7,2,4,5,2,1,4,4,3,1,1,2,4,class_0
246,0,1,8,2,4,7,2,3,4,4,3,1,1,2,4,class_0
