@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute class {class_0,class_1,class_2}

@data
1,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,25.9,117.6,class_0
2,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,24.6,117.6,class_0
3,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,7.7,31.2,class_0
4,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,8.2,36,class_0
5,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,9.7,25.2,class_0
6,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,2.2,8.4,class_0
7,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,3.5,10.8,class_0
8,1,2,1,1,1982,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,66.6,352.8,class_0
21,3,2,1,1,1985,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,19.7,60,class_0
22,3,2,1,1,1985,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,66.6,300,class_0
23,3,12,1,1,1985,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,29.5,120,class_0
27,3,10,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,15.4,70,class_0
28,3,10,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,48.5,239,class_0
29,3,10,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,16.3,82,class_0
30,3,4,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,12.8,62,class_0
31,3,3,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,32.6,170,class_0
32,3,5,1,1,1982,2,2,4,3,4,4,1,3,4,3,2,1,3,4,4,35.5,192,class_0
33,3,7,1,1,1985,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,5.5,18,class_0
34,3,2,1,1,1987,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,10.4,50,class_0
35,3,2,1,1,1987,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,14,60,class_0
41,4,5,1,1,1980,2,2,3,3,4,3,1,3,3,2,3,1,3,3,2,177.9,1248,class_0
56,6,5,1,1,1979,2,4,3,3,4,4,2,2,4,4,4,2,3,3,3,227,1181,class_0
57,6,3,1,1,1977,2,2,3,4,2,2,1,2,3,2,4,1,2,3,2,70,278,class_0
58,0,2,1,1,1979,2,3,1,3,2,2,1,1,2,2,2,2,3,3,2,0.9,8.4,class_0
69,7,2,1,4,1978,2,3,2,3,2,4,1,2,3,3,3,3,3,1,1,144,576,class_0
70,7,2,1,4,1979,2,2,1,2,2,4,1,2,3,3,3,3,3,1,1,151,432,class_0
71,7,2,1,4,1979,2,2,1,3,2,4,1,2,3,3,3,3,3,1,1,34,72,class_0
72,7,2,1,4,1979,2,2,2,3,2,4,1,2,3,3,3,3,3,1,1,98,300,class_0
73,7,2,1,4,1979,2,2,2,3,2,4,1,2,3,3,3,3,3,1,1,85,300,class_0
74,7,2,1,4,1982,2,2,1,2,2,4,1,2,3,3,3,3,3,1,1,20,240,class_0
75,7,2,1,4,1978,2,2,1,2,2,4,1,2,3,3,3,3,3,1,1,111,600,class_0
76,7,2,1,4,1978,2,3,4,3,2,4,1,2,3,3,3,3,3,1,1,162,756,class_0
77,7,2,1,4,1978,2,3,3,4,2,4,1,2,3,3,3,3,3,1,1,352,1200,class_0
78,7,9,1,4,1979,2,3,2,4,2,4,1,2,3,3,3,3,3,1,1,165,97,class_0
9,2,7,1,0,1980,2,3,1,3,5,5,1,3,3,3,3,2,3,3,3,7.5,72,class_1
10,2,7,1,0,1980,2,2,1,3,2,2,1,1,3,4,4,2,3,2,2,20,72,class_1
11,2,7,1,0,1984,2,2,1,3,2,2,1,1,3,4,3,2,3,2,2,6,24,class_1
12,2,7,1,0,1980,2,2,1,3,2,2,1,1,3,4,4,2,3,2,2,100,360,class_1
13,2,7,1,0,1985,2,2,1,3,2,2,1,1,3,4,2,2,1,2,2,11.3,36,class_1
14,2,7,1,0,1980,2,2,1,3,2,2,3,1,3,3,3,1,0,2,2,100,215,class_1
