@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1}

@data
79.1,151,91,58,56,510,950,33,301,108,41,394,261,class_0
57.8,142,89,45,44,533,969,18,219,94,33,318,250,class_0
96.3,127,111,82,79,519,982,4,139,97,38,620,168,class_0
155.5,131,109,115,109,542,969,50,179,79,35,472,206,class_0
85.6,157,90,65,62,553,955,39,286,81,28,421,239,class_0
79.8,152,87,57,53,530,986,30,72,92,43,405,264,class_0
94.6,142,88,81,77,497,956,33,321,116,47,427,247,class_0
92.9,135,104,123,115,537,978,31,170,89,34,631,165,class_0
43.9,157,89,47,44,512,962,22,423,97,34,288,276,class_0
69.6,166,89,58,54,521,973,46,254,72,26,396,237,class_0
107.2,147,104,63,64,560,972,23,95,76,24,462,233,class_0
83.1,177,87,58,56,638,974,24,349,76,28,382,254,class_0
82.6,149,88,61,54,515,953,36,165,86,35,395,251,class_0
115.1,145,104,82,74,560,981,96,126,88,31,488,228,class_0
82.3,162,99,75,70,522,996,40,208,73,27,496,224,class_0
45.5,139,88,46,41,480,968,19,49,135,53,457,249,class_0
163.5,143,113,103,95,583,1012,13,102,96,36,557,194,class_1
196.9,136,121,149,141,577,994,157,80,102,39,673,167,class_1
123.4,141,121,109,101,591,985,18,30,91,20,578,174,class_1
68.2,121,110,118,115,547,964,25,44,84,29,689,126,class_1
70.5,140,118,71,68,632,1029,7,15,100,24,526,174,class_1
167.4,124,105,121,116,580,966,101,106,77,35,657,170,class_1
84.9,134,108,75,71,595,972,47,59,83,31,580,172,class_1
51.1,128,113,67,60,624,972,28,10,77,25,507,206,class_1
66.4,135,117,62,61,595,986,22,46,77,27,529,190,class_1
53.9,143,110,66,63,537,977,10,6,114,35,487,166,class_1
75,130,116,128,128,536,934,51,24,78,34,627,135,class_1
122.5,125,108,113,105,567,985,78,94,130,58,626,166,class_1
74.2,126,108,74,67,602,984,34,12,102,33,557,195,class_1
121.6,132,96,87,83,564,953,43,92,83,32,513,227,class_1
96.8,131,116,78,73,574,1038,7,36,142,42,540,176,class_1
52.3,130,116,63,57,641,984,14,26,70,21,486,196,class_1
199.3,131,121,160,143,631,1071,3,77,102,41,674,152,class_1
34.2,135,109,69,71,540,965,6,4,80,22,564,139,class_1
121.6,152,112,82,76,571,1018,10,79,103,28,537,215,class_1
104.3,119,107,166,157,521,938,168,89,92,36,637,154,class_1
37.3,140,93,55,54,535,1045,6,20,135,40,453,200,class_1
75.4,125,109,90,81,586,964,97,82,105,43,617,163,class_1
92.3,126,118,97,97,542,990,18,21,102,35,589,166,class_1
65.3,123,102,97,87,526,948,113,76,124,50,572,158,class_1
127.2,150,100,109,98,531,964,9,24,87,38,559,153,class_1
56.6,133,104,51,47,599,1024,7,40,99,27,425,225,class_1
88,148,122,72,66,601,998,9,19,84,20,590,144,class_1
54.2,141,109,56,54,523,968,4,2,107,37,489,170,class_1
103,136,121,95,96,574,1012,29,36,111,37,622,162,class_1
50.8,126,104,106,97,599,989,40,24,78,25,593,171,class_1
84.9,130,121,90,91,623,1049,3,22,113,40,588,160,class_1
