@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7}

@data
0,0,0,0,599,35,791,262,0,3,2,87,2350,class_0
0,1,1,1,585,48,1545,1301,0,0,4,90,2490,class_0
8,31,37,46,1354,53,844,461,0,3,4,88,2348,class_0
10,43,43,52,551,42,1146,465,0,4,2,87,2280,class_0
10,43,43,53,434,42,1403,2152,0,0,2,91,2336,class_0
11,56,56,69,1030,47,1341,455,0,3,4,90,2355,class_0
11,57,57,70,417,47,394,478,0,2,2,91,2250,class_0
12,58,58,71,769,46,863,1244,0,4,2,87,2440,class_0
12,61,61,74,1068,50,996,765,0,0,4,91,2252,class_0
12,63,63,76,787,37,767,471,0,3,2,88,2077,class_0
13,65,65,78,757,54,2408,1187,0,4,4,87,2200,class_0
13,65,65,78,716,55,790,1360,0,3,2,87,2180,class_0
13,65,65,79,696,41,1385,1682,0,0,2,90,2200,class_0
13,66,66,80,870,45,2532,1296,0,4,2,91,2201,class_0
15,70,70,84,1809,53,351,365,0,3,4,87,2100,class_0
15,73,73,88,580,57,1021,440,0,2,4,91,2333,class_0
19,83,83,100,920,59,1026,911,0,2,2,90,2190,class_0
19,85,85,102,779,57,1700,1108,0,0,4,91,2417,class_0
21,90,90,107,940,48,2073,658,0,3,4,89,2280,class_0
22,93,93,111,960,51,827,1218,0,0,4,89,2370,class_0
23,105,105,124,1134,40,614,226,0,3,2,88,2480,class_0
23,106,106,125,2034,61,803,304,0,3,4,87,2296,class_0
23,106,106,126,1047,53,880,1030,0,3,4,88,2328,class_0
23,106,106,127,583,46,1117,475,0,0,2,91,2420,class_0
27,118,118,141,819,57,1263,378,0,3,2,88,2200,class_0
27,119,119,142,603,36,428,483,0,3,4,87,2415,class_0
30,123,124,147,918,44,1009,1178,0,0,4,91,2453,class_0
31,124,125,148,1339,58,1016,485,0,3,4,87,2254,class_0
33,130,131,155,834,50,1071,906,0,2,2,90,2460,class_0
33,131,133,158,593,42,719,300,0,3,2,88,2320,class_0
33,132,132,156,994,49,1101,451,0,3,4,89,2370,class_0
33,132,132,157,1238,54,1375,1342,0,4,4,91,2405,class_0
33,136,138,164,1005,40,1245,367,0,3,2,88,2100,class_0
33,136,138,165,1138,57,945,778,0,4,4,91,2120,class_0
34,138,140,167,1801,52,484,924,0,3,2,87,2140,class_0
34,138,140,168,1114,55,344,663,0,3,2,88,2200,class_0
34,138,140,169,787,64,139,1019,0,3,2,89,2150,class_0
0,0,0,0,597,34,387,354,1,3,2,87,2350,class_0
0,1,1,1,637,42,1684,1877,1,0,4,90,2490,class_0
8,31,37,46,816,38,402,1601,1,3,4,88,2348,class_0
10,43,43,52,418,40,1053,619,1,4,2,87,2280,class_0
10,43,43,53,450,39,1055,1119,1,0,2,91,2336,class_0
