@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11}

@data
0,3,0,70,4,1,130,10,5,6,280,25,3,1,68.402973,class_0
2,2,0,70,4,1,260,9,7,5,320,25,3,1,59.425505,class_0
34,4,0,120,3,3,75,3,13,4,100,25,3,1,45.811716,class_0
1,5,0,120,3,5,15,2,8,8,135,0,3,1,33.983679,class_1
6,2,0,110,2,0,125,1,11,14,30,25,2,1,33.174094,class_1
14,1,0,110,1,1,180,0,12,13,55,25,2,1,22.736446,class_1
15,6,0,110,2,0,280,0,22,3,25,25,1,1,41.445019,class_1
16,2,0,100,2,0,290,1,21,2,35,25,1,1,45.863324,class_1
17,2,0,110,1,0,90,1,13,12,20,25,2,1,35.782791,class_1
18,1,0,110,1,1,180,0,12,13,65,25,2,1,22.396513,class_1
20,3,1,100,3,0,80,1,21,0,-1,0,2,1,64.533816,class_1
21,2,0,110,2,0,220,1,21,3,30,25,3,1,46.895644,class_1
24,2,0,110,2,1,125,1,11,13,30,25,2,1,32.207582,class_1
36,5,0,120,1,2,220,1,12,11,45,25,2,1,21.871292,class_1
38,2,0,110,2,1,170,1,17,6,60,100,3,1,36.523683,class_1
42,1,0,110,2,1,180,0,12,12,55,25,2,1,26.734515,class_1
43,0,1,100,4,1,0,0,16,3,95,25,2,1,54.850917,class_1
44,6,0,150,4,3,95,3,16,11,170,25,3,1,37.136863,class_1
45,6,0,150,4,3,150,3,16,11,170,25,3,1,34.139765,class_1
47,1,0,100,2,1,220,2,15,6,90,25,1,1,40.105965,class_1
50,2,0,90,3,0,170,3,18,2,90,25,3,1,59.642837,class_1
53,2,0,100,3,0,320,1,20,3,45,100,3,1,41.50354,class_1
54,5,0,50,1,0,0,0,13,0,15,0,3,0.5,60.756112,class_1
55,5,0,50,2,0,0,1,10,0,50,0,3,0.5,63.005645,class_1
62,2,0,110,2,0,290,0,22,3,35,25,1,1,40.560159,class_1
63,3,0,80,2,0,0,3,16,0,95,0,1,0.83,68.235885,class_1
67,2,0,110,6,0,230,1,16,3,55,25,1,1,53.131324,class_1
68,3,0,90,2,0,15,3,15,5,90,25,2,1,59.363993,class_1
69,1,0,110,2,1,200,0,21,3,35,100,3,1,38.839746,class_1
70,1,0,140,3,1,190,4,15,14,230,100,3,1.5,28.592785,class_1
71,1,0,100,3,1,200,3,16,3,110,100,3,1,46.658844,class_1
73,1,0,110,1,1,140,0,13,12,25,25,2,1,27.753301,class_1
75,1,0,100,3,1,200,3,17,3,110,25,1,1,51.592193,class_1
3,2,0,50,4,0,140,14,8,0,330,25,3,1,93.704912,class_2
13,1,0,110,3,2,140,2,13,7,105,25,3,1,40.400208,class_2
19,2,0,110,3,3,140,4,10,7,160,25,3,1,40.448772,class_2
51,1,0,130,3,2,170,1.5,13.5,10,120,25,3,1.25,30.450843,class_2
56,5,0,100,4,1,135,2,14,6,110,25,3,1,49.511874,class_2
59,1,0,100,3,2,140,2.5,10.5,8,140,25,3,1,39.7034,class_2
60,2,0,90,2,0,0,2,15,6,110,25,3,1,55.333142,class_2
4,6,0,110,2,2,200,1,14,8,-1,25,3,1,34.384843,class_3
5,1,0,110,2,2,180,1.5,10.5,10,70,25,1,1,29.509541,class_3
7,1,0,130,3,2,210,2,18,8,100,25,3,1.33,37.038562,class_3
