@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute class {class_0,class_1,class_2}

@data
8,0,27,2,1,1,1,1,2,1,142,88,1,2,1,1,1,1,1,1,class_0
12,0,59,1,1,1,1,1,1,1,112,80,2,2,1,1,1,1,1,1,class_0
14,0,77,1,1,2,1,1,1,1,100,70,1,1,1,1,1,1,1,1,class_0
28,0,54,1,1,1,1,1,2,1,142,103,1,2,2,1,1,1,1,1,class_0
32,0,87,2,1,2,1,1,2,1,110,154,2,2,1,1,1,1,1,1,class_0
38,0,69,1,1,1,1,1,2,1,110,132,1,2,1,2,1,1,2,1,class_0
40,0,63,1,1,2,1,1,1,1,104,66,1,1,1,1,1,1,1,1,class_0
41,0,30,2,1,1,1,1,1,1,144,110,1,2,1,1,1,1,1,1,class_0
42,0,35,1,2,1,1,1,1,1,108,60,1,2,1,1,1,1,1,1,class_0
50,0,70,2,1,2,2,1,1,1,138,103,1,1,1,1,1,1,1,1,class_0
51,0,55,2,1,2,1,1,2,1,188,86,2,1,1,1,1,1,1,1,class_0
53,0,48,1,2,2,2,1,1,1,162,100,1,1,1,1,1,1,1,1,class_0
58,0,66,2,1,2,1,1,1,1,160,80,2,1,1,1,1,1,1,1,class_0
61,0,61,2,1,1,1,2,1,1,174,99,1,2,1,1,2,1,2,2,class_0
73,0,66,1,1,1,1,1,1,1,206,90,1,2,1,1,1,1,1,2,class_0
75,0,52,1,1,2,1,1,2,1,150,71,2,1,1,1,1,1,1,1,class_0
82,0,55,1,1,2,1,1,2,1,140,116,1,1,1,1,1,1,1,1,class_0
92,0,63,1,1,1,1,1,1,1,132,128,2,2,1,1,1,1,1,1,class_0
96,0,72,1,1,2,1,1,1,1,120,80,2,1,1,1,1,1,1,1,class_0
98,0,60,1,1,1,1,1,2,2,114,110,1,2,1,1,1,1,1,1,class_0
100,0,78,1,1,2,1,1,1,1,180,75,1,1,1,1,1,1,1,1,class_0
102,0,16,2,1,1,1,1,1,1,104,111,1,2,1,1,1,1,1,1,class_0
111,0,62,1,1,2,1,2,1,1,200,120,1,1,1,1,1,1,1,1,class_0
112,0,61,1,1,1,1,1,2,1,110,120,1,2,1,1,1,1,1,1,class_0
136,0,35,1,1,1,1,1,1,1,150,98,1,2,1,1,1,1,1,1,class_0
137,0,74,2,1,2,1,1,1,1,170,92,1,1,1,1,1,2,1,1,class_0
143,0,68,1,1,2,1,1,1,1,158,96,1,1,1,1,1,1,1,1,class_0
153,0,69,2,1,2,1,1,1,1,132,60,1,2,1,1,1,1,1,1,class_0
170,0,51,1,1,1,1,1,1,1,110,99,1,2,1,1,1,1,1,1,class_0
173,0,55,1,1,2,1,1,1,1,128,92,1,1,1,1,1,1,1,1,class_0
180,0,64,2,3,2,1,1,2,1,158,90,2,2,1,1,1,1,1,1,class_0
184,0,88,2,1,2,1,1,2,1,140,88,2,2,1,1,1,1,1,1,class_0
186,0,23,2,1,2,1,1,1,1,112,64,1,2,2,1,1,1,1,1,class_0
187,0,73,2,1,2,2,1,1,1,134,60,1,1,1,1,1,2,1,1,class_0
190,0,53,1,3,2,1,1,1,1,110,70,2,1,1,1,1,1,1,1,class_0
191,0,74,1,1,2,1,1,1,1,174,86,1,1,1,1,1,1,1,1,class_0
207,0,68,1,1,2,1,1,1,1,142,89,1,1,1,1,1,1,1,1,class_0
211,0,66,2,1,1,1,1,2,1,170,95,2,2,1,1,1,1,1,1,class_0
214,0,60,1,1,2,2,1,2,1,110,92,1,1,1,1,1,1,1,1,class_0
219,0,64,1,1,2,1,1,2,1,160,120,1,1,1,1,1,1,1,1,class_0
225,0,66,1,2,2,2,1,2,1,150,120,1,1,1,1,1,2,1,1,class_0
237,0,19,2,1,2,1,1,2,1,142,106,1,2,2,1,1,1,1,1,class_0
247,0,18,2,1,1,1,1,1,1,146,112,1,2,1,1,1,1,1,1,class_0
249,0,63,1,1,2,1,1,2,1,162,84,2,2,1,1,1,1,1,1,class_0
260,0,45,1,1,1,1,1,1,1,126,110,1,2,1,1,1,1,1,1,class_0
266,0,64,1,1,1,1,1,1,1,162,114,1,2,1,1,1,1,1,1,class_0
271,0,68,2,1,1,1,1,2,1,200,170,2,2,1,1,1,1,1,1,class_0
276,0,64,2,1,1,1,1,2,1,126,122,1,2,1,2,1,2,1,1,class_0
277,0,82,1,1,2,1,1,1,1,135,70,1,1,1,1,1,1,1,1,class_0
278,0,73,1,1,2,1,1,1,1,170,88,1,1,1,1,1,1,1,1,class_0
282,0,70,1,1,1,1,1,1,1,86,153,2,2,1,1,1,2,1,1,class_0
292,0,61,1,1,2,1,1,2,1,68,124,1,2,1,1,1,1,1,1,class_0
295,0,64,1,1,2,2,1,2,1,116,88,1,1,1,1,1,1,1,1,class_0
297,0,47,1,1,2,2,1,2,1,120,83,1,1,1,1,1,1,1,1,class_0
298,0,69,1,1,2,1,1,1,1,170,100,1,1,1,1,1,1,1,1,class_0
308,0,67,2,1,1,1,1,2,1,190,125,1,2,1,1,1,1,1,1,class_0
310,0,18,1,1,2,2,1,1,1,156,99,1,1,1,1,1,1,1,1,class_0
319,0,77,1,1,2,1,1,2,1,158,107,1,1,1,1,1,1,1,1,class_0
327,0,32,1,2,2,1,1,1,1,120,84,1,2,1,1,1,1,1,1,class_0
333,0,19,2,1,2,1,1,2,1,104,121,2,1,1,1,1,1,1,1,class_0
335,0,72,2,1,2,1,1,1,1,130,86,1,2,1,1,1,1,1,1,class_0
