@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
131,138,89,49,class_0
125,131,92,48,class_0
131,132,99,50,class_0
119,132,96,44,class_0
136,143,100,54,class_0
138,137,89,56,class_0
139,130,108,48,class_0
125,136,93,48,class_0
131,134,102,51,class_0
134,134,99,51,class_0
129,138,95,50,class_0
134,121,95,53,class_0
126,129,109,51,class_0
132,136,100,50,class_0
141,140,100,51,class_0
131,134,97,54,class_0
135,137,103,50,class_0
132,133,93,53,class_0
139,136,96,50,class_0
132,131,101,49,class_0
126,133,102,51,class_0
135,135,103,47,class_0
134,124,93,53,class_0
128,134,103,50,class_0
130,130,104,49,class_0
138,135,100,55,class_0
128,132,93,53,class_0
127,129,106,48,class_0
131,136,114,54,class_0
124,138,101,46,class_0
124,138,101,48,class_1
133,134,97,48,class_1
138,134,98,45,class_1
148,129,104,51,class_1
126,124,95,45,class_1
135,136,98,52,class_1
132,145,100,54,class_1
133,130,102,48,class_1
131,134,96,50,class_1
133,125,94,46,class_1
133,136,103,53,class_1
131,139,98,51,class_1
131,136,99,56,class_1
138,134,98,49,class_1
130,136,104,53,class_1
131,128,98,45,class_1
138,129,107,53,class_1
123,131,101,51,class_1
130,129,105,47,class_1
134,130,93,54,class_1
137,136,106,49,class_1
126,131,100,48,class_1
135,136,97,52,class_1
129,126,91,50,class_1
134,139,101,49,class_1
131,134,90,53,class_1
132,130,104,50,class_1
130,132,93,52,class_1
135,132,98,54,class_1
130,128,101,51,class_1
137,141,96,52,class_2
129,133,93,47,class_2
132,138,87,48,class_2
130,134,106,50,class_2
134,134,96,45,class_2
140,133,98,50,class_2
138,138,95,47,class_2
136,145,99,55,class_2
136,131,92,46,class_2
126,136,95,56,class_2
137,129,100,53,class_2
137,139,97,50,class_2
136,126,101,50,class_2
137,133,90,49,class_2
129,142,104,47,class_2
135,138,102,55,class_2
129,135,92,50,class_2
134,125,90,60,class_2
138,134,96,51,class_2
136,135,94,53,class_2
132,130,91,52,class_2
133,131,100,50,class_2
138,137,94,51,class_2
130,127,99,45,class_2
136,133,91,49,class_2
134,123,95,52,class_2
136,137,101,54,class_2
133,131,96,49,class_2
138,133,100,55,class_2
138,133,91,46,class_2
137,134,107,54,class_3
141,128,95,53,class_3
141,130,87,49,class_3
135,131,99,51,class_3
133,120,91,46,class_3
131,135,90,50,class_3
140,137,94,60,class_3
139,130,90,48,class_3
140,134,90,51,class_3
138,140,100,52,class_3
132,133,90,53,class_3
134,134,97,54,class_3
135,135,99,50,class_3
133,136,95,52,class_3
136,130,99,55,class_3
134,137,93,52,class_3
131,141,99,55,class_3
129,135,95,47,class_3
136,128,93,54,class_3
131,125,88,48,class_3
139,130,94,53,class_3
144,124,86,50,class_3
141,131,97,53,class_3
130,131,98,53,class_3
133,128,92,51,class_3
138,126,97,54,class_3
131,142,95,53,class_3
136,138,94,55,class_3
132,136,92,52,class_3
135,130,100,51,class_3
137,123,91,50,class_4
136,131,95,49,class_4
128,126,91,57,class_4
130,134,92,52,class_4
138,127,86,47,class_4
126,138,101,52,class_4
136,138,97,58,class_4
126,126,92,45,class_4
132,132,99,55,class_4
139,135,92,54,class_4
143,120,95,51,class_4
141,136,101,54,class_4
135,135,95,56,class_4
137,134,93,53,class_4
142,135,96,52,class_4
139,134,95,47,class_4
138,125,99,51,class_4
137,135,96,54,class_4
133,125,92,50,class_4
145,129,89,47,class_4
138,136,92,46,class_4
131,129,97,44,class_4
143,126,88,54,class_4
134,124,91,55,class_4
132,127,97,52,class_4
137,125,85,57,class_4
129,128,81,52,class_4
140,135,103,48,class_4
147,129,87,48,class_4
136,133,97,51,class_4
