@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1,class_2}

@data
1,0,22,2,0,19,class_0
2,1,14,2,0,17,class_0
3,0,22,2,1,49,class_0
4,0,4,1,1,33,class_0
5,1,6,10,1,55,class_0
6,1,22,2,0,20,class_0
7,1,8,4,1,19,class_0
8,1,9,2,1,27,class_0
9,0,21,2,0,58,class_0
10,1,14,2,0,20,class_0
11,1,9,21,1,9,class_0
12,1,12,0,1,30,class_0
13,1,17,20,1,29,class_0
14,1,5,16,1,39,class_0
40,0,22,2,0,19,class_0
41,1,14,2,0,17,class_0
42,0,22,2,1,49,class_0
43,0,4,1,1,33,class_0
44,1,6,10,1,55,class_0
45,1,22,2,0,20,class_0
46,1,8,4,1,19,class_0
47,1,9,2,1,27,class_0
48,0,21,2,1,58,class_0
49,1,14,2,0,20,class_0
50,1,9,21,1,9,class_0
51,1,12,0,1,30,class_0
52,1,17,20,1,29,class_0
53,1,5,16,1,39,class_0
79,0,22,2,0,25,class_0
80,0,12,2,0,17,class_0
81,1,15,18,1,11,class_0
82,1,8,1,1,39,class_0
83,1,12,2,0,11,class_0
84,1,17,20,1,19,class_0
85,0,21,2,1,45,class_0
86,1,6,10,0,20,class_0
87,1,22,2,0,20,class_0
88,0,22,2,0,20,class_0
89,0,22,2,1,38,class_0
90,1,13,21,1,17,class_0
91,0,16,16,1,19,class_0
92,1,8,4,1,24,class_0
93,1,17,24,1,25,class_0
94,0,16,16,1,31,class_0
95,1,0,14,1,31,class_0
122,1,12,13,1,17,class_0
123,1,8,5,1,7,class_0
124,0,9,2,1,21,class_0
125,1,13,14,1,36,class_0
126,0,12,0,1,54,class_0
127,0,7,2,1,29,class_0
128,1,19,1,1,45,class_0
15,1,5,16,1,42,class_1
16,1,5,16,1,43,class_1
17,1,6,10,1,10,class_1
18,1,21,2,1,46,class_1
19,1,12,2,0,10,class_1
20,1,6,24,1,42,class_1
21,1,24,6,1,27,class_1
22,1,24,6,1,23,class_1
23,1,1,8,1,31,class_1
24,1,0,14,0,22,class_1
25,1,14,12,1,37,class_1
26,1,6,10,1,13,class_1
27,1,7,2,1,24,class_1
28,1,13,14,1,38,class_1
54,1,5,16,1,42,class_1
55,1,5,16,1,43,class_1
56,1,6,10,1,10,class_1
57,1,21,2,1,46,class_1
58,1,12,2,0,10,class_1
59,1,6,24,1,42,class_1
60,1,24,6,1,27,class_1
61,1,24,6,1,23,class_1
62,1,1,8,1,31,class_1
63,1,0,14,0,22,class_1
64,1,14,12,1,37,class_1
65,1,6,10,1,13,class_1
66,1,7,2,1,24,class_1
67,1,13,14,1,38,class_1
96,1,0,7,1,18,class_1
97,0,10,15,1,22,class_1
98,0,21,12,1,27,class_1
99,1,8,1,1,14,class_1
100,1,12,0,1,20,class_1
101,0,5,16,1,35,class_1
102,1,22,2,0,20,class_1
103,0,22,2,0,20,class_1
104,1,5,16,1,37,class_1
105,0,21,2,1,15,class_1
106,1,19,1,1,25,class_1
107,1,22,2,1,10,class_1
129,1,21,0,1,11,class_1
130,1,17,11,1,16,class_1
131,1,19,14,1,18,class_1
132,0,16,17,1,44,class_1
133,1,13,22,1,17,class_1
134,1,23,25,1,21,class_1
135,1,8,23,1,20,class_1
136,1,11,7,1,24,class_1
137,1,8,5,1,5,class_1
138,1,21,0,1,42,class_1
29,1,20,1,1,42,class_2
30,1,21,2,1,28,class_2
31,1,10,0,1,51,class_2
32,1,17,4,1,19,class_2
33,1,12,0,1,31,class_2
34,0,12,2,0,13,class_2
35,1,4,1,1,37,class_2
36,1,15,7,1,36,class_2
37,1,3,15,1,21,class_2
38,1,4,1,1,48,class_2
39,1,13,14,1,38,class_2
68,1,20,1,1,42,class_2
69,1,21,2,1,28,class_2
70,1,10,0,1,51,class_2
71,1,17,4,1,19,class_2
72,1,12,0,1,31,class_2
73,0,12,2,0,13,class_2
74,1,4,1,1,37,class_2
75,1,15,7,1,36,class_2
76,1,3,15,1,21,class_2
77,1,4,1,1,48,class_2
78,1,13,14,1,38,class_2
108,1,19,1,1,14,class_2
109,0,22,2,1,38,class_2
110,1,12,0,1,29,class_2
111,1,9,2,1,19,class_2
112,1,6,10,1,30,class_2
113,0,13,14,1,32,class_2
114,1,7,2,1,27,class_2
115,1,11,6,1,34,class_2
116,1,7,6,1,23,class_2
117,1,14,0,1,66,class_2
118,1,22,2,1,12,class_2
119,1,1,8,1,29,class_2
120,1,14,0,1,19,class_2
121,1,19,1,1,3,class_2
139,1,6,10,1,30,class_2
140,1,9,2,1,19,class_2
141,1,22,2,1,11,class_2
142,1,16,17,1,29,class_2
143,1,15,19,1,15,class_2
144,1,2,1,1,37,class_2
145,1,18,3,1,10,class_2
146,1,22,2,1,24,class_2
147,1,2,1,1,26,class_2
148,1,9,2,1,12,class_2
149,0,17,6,1,48,class_2
150,1,21,0,1,51,class_2
151,1,1,9,1,27,class_2
