@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2}

@data
1,1,1,4,85,12,5152,253,52,305,34,302,class_0
2,2,0,0,86,4,5635,197,124,321,33,315,class_0
3,3,4,4,85,1,805,40,60,100,18,83,class_0
4,4,0,0,86,5,3829,200,119,319,30,303,class_0
5,5,0,0,86,4,2149,140,94,234,24,208,class_0
6,6,0,0,86,4,2821,97,89,186,38,192,class_0
8,8,1,2,83,13,3913,186,52,238,25,214,class_0
9,9,3,1,85,12,7854,172,88,260,30,247,class_0
10,10,3,4,83,4,2422,78,38,116,24,103,class_0
11,11,4,1,84,21,4067,167,99,266,24,237,class_0
12,12,2,1,84,17,9051,146,112,258,40,271,class_0
13,13,1,1,84,3,2282,33,72,105,19,88,class_0
14,14,3,4,85,8,4172,162,61,223,32,216,class_0
15,15,4,4,85,9,4977,223,121,344,28,320,class_0
17,17,4,3,85,8,3192,57,43,100,43,108,class_0
20,20,4,2,86,5,840,58,34,92,29,86,class_0
22,22,2,4,85,18,5180,88,170,258,34,255,class_0
23,23,2,4,86,5,5775,306,132,438,37,447,class_0
24,24,4,1,87,20,10577,304,78,382,39,397,class_0
25,25,1,4,86,8,3983,89,200,289,33,283,class_0
26,26,4,1,85,14,3164,86,230,316,33,310,class_0
27,27,2,0,86,6,3542,71,235,306,37,312,class_0
28,28,3,1,85,14,4277,148,324,472,39,491,class_0
29,29,4,4,85,16,7252,116,170,286,27,263,class_0
30,30,4,1,85,14,3948,175,277,452,37,461,class_0
31,31,4,3,86,6,3927,79,128,207,27,190,class_0
34,34,1,1,85,5,6405,194,91,285,35,285,class_0
38,38,-1,-1,87,8,5922,260,144,404,24,360,class_0
41,41,1,1,87,9,4620,451,48,499,28,464,class_0
43,43,1,1,88,10,2174,64,54,118,25,106,class_0
44,44,-1,4,86,39,19894,284,230,514,50,591,class_0
45,45,2,1,86,18,6699,182,126,308,35,308,class_0
46,46,2,3,87,27,14987,173,332,505,19,424,class_0
47,47,2,2,88,9,4004,252,7,259,28,241,class_0
48,48,4,3,85,11,12824,131,180,311,51,361,class_0
49,49,2,3,85,8,2331,106,39,145,6,103,class_0
50,50,3,3,85,9,5817,96,108,204,29,192,class_0
51,51,2,3,85,7,2989,116,72,188,18,156,class_0
52,52,3,3,85,6,3136,86,49,135,32,131,class_0
53,53,2,3,85,17,14434,221,121,342,35,342,class_0
54,54,1,1,87,12,2583,61,96,157,18,130,class_0
63,63,1,1,86,5,2520,78,99,177,14,140,class_0
64,64,4,7,86,13,1603,69,74,143,14,113,class_0
78,78,4,3,83,12,2800,227,73,300,34,297,class_0
79,79,4,4,82,24,9520,395,193,588,40,617,class_0
81,81,4,4,85,36,23940,886,241,1127,34,1116,class_0
7,7,2,1,85,9,2569,119,42,161,25,145,class_1
16,16,3,2,85,8,1617,119,48,167,26,152,class_1
18,18,4,4,86,14,3437,68,316,384,20,326,class_1
19,19,3,4,87,14,4494,9,386,395,21,340,class_1
21,21,4,4,86,12,14973,318,269,587,34,581,class_1
36,36,1,3,86,17,9135,317,119,436,34,432,class_1
40,40,3,3,88,16,8050,302,145,447,52,523,class_1
55,55,1,3,86,12,3647,132,89,221,5,155,class_1
56,56,3,7,86,13,8232,45,387,432,16,350,class_1
57,57,1,1,86,12,3276,55,112,167,12,129,class_1
58,58,1,4,87,8,2723,124,52,176,14,139,class_1
59,59,3,3,87,5,3472,120,126,246,15,197,class_1
60,60,1,2,87,6,1575,47,32,79,14,62,class_1
61,61,1,1,86,12,2926,126,107,233,23,205,class_1
62,62,3,2,86,6,1876,101,45,146,15,117,class_1
65,65,1,3,86,8,3626,194,97,291,35,291,class_1
66,66,2,-1,87,10,6783,224,110,334,28,309,class_1
67,67,2,4,87,15,11361,323,184,507,35,507,class_1
68,68,1,3,86,6,1267,42,31,73,27,67,class_1
69,69,1,2,87,5,2548,74,43,117,25,105,class_1
70,70,3,4,87,10,1155,101,57,158,9,117,class_1
72,72,2,3,84,13,2275,134,77,211,13,165,class_1
73,73,4,5,86,26,9100,482,227,709,26,645,class_1
75,75,0,-1,84,22,3941,139,143,282,22,245,class_1
76,76,2,3,86,24,13860,473,182,655,40,688,class_1
32,32,1,1,86,9,710,145,38,183,27,168,class_2
33,33,4,4,87,9,2429,174,78,252,41,267,class_2
35,35,2,2,88,3,651,126,49,175,38,180,class_2
37,37,2,4,87,11,1435,289,88,377,28,351,class_2
39,39,1,4,88,4,847,158,59,217,18,180,class_2
42,42,2,4,87,34,2352,661,132,793,23,698,class_2
71,71,0,4,86,6,546,97,42,139,6,99,class_2
74,74,0,2,84,6,595,213,73,286,6,203,class_2
77,77,4,4,85,12,1400,229,169,398,39,414,class_2
80,80,4,3,86,12,5880,469,176,645,43,697,class_2
