@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
32,1,1,6,1,2,7,2,20,2,1,1,class_0
34,1,4,9,1,1,29,2,2,2,1,1,class_0
36,1,4,8,1,2,5,3,16,3,1,3,class_0
38,0,4,8,2,2,31,2,4,3,1,2,class_0
38,1,3,9,2,2,8,3,4,3,1,4,class_0
38,1,4,16,1,2,66,3,1,1,1,2,class_0
42,1,4,7,1,2,8,3,23,4,1,1,class_0
46,1,4,4,1,3,11,2,8,3,1,1,class_0
46,1,4,9,2,2,65,3,31,3,1,4,class_0
47,1,3,8,1,2,66,3,4,1,1,2,class_0
47,1,4,18,2,2,3,3,4,3,1,4,class_0
50,0,4,18,1,2,64,2,4,1,1,2,class_0
50,1,4,15,1,2,18,3,20,3,1,1,class_0
51,1,4,13,1,3,33,2,4,1,1,4,class_0
53,1,3,7,2,2,23,2,4,3,1,4,class_0
53,1,3,18,1,4,68,3,4,1,1,4,class_0
53,1,4,10,1,2,66,2,4,3,1,4,class_0
54,1,4,21,1,2,27,2,31,3,1,4,class_0
55,1,4,9,1,2,30,2,27,3,1,1,class_0
56,1,4,9,1,3,50,2,25,2,1,1,class_0
56,1,4,12,1,2,67,3,34,2,1,1,class_0
57,1,3,7,1,2,25,2,13,3,1,1,class_0
57,1,4,6,1,2,41,2,20,4,1,1,class_0
58,1,4,9,1,2,17,2,18,2,1,1,class_0
58,1,4,20,1,3,40,3,4,1,1,2,class_0
59,1,3,11,1,2,37,2,9,3,1,1,class_0
59,1,4,11,1,2,56,3,24,2,1,1,class_0
59,1,4,14,2,2,23,3,16,3,1,4,class_0
60,1,3,9,1,2,21,2,6,2,1,1,class_0
60,1,4,13,1,3,9,3,29,4,2,1,class_0
60,1,4,18,1,2,26,2,15,3,1,1,class_0
61,1,4,7,1,2,64,3,31,2,1,1,class_0
61,1,4,8,1,2,65,2,12,3,1,1,class_0
61,1,4,16,2,2,40,3,4,3,1,4,class_0
62,0,4,10,1,3,2,3,33,4,1,1,class_0
62,1,1,10,1,4,13,2,21,3,3,1,class_0
62,1,4,9,1,2,47,3,17,3,1,2,class_0
63,1,4,4,1,2,63,2,22,3,1,1,class_0
63,1,4,2,2,2,61,3,4,2,1,4,class_0
64,0,4,6,1,2,24,2,29,4,1,1,class_0
64,1,4,8,1,2,12,3,30,4,1,1,class_0
65,1,4,9,2,2,57,3,4,3,1,4,class_0
66,0,4,17,1,2,54,2,4,1,1,4,class_0
68,1,4,15,1,2,15,2,34,2,1,1,class_0
69,1,4,14,2,2,9,2,4,3,1,3,class_0
70,1,4,9,2,3,55,3,4,3,1,4,class_0
73,0,3,18,2,3,67,2,4,2,1,2,class_0
74,1,2,15,1,3,2,2,30,2,1,1,class_0
35,1,4,1,1,2,9,3,1,1,1,4,class_1
43,1,4,4,1,2,68,2,31,4,1,1,class_1
47,1,3,17,2,2,45,3,16,3,1,2,class_1
50,1,4,9,2,2,66,3,18,3,1,3,class_1
50,1,4,10,2,3,31,3,4,2,1,3,class_1
51,1,4,10,3,2,28,2,4,3,1,2,class_1
53,1,2,10,2,2,59,2,4,3,1,2,class_1
54,1,4,13,1,2,64,3,11,3,1,4,class_1
56,1,4,11,3,2,16,3,16,3,1,4,class_1
57,1,4,8,1,3,10,3,12,2,2,1,class_1
57,1,4,12,1,2,4,3,4,1,1,3,class_1
59,1,4,8,1,2,58,2,4,1,1,3,class_1
60,1,4,11,1,2,64,2,27,2,3,1,class_1
60,1,4,14,2,2,43,3,18,2,1,4,class_1
60,1,4,18,2,3,62,3,18,3,1,4,class_1
61,1,3,3,1,3,46,2,4,1,1,2,class_1
61,1,4,11,2,2,40,3,4,4,1,4,class_1
61,1,4,13,2,4,23,2,4,3,1,4,class_1
61,1,4,13,1,2,48,2,7,3,1,1,class_1
62,1,3,18,2,2,47,3,4,3,1,2,class_1
62,1,4,16,1,3,49,2,35,3,1,4,class_1
63,1,4,16,2,2,53,3,35,3,1,1,class_1
63,1,4,16,1,3,29,2,14,2,1,1,class_1
64,0,4,3,2,2,19,3,16,3,1,2,class_1
65,1,4,15,1,3,44,2,1,1,1,3,class_1
65,1,4,18,3,3,68,2,1,1,1,4,class_1
66,1,4,16,2,2,52,3,35,3,1,4,class_1
68,1,4,14,2,3,66,3,4,2,1,4,class_1
69,1,4,1,2,3,1,1,1,1,1,4,class_1
70,1,4,12,3,2,32,3,35,3,1,4,class_1
38,0,4,7,1,2,35,2,10,2,1,1,class_2
38,1,4,14,1,2,27,2,4,1,1,2,class_2
40,1,4,6,1,3,22,2,4,2,1,1,class_2
41,1,4,11,1,2,38,2,32,2,1,1,class_2
42,1,4,15,2,2,62,3,4,3,1,1,class_2
43,1,4,12,2,3,19,3,18,2,1,4,class_2
47,1,4,8,1,3,26,2,3,2,1,1,class_2
48,1,4,9,1,2,8,2,4,3,1,3,class_2
51,0,4,10,1,2,7,3,31,2,1,1,class_2
51,1,4,13,1,2,36,2,19,2,1,1,class_2
51,1,4,12,2,2,42,2,4,3,1,2,class_2
51,1,4,6,1,2,6,2,5,3,1,1,class_2
52,1,4,13,1,2,66,2,4,3,1,4,class_2
52,1,4,14,1,2,8,3,35,3,1,4,class_2
52,1,4,19,1,2,68,3,16,2,1,4,class_2
52,1,4,6,1,2,50,3,1,1,1,1,class_2
53,1,4,13,2,4,14,3,16,3,1,4,class_2
54,1,4,10,2,2,30,2,4,3,1,4,class_2
55,1,4,12,2,2,51,2,4,3,1,4,class_2
56,1,3,11,1,2,61,2,36,3,1,4,class_2
56,1,3,17,2,3,62,2,4,3,1,2,class_2
56,1,4,10,2,3,4,3,25,4,1,4,class_2
56,1,4,10,2,3,25,2,4,3,1,1,class_2
57,1,4,12,2,2,66,3,35,3,1,3,class_2
57,1,4,18,1,2,61,3,35,3,1,4,class_2
59,1,4,10,2,2,23,2,4,3,1,2,class_2
61,1,4,16,2,2,34,3,35,3,1,4,class_2
61,1,4,18,3,3,24,2,16,3,1,4,class_2
62,0,1,12,1,2,21,2,4,1,1,2,class_2
62,1,4,9,1,2,8,3,7,4,1,1,class_2
63,1,4,12,1,4,26,2,35,2,1,1,class_2
67,1,1,15,2,4,5,2,4,3,1,2,class_2
38,1,3,4,1,2,39,2,28,2,1,1,class_3
45,1,3,8,1,2,17,2,26,2,1,1,class_3
53,1,2,13,1,3,66,2,20,4,1,1,class_3
53,1,4,5,1,2,20,3,35,4,1,1,class_3
55,1,2,12,1,3,27,2,2,2,1,1,class_3
56,1,3,10,2,2,60,2,4,3,1,4,class_3
65,1,4,17,1,2,29,2,16,2,1,1,class_3
72,1,3,18,1,4,12,2,32,3,3,1,class_3
43,1,4,9,2,2,24,3,35,3,1,4,class_4
51,1,4,8,1,2,55,2,4,3,1,1,class_4
53,1,4,11,1,2,66,2,31,2,1,1,class_4
55,1,4,10,2,3,55,2,13,2,1,4,class_4
58,1,4,13,2,3,4,3,16,3,1,3,class_4
