@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
85,669,0.616643,class_0
129,275,0.53284,class_0
211,748,0.592436,class_0
362,196,0.676628,class_0
582,200,0.555211,class_0
386,397,0.72235,class_0
558,146,0.586567,class_0
169,609,0.48915,class_0
96,283,0.582287,class_0
133,275,0.591527,class_0
709,34,0.652628,class_0
369,118,0.721106,class_0
419,344,0.644106,class_0
621,174,0.630913,class_0
536,65,0.55473,class_0
694,268,0.611513,class_0
198,37,0.539109,class_0
166,87,0.700024,class_0
38,532,0.790663,class_0
42,792,0.497662,class_0
131,780,0.715047,class_0
135,225,0.575482,class_0
240,262,0.350265,class_0
335,205,0.405865,class_0
101,158,0.459327,class_0
807,56,0.554957,class_0
936,736,0.600498,class_0
255,546,0.442761,class_0
27,559,0.511476,class_0
941,809,0.689341,class_0
554,943,0.569277,class_0
133,439,0.445855,class_0
591,271,0.45975,class_0
481,492,0.510086,class_0
464,565,0.562864,class_0
189,434,0.443728,class_0
758,755,0.583553,class_0
977,902,0.452015,class_0
208,304,0.420111,class_0
796,355,0.365417,class_0
492,537,0.405819,class_0
485,149,0.768884,class_0
470,474,0.694179,class_0
629,570,0.7601,class_0
515,330,0.714807,class_0
720,467,0.661033,class_0
670,567,0.764605,class_0
745,78,0.616563,class_0
684,104,0.689977,class_0
457,626,0.669144,class_0
363,918,0.609306,class_0
309,608,0.58538,class_0
259,526,0.609214,class_0
227,947,0.528947,class_0
308,838,0.606355,class_0
191,188,0.679329,class_0
231,994,0.640438,class_0
487,1002,0.463579,class_0
56,78,0.504538,class_0
94,272,0.624324,class_0
78,565,0.755196,class_0
104,440,0.74426,class_0
247,447,0.758684,class_0
540,189,0.654745,class_0
835,402,0.669335,class_0
142,461,0.393883,class_0
133,427,0.513351,class_0
814,760,0.565997,class_0
37,643,0.700465,class_0
46,910,0.648635,class_0
253,995,0.633054,class_0
361,496,0.607685,class_0
882,713,0.588992,class_0
947,820,0.390512,class_0
684,733,0.635207,class_0
838,574,0.470799,class_0
340,603,0.589103,class_0
870,899,0.558783,class_0
251,118,0.766364,class_0
153,254,0.691134,class_0
72,254,0.597494,class_0
245,429,0.629531,class_0
56,57,0.40248,class_0
475,446,0.606361,class_0
73,343,0.649061,class_0
734,416,0.440889,class_0
386,988,0.737183,class_0
431,987,0.670972,class_0
898,30,0.683529,class_0
777,739,0.501978,class_0
656,624,0.660202,class_0
693,619,0.461434,class_0
566,727,0.435324,class_0
60,610,0.538241,class_0
142,647,0.55127,class_0
215,678,0.689893,class_0
164,777,0.479689,class_0
242,985,0.478589,class_0
244,760,0.7349,class_0
35,681,0.464147,class_0
110,714,0.627889,class_0
648,860,0.72967,class_0
596,919,0.58962,class_0
88,796,0.611314,class_0
66,653,0.673154,class_0
231,897,0.594532,class_0
898,262,0.483846,class_0
966,140,0.733647,class_0
903,651,0.683319,class_0
927,48,0.581159,class_0
882,376,0.602726,class_0
193,56,0.657209,class_0
713,74,0.715549,class_0
967,22,0.62496,class_0
827,576,0.635536,class_0
299,810,0.716362,class_0
79,615,0.648647,class_0
248,688,0.5301,class_0
312,744,0.697099,class_0
433,805,0.709787,class_0
139,777,0.53466,class_0
221,932,0.610486,class_0
87,797,0.749999,class_0
18,735,0.611401,class_0
624,413,0.541077,class_0
109,318,0.670814,class_0
88,398,0.44543,class_0
96,87,0.637932,class_0
36,19,0.462549,class_0
328,559,0.576397,class_0
411,699,0.522958,class_0
220,788,0.644321,class_0
327,967,0.594436,class_0
265,935,0.612716,class_0
431,886,0.609406,class_0
493,833,0.665907,class_0
608,914,0.636759,class_0
879,610,0.466043,class_0
894,770,0.541256,class_0
861,689,0.478216,class_0
763,700,0.428866,class_0
710,783,0.458564,class_0
498,782,0.397215,class_0
654,586,0.48639,class_0
352,580,0.505419,class_0
316,604,0.557412,class_0
294,706,0.626976,class_0
162,609,0.526225,class_0
313,952,0.527492,class_0
658,894,0.758826,class_0
681,865,0.403821,class_0
700,1002,0.595954,class_0
912,903,0.483699,class_0
191,312,0.536016,class_0
324,397,0.398704,class_0
570,476,0.363576,class_0
623,314,0.666934,class_0
519,211,0.578384,class_0
609,200,0.65514,class_0
638,226,0.550624,class_0
526,391,0.644955,class_0
469,578,0.589475,class_0
458,628,0.751615,class_0
337,658,0.629592,class_0
81,534,0.523188,class_0
310,580,0.614117,class_0
815,242,0.560625,class_0
728,185,0.697522,class_0
762,117,0.513031,class_0
800,491,0.589729,class_0
682,534,0.605288,class_0
695,588,0.545438,class_0
674,690,0.60734,class_0
724,662,0.487619,class_0
682,803,0.688664,class_0
570,769,0.652361,class_0
591,853,0.604715,class_0
444,980,0.595762,class_0
626,736,0.686222,class_0
534,878,0.585869,class_0
499,880,0.622587,class_0
650,43,0.445132,class_0
211,466,0.67349,class_0
969,773,0.738432,class_0
999,798,0.362401,class_0
974,503,0.505729,class_0
38,654,0.575053,class_0
811,584,0.585647,class_0
238,141,0.625978,class_0
61,194,0.418696,class_0
398,115,0.556788,class_0
682,351,0.391452,class_0
954,743,0.600289,class_0
557,835,0.695809,class_0
114,217,0.354353,class_0
505,345,0.643426,class_0
756,297,0.661213,class_0
884,36,0.621228,class_0
278,588,0.359784,class_0
359,603,0.740123,class_0
497,693,0.585487,class_0
447,733,0.636071,class_0
329,377,0.662258,class_0
519,105,0.619628,class_0
580,78,0.683271,class_0
353,126,0.628265,class_0
500,352,0.627207,class_0
511,383,0.525753,class_0
282,467,0.571402,class_0
522,425,0.508713,class_0
597,235,0.369136,class_0
471,55,0.431564,class_0
530,145,0.401217,class_0
433,202,0.383424,class_0
860,285,0.473552,class_0
791,443,0.537044,class_0
818,459,0.703801,class_0
823,506,0.698547,class_0
723,561,0.531931,class_0
782,647,0.585912,class_0
842,640,0.382257,class_0
905,535,0.366049,class_0
898,610,0.582928,class_0
864,582,0.366291,class_0
632,454,0.516115,class_0
863,609,0.53039,class_0
456,563,0.708447,class_0
489,560,0.37622,class_0
316,645,0.66023,class_0
291,674,0.717195,class_0
644,759,0.647777,class_0
428,864,0.698061,class_0
77,924,0.648539,class_0
526,843,0.650104,class_0
606,835,0.732218,class_0
983,769,0.694169,class_0
974,643,0.700967,class_0
626,701,0.730578,class_0
681,851,0.621784,class_0
862,710,0.466913,class_1
737,247,0.40037,class_1
852,332,0.403658,class_1
378,665,0.688785,class_1
493,62,0.686454,class_1
481,36,0.622708,class_1
439,21,0.660485,class_1
207,175,0.712802,class_1
76,146,0.716862,class_1
384,247,0.684014,class_1
242,395,0.485125,class_1
32,57,0.663749,class_1
665,113,0.624256,class_1
947,979,0.716101,class_1
463,477,0.568112,class_1
189,697,0.60881,class_1
338,624,0.659431,class_1
471,29,0.430086,class_1
762,838,0.380174,class_1
855,116,0.427217,class_1
170,543,0.353266,class_1
88,813,0.457731,class_1
91,880,0.590433,class_1
884,736,0.350101,class_1
556,868,0.404157,class_1
992,677,0.381304,class_1
753,943,0.420417,class_1
946,399,0.367193,class_1
428,995,0.521063,class_1
78,102,0.43763,class_1
585,438,0.485393,class_1
100,700,0.433271,class_1
194,831,0.554439,class_1
385,560,0.37555,class_1
395,106,0.595096,class_1
753,403,0.411409,class_1
876,60,0.629029,class_1
954,229,0.373388,class_1
973,224,0.392134,class_1
896,407,0.485659,class_1
920,61,0.683073,class_1
790,691,0.446887,class_1
757,615,0.374784,class_1
714,571,0.438085,class_1
699,945,0.454503,class_1
610,747,0.396606,class_1
225,264,0.382899,class_1
487,586,0.423395,class_1
482,640,0.405375,class_1
325,717,0.455327,class_1
405,731,0.493037,class_1
875,935,0.412492,class_1
196,83,0.637821,class_1
317,767,0.413008,class_1
71,788,0.662847,class_1
42,819,0.647858,class_1
38,841,0.517451,class_1
165,966,0.617392,class_1
205,901,0.509155,class_1
231,269,0.542606,class_1
168,420,0.478091,class_1
137,348,0.548114,class_1
111,658,0.746524,class_1
251,690,0.371456,class_1
243,125,0.446705,class_1
945,121,0.387412,class_1
765,78,0.500398,class_1
712,251,0.642019,class_1
22,362,0.464648,class_1
555,724,0.582363,class_1
47,906,0.545028,class_1
910,941,0.494664,class_1
324,380,0.654351,class_1
741,225,0.578095,class_1
356,607,0.540775,class_1
217,917,0.483678,class_1
927,845,0.68518,class_1
927,845,0.68518,class_1
907,818,0.412094,class_1
813,112,0.700588,class_1
674,151,0.497352,class_1
948,239,0.643023,class_1
811,508,0.558232,class_1
933,677,0.597371,class_1
782,989,0.610104,class_1
510,186,0.483683,class_1
556,52,0.572085,class_1
317,660,0.398224,class_1
117,634,0.513492,class_1
773,914,0.590013,class_1
247,72,0.541671,class_2
752,23,0.488238,class_2
182,35,0.473216,class_2
819,28,0.405212,class_2
956,26,0.353918,class_2
357,34,0.384411,class_2
398,45,0.366744,class_2
131,44,0.353327,class_2
358,48,0.351617,class_2
810,59,0.355256,class_2
938,58,0.371388,class_2
835,60,0.366835,class_2
802,93,0.457248,class_2
951,79,0.414367,class_2
732,79,0.357202,class_2
830,81,0.381934,class_2
170,94,0.448962,class_2
131,89,0.381007,class_2
908,89,0.352042,class_2
511,100,0.49304,class_2
720,98,0.352099,class_2
906,98,0.350199,class_2
128,104,0.398755,class_2
395,110,0.373674,class_2
350,117,0.468522,class_2
980,134,0.55448,class_2
234,147,0.460851,class_2
514,132,0.355737,class_2
895,135,0.358879,class_2
637,142,0.404241,class_2
402,142,0.354022,class_2
716,149,0.40586,class_2
664,148,0.366888,class_2
892,157,0.450818,class_2
789,167,0.465686,class_2
749,164,0.391415,class_2
395,187,0.386049,class_2
172,174,0.404241,class_2
888,177,0.425375,class_2
532,192,0.561086,class_2
949,180,0.378173,class_2
225,218,0.505551,class_2
740,185,0.471058,class_2
284,196,0.381083,class_2
663,200,0.357228,class_2
805,204,0.424369,class_2
173,209,0.425901,class_2
896,208,0.37514,class_2
950,221,0.437537,class_2
291,213,0.377069,class_2
662,214,0.353914,class_2
277,216,0.368104,class_2
525,218,0.369739,class_2
736,226,0.503022,class_2
702,223,0.456124,class_2
751,323,0.532957,class_2
867,244,0.473259,class_2
898,227,0.357104,class_2
175,242,0.475616,class_2
524,238,0.400628,class_2
440,243,0.434832,class_2
701,241,0.363206,class_2
323,248,0.440266,class_2
398,251,0.417192,class_2
891,253,0.389444,class_2
940,266,0.479669,class_2
556,264,0.379032,class_2
242,284,0.469605,class_2
658,279,0.462799,class_2
122,288,0.419455,class_2
882,284,0.514445,class_2
163,298,0.433596,class_2
213,321,0.545369,class_2
325,293,0.394209,class_2
424,287,0.386297,class_2
612,297,0.386813,class_2
983,298,0.392576,class_2
704,303,0.377459,class_2
563,308,0.493828,class_2
411,313,0.416127,class_2
672,375,0.591797,class_2
604,319,0.372775,class_2
158,337,0.388471,class_2
379,331,0.371464,class_2
848,352,0.392198,class_2
317,337,0.396242,class_2
939,398,0.559852,class_2
593,371,0.491766,class_2
559,358,0.370245,class_2
187,461,0.590082,class_2
158,421,0.52015,class_2
241,370,0.377469,class_2
983,375,0.385386,class_2
376,392,0.487774,class_2
454,384,0.41751,class_2
309,387,0.423718,class_2
93,386,0.397194,class_2
122,388,0.387295,class_2
833,393,0.369483,class_2
513,398,0.387473,class_2
370,420,0.411558,class_2
502,424,0.446765,class_2
576,428,0.369006,class_2
89,433,0.485224,class_2
820,462,0.468145,class_2
885,438,0.520398,class_2
781,443,0.424977,class_2
571,449,0.411312,class_2
113,453,0.40864,class_2
