@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute class {class_0,class_1}

@data
-1,-0.941176,1,-0.89011,1,1,0.333333,1,-1,0.714286,1,-0.333333,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
1,-0.764706,1,-0.791209,-1,0.5,0.333333,0.333333,-1,0.071429,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-1,0.117647,0,-0.153846,-1,0.5,0.333333,1,-0.333333,-0.071429,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,class_0
1,-0.058824,0,-0.021978,1,0,0.333333,1,1,-0.428571,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,class_0
1,-0.411765,0,-0.714286,0,1,0.333333,1,-0.333333,0.214286,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-0.333333,-0.058824,0,-0.263736,-1,0,0.333333,-0.333333,0.333333,-0.428571,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,class_0
1,-0.764706,0,-0.681319,0.5,0.5,-1,1,-1,0.5,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,class_0
-0.333333,-0.764706,0,-0.846154,-1,0,-0.333333,-1,0.333333,-0.892857,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
-1,-0.676471,0,-0.868132,-1,0,-0.333333,1,0.333333,-0.678571,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,class_0
1,-0.411765,1,-0.758242,1,1,0.333333,1,-0.333333,0.214286,1,-0.333333,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,class_0
