@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6}

@data
35,0,250,48.0003,1,1,0,5.521461,class_0
25,1,218.75,52.2,0,2,2,5.38793,class_0
37,0,1875,163.5,0,0,0,7.536364,class_0
29,1,781.25,87,0,0,0,6.660895,class_0
54,0,562.5,21,0,0,0,6.332391,class_0
34,0,218.75,60,1,0,1,5.38793,class_0
40,0,468.75,56.4,1,0,0,6.15007,class_0
32,1,2187.5,48.0003,0,1,1,7.690515,class_0
62,1,781.25,56.4,0,2,2,6.660895,class_0
36,1,937.5,48.0003,0,2,1,6.843217,class_0
62,0,1250,48,0,1,1,6.332391,class_0
52,0,625,48,0,1,1,6.437752,class_0
42,1,1250,82.2,0,3,4,7.130899,class_0
62,0,198.019802,48.0003,0,0,0,5.288367,class_0
41,0,1485.148515,303.6,0,0,0,7.30327,class_0
54,0,1237.623762,48.0003,1,0,0,7.120948,class_0
19,1,2351.485149,170.4,0,0,0,7.762802,class_0
42,1,198.019802,48.0003,1,0,0,5.288367,class_0
28,1,222.772277,60,0,0,0,5.40615,class_0
47,0,990.09901,48.0003,0,0,1,6.897805,class_0
30,1,742.574257,48.0003,0,0,1,6.610123,class_0
58,0,148.514851,52.2,0,0,0,5.000685,class_0
37,0,742.574257,48.0003,0,0,1,6.610123,class_0
38,0,1237.623762,112.5,0,0,0,7.120948,class_0
42,0,7.425743,48.0003,0,0,1,2.004953,class_0
62,1,247.524753,48.0003,0,0,0,5.511511,class_0
28,0,371.287129,48.0003,0,0,0,5.916976,class_0
18,0,742.574257,48.0003,0,1,1,6.610123,class_0
39,1,1435.643564,197.4,0,2,2,7.269369,class_0
39,1,1237.623762,48.0003,1,1,1,7.120948,class_0
22,1,396.039604,48.0003,1,0,0,5.981514,class_0
35,0,990.09901,48.0003,1,1,1,6.897805,class_0
45,0,990.09901,48.0003,0,0,0,6.897805,class_0
30,0,990.09901,48.0003,0,0,0,6.897805,class_0
39,0,371.287129,48.0003,0,2,2,5.916976,class_0
40,0,1093.75,52.2,0,0,0,6.843217,class_0
35,1,937.5,48.0003,1,0,0,6.373746,class_0
15,1,247.524753,48.0003,0,1,2,5.511511,class_0
20,1,495.049505,48.0003,1,0,0,6.204658,class_0
34,1,742.574257,48.0003,1,0,0,6.610123,class_0
26,1,742.574257,48.0003,0,0,0,6.610123,class_0
18,1,1237.623762,48.0003,0,0,0,7.120948,class_0
32,1,990.09901,48.0003,0,0,0,6.897805,class_0
28,0,618.811881,60,0,0,0,6.427801,class_0
25,1,1113.861386,45,0,0,0,7.015588,class_0
54,1,1406.25,48.0003,0,1,1,7.248682,class_0
47,1,2000,161.7,0,0,0,7.600902,class_0
42,1,3500,48.0003,0,0,1,6.55108,class_0
16,0,625,161.7,0,1,1,7.130899,class_0
21,1,2500,170.4,0,1,2,7.130899,class_0
45,1,500,48.0003,0,2,2,8.04719,class_0
23,0,937.5,87,0,1,2,6.843217,class_0
47,1,875,48.0003,1,0,0,6.774224,class_0
29,0,1562.5,161.7,1,0,0,7.354042,class_0
54,1,937.5,161.7,1,0,0,6.843217,class_0
19,0,2500,303.6,1,0,0,6.660895,class_0
29,0,781.25,48.0003,0,2,2,6.660895,class_0
36,1,1250,48.0003,0,2,3,7.130899,class_0
40,0,625,203.7,0,2,1,6.437752,class_0
50,1,1250,303.6,1,1,0,7.130899,class_0
33,1,1000,535.5,0,0,3,6.907755,class_0
19,1,168.75,48.0003,0,1,1,5.128418,class_0
20,0,250,48.0003,0,3,1,5.521461,class_0
28,1,2500,45,1,3,3,7.824046,class_0
17,1,625,216.3,0,2,1,6.660895,class_0
24,1,562.5,48.0003,0,0,1,6.938527,class_0
27,1,600,170.4,0,3,3,6.39693,class_0
36,0,1406.25,176.4,0,1,3,7.248682,class_0
53,0,187.5,48.0003,0,0,2,5.233779,class_0
22,1,109.375,48.0003,1,1,2,4.694782,class_0
34,1,937.5,190.8,0,0,2,6.843217,class_0
41,0,2187.5,186.9,0,0,3,7.690515,class_0
41,1,406.25,48.0003,0,1,3,6.006969,class_0
42,0,2031.25,48.0003,0,2,1,7.616407,class_0
24,1,1562.5,161.7,0,2,3,7.354042,class_0
32,1,781.25,48.0003,0,0,0,6.660895,class_0
63,0,625,48,0,0,1,6.660895,class_0
46,1,250,48,0,0,1,6.907755,class_0
31,1,445.544555,520.2,0,3,3,8.04719,class_0
43,1,156.25,303.6,0,2,2,5.744604,class_0
62,1,250,176.4,0,1,2,5.521461,class_0
39,1,1875,190.8,0,2,2,7.536364,class_0
38,0,2812.5,161.7,0,1,0,7.941829,class_0
28,0,781.25,190.8,0,0,0,6.660895,class_0
22,0,375,403.8,0,0,0,5.926926,class_0
36,1,1250,170.4,0,0,0,7.130899,class_0
45,0,1875,48.0003,0,1,1,7.536364,class_0
32,0,937.5,48.0003,0,0,0,6.843217,class_0
47,0,937.5,158.4,0,2,2,6.843217,class_0
37,1,1250,186.9,1,3,2,7.130899,class_0
52,0,1875,48.0003,0,2,2,7.536364,class_0
34,1,118.75,48,0,4,1,4.77702,class_0
45,0,1562.5,170.4,0,0,0,7.354042,class_0
32,1,937.5,48.0003,0,2,1,6.843217,class_0
29,0,1562.5,170.4,0,0,0,7.354042,class_0
35,1,625,48.0003,0,0,0,6.437752,class_0
20,1,156.25,161.7,0,1,1,5.051457,class_0
51,0,1031.25,161.7,1,2,3,6.938527,class_0
31,1,875,196.2,0,2,2,6.774224,class_0
44,0,1281.25,170.4,0,0,0,7.155591,class_0
42,1,937.5,138,0,0,0,6.843217,class_0
28,0,937.5,118.5,1,2,1,6.843217,class_0
32,0,625,180.9,0,0,0,6.437752,class_0
33,1,1875,288,0,0,0,7.536364,class_0
57,0,1718.75,988.5,0,0,0,7.449353,class_0
19,0,625,82.2,0,2,2,6.437752,class_0
48,0,937.5,161.7,0,2,1,6.843217,class_0
35,1,625,197.4,1,1,1,6.437752,class_0
27,1,875,170.4,1,0,0,6.774224,class_0
65,0,1250,208.5,0,1,1,7.130899,class_0
45,0,1718.75,48.0003,0,2,0,7.449353,class_0
45,0,343.75,48,0,1,1,5.839915,class_0
32,0,406.25,48,1,1,1,6.006969,class_0
38,0,437.5,239.1,1,0,1,6.332391,class_0
28,0,656.25,170.4,0,0,0,6.486542,class_0
30,1,625,48.0003,0,2,1,6.437752,class_0
28,0,562.5,160.2,1,0,0,6.332391,class_0
23,0,2125,239.1,0,0,0,7.661527,class_0
36,0,937.5,176.4,0,2,1,6.843217,class_0
50,0,1093.75,170.4,0,0,0,6.997367,class_0
28,0,187.5,535.5,0,0,0,6.332391,class_0
40,0,1250,161.7,0,1,2,7.130899,class_0
33,0,468.75,48.0003,0,1,1,6.15007,class_0
42,1,937.5,48,0,1,2,6.843217,class_0
27,1,102.5,160.2,0,0,0,4.629863,class_0
64,0,1875,48.0003,0,1,2,7.536364,class_0
38,0,2500,48.0003,0,3,0,7.824046,class_0
49,0,937.5,170.4,0,0,0,6.843217,class_0
31,0,781.25,170.4,0,1,1,6.660895,class_0
37,0,937.5,1005.9,0,0,0,6.843217,class_0
29,0,1562.5,348.9,0,0,0,7.354042,class_0
52,0,1093.75,261.3,0,0,0,6.997367,class_0
66,1,937.5,48.0003,1,0,0,6.843217,class_0
35,0,578.125,21,0,0,0,6.35979,class_0
23,0,125,457.8,1,1,2,4.828314,class_0
45,0,312.5,197.4,0,1,0,5.744604,class_0
25,1,375,170.4,0,0,0,5.926926,class_0
55,1,1250,48.0003,1,2,2,7.130899,class_0
44,1,4687.5,288,0,0,0,6.843217,class_0
30,1,625,48.0003,0,0,0,6.437752,class_0
33,1,1250,176.4,0,0,0,7.130899,class_0
49,1,2187.5,48.0003,0,0,0,7.690515,class_0
52,0,1172.5,48.0003,0,0,0,7.066893,class_0
20,1,2000,535.5,0,1,1,7.600902,class_0
23,0,1000,595.2,0,0,0,6.907755,class_0
35,1,625,48.0003,1,0,0,6.437752,class_0
57,1,781.25,48.0003,1,0,2,6.660895,class_0
20,0,25,48,0,0,0,3.218876,class_0
