@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1,class_2}

@data
0,307,130,3504,12,0,18,class_0
0,350,165,3693,11.5,0,15,class_0
0,318,150,3436,11,0,18,class_0
0,304,150,3433,12,0,16,class_0
0,302,140,3449,10.5,0,17,class_0
0,429,198,4341,10,0,15,class_0
0,454,220,4354,9,0,14,class_0
0,440,215,4312,8.5,0,14,class_0
0,455,225,4425,10,0,14,class_0
0,390,190,3850,8.5,0,15,class_0
0,383,170,3563,10,0,15,class_0
0,340,160,3609,8,0,14,class_0
0,400,150,3761,9.5,0,15,class_0
0,455,225,3086,10,0,14,class_0
2,198,95,2833,15.5,0,22,class_0
2,199,97,2774,15.5,0,18,class_0
2,200,85,2587,16,0,21,class_0
2,199,90,2648,15,0,21,class_0
0,360,215,4615,14,0,10,class_0
0,307,200,4376,15,0,10,class_0
0,318,210,4382,13.5,0,11,class_0
0,304,193,4732,18.5,0,9,class_0
1,140,90,2264,15.5,1,28,class_0
1,98,85,2046,19,1,25,class_0
2,232,100,2634,13,1,19,class_0
2,225,105,3439,15.5,1,16,class_0
2,250,100,3329,15.5,1,17,class_0
2,250,88,3302,15.5,1,19,class_0
2,232,100,3288,15.5,1,18,class_0
0,350,165,4209,12,1,14,class_0
0,400,175,4464,11.5,1,14,class_0
0,351,153,4154,13.5,1,14,class_0
0,318,150,4096,13,1,14,class_0
0,383,180,4955,11.5,1,12,class_0
0,400,170,4746,12,1,13,class_0
0,400,175,5140,12,1,13,class_0
2,258,110,2962,13.5,1,18,class_0
1,140,72,2408,19,1,22,class_0
2,250,100,3282,15,1,19,class_0
2,250,88,3139,14.5,1,18,class_0
1,122,86,2220,14,1,23,class_0
1,91,70,1955,20.5,1,26,class_0
1,97.5,80,2126,17,2,25,class_0
1,140,90,2408,19.5,2,20,class_0
1,122,86,2226,16.5,2,21,class_0
0,350,165,4274,12,2,13,class_0
0,400,175,4385,12,2,14,class_0
