@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13}

@data
0,0,35,22,class_0
1,1,40,18,class_0
2,0,46,23,class_0
0,2,16,34,class_0
0,2,19,6,class_0
0,0,37,9,class_1
0,0,49,49,class_1
2,0,42,4,class_1
2,2,21,23,class_1
2,2,40,62,class_1
0,2,19,4,class_1
0,0,46,1,class_2
0,0,63,23,class_2
1,1,44,19,class_2
1,1,47,7,class_2
1,1,47,16,class_2
2,0,65,20,class_2
2,2,44,28,class_2
0,2,32,22,class_2
0,2,33,28,class_2
0,0,39,83,class_3
0,0,46,23,class_3
0,0,56,15,class_3
0,0,63,9,class_3
0,0,65,81,class_3
1,1,47,13,class_3
2,0,46,42,class_3
2,0,58,9,class_3
2,2,54,18,class_3
0,2,30,16,class_3
0,2,42,27,class_3
0,2,42,8,class_3
0,0,56,12,class_4
0,0,65,15,class_4
0,0,70,37,class_4
1,1,47,2,class_4
2,0,42,32,class_4
2,0,48,66,class_4
2,0,58,28,class_4
2,2,40,28,class_4
2,2,56,22,class_4
2,2,60,29,class_4
0,2,26,20,class_4
0,2,30,35,class_4
0,0,63,24,class_5
0,0,65,26,class_5
0,0,70,17,class_5
0,0,77,14,class_5
0,0,81,14,class_5
0,0,86,6,class_5
1,1,54,35,class_5
1,1,61,6,class_5
1,1,71,15,class_5
1,1,75,14,class_5
1,1,89,18,class_5
2,0,63,12,class_5
2,0,65,17,class_5
2,0,70,12,class_5
2,0,70,23,class_5
2,0,72,40,class_5
2,0,97,18,class_5
2,2,48,15,class_5
2,2,53,73,class_5
2,2,60,10,class_5
2,2,60,5,class_5
2,2,65,13,class_5
2,2,68,27,class_5
0,2,34,17,class_5
0,2,34,29,class_5
0,2,47,31,class_5
0,2,47,6,class_5
0,0,70,25,class_6
0,0,70,18,class_6
1,1,58,50,class_6
1,1,59,25,class_6
1,1,62,10,class_6
1,1,79,33,class_6
1,1,96,43,class_6
2,0,46,10,class_6
2,0,56,38,class_6
2,0,70,7,class_6
2,0,70,23,class_6
2,0,72,36,class_6
2,0,76,9,class_6
2,0,90,21,class_6
2,2,60,20,class_6
2,2,81,21,class_6
2,2,81,12,class_6
0,2,42,30,class_6
0,2,47,27,class_6
0,2,54,40,class_6
0,2,54,19,class_6
0,2,56,8,class_6
0,2,60,8,class_6
0,0,77,26,class_7
0,0,77,24,class_7
0,0,81,29,class_7
1,1,58,35,class_7
1,1,62,17,class_7
1,1,70,27,class_7
1,1,72,22,class_7
1,1,75,16,class_7
1,1,96,20,class_7
2,0,76,62,class_7
2,0,92,36,class_7
2,2,48,24,class_7
2,2,68,18,class_7
0,2,44,15,class_7
0,0,77,27,class_8
1,1,75,37,class_8
1,1,37,6,class_9
1,1,68,35,class_10
2,2,36,10,class_10
0,2,33,32,class_10
2,0,50,10,class_11
2,0,80,4,class_11
0,2,40,12,class_11
0,2,54,14,class_11
2,2,48,49,class_12
2,2,48,17,class_12
2,2,56,22,class_12
2,2,68,71,class_12
2,2,75,17,class_12
2,2,81,10,class_12
0,2,33,31,class_13
