@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5}

@data
0,19,182,0,0,0,0,0,2523,class_0
0,18,107,2,1,0,0,0,2600,class_0
0,21,124,1,0,0,0,1,2622,class_0
0,26,113,2,1,0,0,1,2665,class_0
0,19,95,1,0,0,0,1,2722,class_0
0,22,95,1,0,0,1,1,2750,class_0
0,18,100,2,1,0,0,1,2769,class_0
0,18,100,2,1,0,0,1,2769,class_0
0,15,98,0,0,0,0,1,2778,class_0
0,20,120,1,0,0,0,0,2807,class_0
0,28,120,1,0,0,0,1,2863,class_0
0,28,167,2,0,0,0,1,2877,class_0
0,17,122,2,1,0,0,1,2906,class_0
0,26,168,0,1,0,0,1,2920,class_0
0,25,125,0,0,0,0,1,2977,class_0
0,27,124,2,1,0,0,1,2992,class_0
0,21,160,2,0,0,0,1,3062,class_0
0,18,90,2,1,0,0,0,3076,class_0
0,18,90,2,1,0,0,0,3076,class_0
0,19,132,1,0,0,0,1,3090,class_0
0,22,85,1,1,0,0,1,3090,class_0
0,23,128,1,0,0,0,1,3104,class_0
0,22,130,2,1,0,0,1,3132,class_0
0,19,115,1,0,0,0,1,3175,class_0
0,16,110,1,0,0,0,1,3175,class_0
0,21,110,1,1,0,0,0,3203,class_0
0,30,153,1,0,0,0,1,3203,class_0
0,20,103,1,0,0,0,1,3203,class_0
0,17,119,1,0,0,0,1,3225,class_0
0,17,119,1,0,0,0,1,3225,class_0
0,24,110,1,0,0,0,1,3232,class_0
0,28,140,2,0,0,0,1,3234,class_0
0,26,133,1,1,2,0,1,3260,class_0
0,22,112,2,1,2,0,1,3317,class_0
0,16,112,0,0,0,0,1,3374,class_0
0,16,135,2,1,0,0,1,3374,class_0
0,18,229,0,0,0,0,1,3402,class_0
0,20,121,0,1,0,0,1,3444,class_0
0,23,190,2,0,0,0,1,3459,class_0
0,32,170,2,0,0,0,1,3473,class_0
0,30,110,1,0,0,0,1,3475,class_0
0,20,127,1,0,0,0,1,3487,class_0
0,23,123,1,0,0,0,1,3544,class_0
0,17,120,1,1,0,0,1,3572,class_0
0,19,105,1,0,0,0,1,3572,class_0
0,23,130,2,0,0,0,1,3586,class_0
0,36,175,2,0,0,0,1,3600,class_0
0,24,133,2,0,0,0,1,3614,class_0
0,19,235,2,1,0,1,1,3629,class_0
0,25,95,2,1,3,0,0,3637,class_0
0,16,135,2,1,0,0,1,3643,class_0
0,19,147,2,1,0,0,1,3651,class_0
0,19,147,2,1,0,0,1,3651,class_0
