@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
63,1,0,145,0,0,150,0,2.3,2,0,0,233,class_0
37,1,2,130,1,1,187,0,3.5,2,0,1,250,class_0
41,0,3,130,1,0,172,0,1.4,0,0,1,204,class_0
56,1,3,120,1,1,178,0,0.8,0,0,1,236,class_0
57,0,1,120,1,1,163,1,0.6,0,0,1,354,class_0
57,1,1,140,1,1,148,0,0.4,1,0,0,192,class_0
56,0,3,140,1,0,153,0,1.3,1,0,1,294,class_0
44,1,3,120,1,1,173,0,0,0,0,2,263,class_0
52,1,2,172,0,1,162,0,0.5,0,0,2,199,class_0
57,1,2,150,1,1,174,0,1.6,0,0,1,168,class_0
54,1,1,140,1,1,160,0,1.2,0,0,1,239,class_0
48,0,2,130,1,1,139,0,0.2,0,0,1,275,class_0
49,1,3,130,1,1,171,0,0.6,0,0,1,266,class_0
64,1,0,110,1,0,144,1,1.8,1,0,1,211,class_0
58,0,0,150,0,0,162,0,1,0,0,1,283,class_0
50,0,2,120,1,1,158,0,1.6,1,0,1,219,class_0
58,0,2,120,1,1,172,0,0,0,0,1,340,class_0
66,0,0,150,1,1,114,0,2.6,2,0,1,226,class_0
43,1,1,150,1,1,171,0,1.5,0,0,1,247,class_0
69,0,0,140,1,1,151,0,1.8,0,2,1,239,class_0
59,1,1,135,1,1,161,0,0.5,1,0,2,234,class_0
44,1,2,130,1,1,179,1,0.4,0,0,1,233,class_0
42,1,1,140,1,1,178,0,0,0,0,1,226,class_0
61,1,2,150,0,1,137,1,1,1,0,1,243,class_0
40,1,0,140,1,1,178,1,1.4,0,0,2,199,class_0
71,0,3,160,1,1,162,0,0.4,0,2,1,302,class_0
59,1,2,150,0,1,157,0,1.6,0,0,1,212,class_0
51,1,2,110,1,1,123,0,0.6,0,0,1,175,class_0
65,0,2,140,0,0,157,0,0.8,0,1,1,417,class_0
53,1,2,130,0,0,152,0,1.2,2,0,1,197,class_0
41,0,3,105,1,1,168,0,0,0,1,1,198,class_0
65,1,1,120,1,1,140,0,0.4,0,0,2,177,class_0
44,1,3,130,1,0,188,0,0,0,0,1,219,class_0
54,1,2,125,1,0,152,0,0.5,2,1,1,273,class_0
51,1,0,125,1,0,125,1,1.4,0,1,1,213,class_0
46,0,2,142,1,0,160,1,1.4,2,0,1,177,class_0
54,0,2,135,0,1,170,0,0,0,0,1,304,class_0
54,1,2,150,1,0,165,0,1.6,0,0,2,232,class_0
65,0,2,155,1,1,148,0,0.8,0,0,1,269,class_0
65,0,2,160,1,0,151,0,0.8,0,0,1,360,class_0
51,0,2,140,1,0,142,0,1.5,0,1,1,308,class_0
48,1,3,130,1,0,180,0,0.2,1,0,1,245,class_0
45,1,1,104,1,0,148,1,3,1,0,1,208,class_0
53,0,1,130,1,0,143,0,0.4,1,0,1,264,class_0
39,1,2,140,1,0,182,0,0,0,0,1,321,class_0
52,1,3,120,1,1,172,0,0.2,0,0,1,325,class_0
44,1,2,140,1,0,180,0,0,0,0,1,235,class_0
47,1,2,138,1,0,156,0,0,0,0,1,257,class_0
53,0,2,128,1,0,115,0,0,0,0,1,216,class_0
53,0,1,138,1,0,160,0,0,0,0,1,234,class_0
51,0,2,130,1,0,149,0,0.5,0,0,1,256,class_0
66,1,1,120,1,0,151,0,0.4,1,0,1,302,class_0
62,1,2,130,1,1,146,0,1.8,1,3,2,231,class_0
44,0,2,108,1,1,175,0,0.6,1,0,1,141,class_0
63,0,2,135,1,0,172,0,0,0,0,1,252,class_0
52,1,3,134,1,1,158,0,0.8,0,1,1,201,class_0
48,1,1,122,1,0,186,0,0,0,0,1,222,class_0
45,1,1,115,1,0,185,0,0,0,0,1,260,class_0
34,1,0,118,1,0,174,0,0,0,0,1,182,class_0
57,0,1,128,1,0,159,0,0,0,1,1,303,class_0
71,0,2,110,0,0,130,0,0,0,1,1,265,class_0
