@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
0,0,0,0,51,0,0,0,0,0,631,class_0
0,1,1,0,65,0,1,1,1,1,270,class_0
0,1,0,1,64,1,2,0,1,2,327,class_0
0,1,0,0,73,0,2,2,2,3,243,class_0
1,1,1,1,64,0,2,2,1,4,916,class_0
2,1,0,1,65,0,0,2,1,6,637,class_0
2,1,1,2,84,0,1,3,1,7,235,class_0
3,1,0,1,54,1,2,0,1,8,255,class_0
4,1,0,1,72,1,1,1,3,9,184,class_0
4,1,0,1,42,0,1,1,3,9,1064,class_0
0,1,0,1,61,0,2,2,1,10,414,class_0
4,1,1,0,71,0,0,0,0,11,216,class_0
2,1,1,1,83,2,1,0,0,12,324,class_0
0,1,0,2,43,0,0,2,1,13,480,class_0
1,1,1,1,52,0,1,2,1,14,245,class_0
3,1,1,1,69,0,2,0,2,16,560,class_0
4,0,1,2,65,2,2,0,2,17,376,class_0
1,1,0,1,58,0,0,2,1,18,911,class_0
0,1,1,1,63,0,0,2,1,18,279,class_0
2,1,0,1,59,2,0,2,1,19,144,class_0
4,1,0,0,75,0,0,0,0,19,1092,class_0
3,1,0,0,65,1,2,0,1,20,94,class_0
2,1,1,2,41,0,0,2,1,21,177,class_0
4,1,1,1,72,0,1,3,1,23,526,class_0
1,1,1,1,51,0,2,2,1,24,173,class_0
0,0,0,1,72,1,0,0,0,24,575,class_0
3,1,0,1,49,0,1,0,3,25,222,class_0
4,1,1,1,82,2,2,0,2,26,167,class_0
0,0,0,1,64,0,2,1,1,27,1565,class_0
2,0,1,1,57,1,0,2,1,28,256,class_0
4,1,1,0,67,1,0,0,1,29,134,class_0
3,1,1,1,65,1,2,0,2,30,404,class_0
0,1,0,1,49,0,1,3,1,32,162,class_0
1,1,0,1,60,0,1,0,1,33,262,class_0
4,1,0,1,75,1,0,0,1,34,307,class_0
0,1,1,1,54,0,0,1,1,35,782,class_0
4,1,1,1,59,0,1,1,3,35,661,class_0
1,1,0,1,58,0,2,0,3,36,546,class_0
0,1,0,0,60,0,2,0,2,38,374,class_0
2,1,1,1,49,2,2,2,1,41,74,class_0
0,1,0,0,77,0,2,2,0,43,301,class_0
0,1,0,0,75,0,0,2,0,44,328,class_0
4,1,0,0,54,0,2,0,1,45,459,class_0
4,1,0,0,68,0,2,2,2,46,446,class_0
0,1,1,2,66,0,0,2,1,48,494,class_0
4,1,1,0,47,0,2,0,3,49,279,class_0
1,1,0,1,60,0,1,0,3,50,915,class_0
0,1,0,1,66,0,1,2,3,51,228,class_0
4,1,0,2,51,0,2,0,1,52,127,class_0
0,0,0,0,49,0,2,0,2,53,1574,class_0
3,1,0,0,50,0,0,2,2,54,561,class_0
0,0,0,0,52,0,1,2,1,55,370,class_0
0,1,1,1,40,0,1,2,1,56,805,class_0
2,1,1,1,69,0,2,0,1,57,192,class_0
1,1,1,1,56,0,0,3,1,58,273,class_0
4,0,1,2,47,0,1,0,3,59,407,class_0
4,1,0,2,46,0,0,0,0,60,929,class_0
4,1,1,0,53,0,1,1,1,61,548,class_0
0,1,0,1,90,0,1,0,1,64,517,class_0
1,1,1,1,48,0,2,2,3,66,230,class_0
2,1,0,1,67,0,0,0,0,67,763,class_0
1,0,0,1,58,1,1,2,1,67,172,class_0
3,1,1,2,58,0,0,0,1,69,544,class_0
4,1,0,0,72,0,1,0,1,70,800,class_0
3,1,0,2,70,0,1,1,1,72,785,class_0
3,1,0,1,71,0,0,2,2,73,714,class_0
5,1,1,1,55,0,2,0,0,74,338,class_0
4,0,1,0,73,0,2,0,2,75,432,class_0
3,1,1,1,63,1,2,0,2,77,351,class_0
0,0,0,0,58,0,0,3,1,78,205,class_0
3,0,1,1,62,2,1,2,1,80,11,class_0
4,0,0,0,55,0,1,1,3,81,666,class_0
0,1,0,0,50,1,0,2,1,82,147,class_0
5,0,0,1,67,0,0,0,3,84,477,class_0
3,1,1,0,71,1,0,0,1,87,696,class_0
0,1,0,0,65,0,2,2,1,88,112,class_0
5,0,1,1,50,0,0,2,1,89,308,class_0
1,1,1,1,61,1,1,2,1,90,15,class_0
1,1,1,0,72,1,2,2,2,91,130,class_0
2,1,0,0,51,0,0,0,2,92,296,class_0
2,1,0,1,59,0,1,0,1,93,293,class_0
0,1,1,1,56,0,2,2,2,94,545,class_0
4,1,1,1,68,1,2,0,1,97,147,class_0
1,0,0,1,71,1,2,0,1,98,726,class_0
0,0,1,1,57,0,0,1,3,99,310,class_0
0,1,0,1,72,0,1,0,0,100,599,class_0
1,1,0,0,47,0,1,2,0,103,382,class_0
5,1,1,1,52,1,1,2,1,105,264,class_0
5,1,1,0,61,1,1,2,1,106,11,class_0
0,1,0,2,64,1,1,2,1,108,89,class_0
1,1,0,1,73,0,2,2,2,109,525,class_0
4,1,0,1,68,0,2,1,1,111,637,class_0
3,1,0,2,58,1,0,0,1,112,112,class_0
5,1,0,2,85,1,1,1,3,114,170,class_0
1,1,0,1,53,0,2,2,2,116,191,class_0
5,1,0,1,58,1,0,1,1,120,99,class_0
0,1,0,1,39,0,1,0,1,121,99,class_0
3,1,1,2,49,0,0,1,1,123,461,class_0
3,1,1,1,52,0,2,0,0,124,347,class_0
5,1,0,1,35,1,1,0,2,125,372,class_0
1,1,0,1,81,0,1,0,1,127,363,class_0
5,1,1,1,74,1,2,0,2,128,238,class_0
0,0,0,1,66,1,1,2,1,130,219,class_0
4,1,0,1,74,1,1,0,3,131,465,class_0
5,0,1,2,90,3,0,0,2,132,446,class_0
0,1,1,1,60,0,2,2,0,133,553,class_0
1,1,1,1,63,0,2,2,0,134,532,class_0
0,0,1,1,61,0,1,2,0,135,154,class_0
0,1,1,0,67,0,2,2,1,136,369,class_0
2,1,0,1,88,0,0,0,2,137,541,class_0
1,0,1,2,69,1,1,2,2,138,107,class_0
3,0,0,1,48,0,0,0,2,141,775,class_0
0,1,0,0,77,0,2,2,2,141,336,class_0
3,1,1,2,69,0,0,3,1,141,513,class_0
1,1,0,1,71,0,1,2,1,143,757,class_0
4,1,1,1,66,1,0,0,3,145,105,class_0
0,1,0,1,78,0,1,2,1,148,266,class_0
0,0,1,0,58,1,2,2,1,149,317,class_0
0,1,1,2,65,0,1,0,1,150,407,class_0
3,0,1,1,53,1,1,0,3,151,346,class_0
4,1,1,1,49,0,1,1,3,152,518,class_0
5,1,1,1,65,0,0,0,3,153,395,class_0
1,1,0,0,59,0,2,2,0,154,81,class_0
3,0,1,1,79,0,1,1,3,155,608,class_0
3,1,0,0,54,0,0,2,2,157,343,class_0
4,1,1,1,47,0,2,0,2,158,324,class_0
5,1,0,1,68,0,2,2,0,159,254,class_0
0,1,0,2,72,0,0,0,1,161,334,class_0
3,0,1,0,51,1,0,0,0,162,275,class_0
3,0,1,1,43,1,1,0,1,164,112,class_0
5,1,1,1,54,0,2,2,1,166,209,class_0
3,1,1,2,50,0,0,2,1,167,208,class_0
0,1,1,1,39,0,2,2,1,168,174,class_0
5,0,1,1,52,1,2,0,3,171,291,class_0
2,0,0,1,55,0,0,0,2,173,498,class_0
2,0,0,1,47,0,1,0,1,175,213,class_0
1,0,1,1,67,1,1,0,2,176,38,class_0
2,0,0,1,66,1,0,0,3,177,128,class_0
0,1,0,0,54,0,0,2,1,179,159,class_0
1,1,1,1,54,0,2,0,1,180,219,class_0
2,1,1,1,59,1,2,2,2,181,173,class_0
4,1,1,1,57,1,2,0,1,183,274,class_0
2,1,1,0,61,0,0,0,2,5,1823,class_1
2,0,0,2,68,0,1,1,1,15,1565,class_1
4,1,0,1,60,0,1,0,1,22,1472,class_1
