@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
0.0888,201,36.02,0.5885,class_0
0.1276,196,38.4,0.5703,class_0
0.2315,191,38.01,0.3788,class_0
0.1828,191,29.54,0.4401,class_0
0.1627,196,31.35,0.5581,class_0
0.1058,191,28.35,0.4903,class_0
0.1343,193,31.26,0.4414,class_0
0.2771,180,27.07,0.3214,class_0
0.2187,191,21.95,0.3007,class_0
0.2547,160,34.55,0.2894,class_0
0.1871,183,19.78,0.4449,class_0
0.1623,180,18.49,0.3408,class_0
0.1399,198,39.32,0.8291,class_1
0.0983,191,40.71,0.5772,class_1
0.1906,193,36.2,0.5276,class_1
0.1461,191,35.59,0.5113,class_1
0.0896,198,25.67,0.4325,class_1
0.2071,178,36.22,0.4086,class_1
0.1006,198,22.87,0.3498,class_1
0.2069,170,33.84,0.4285,class_1
0.213,188,21.59,0.4121,class_1
0.188,180,12.24,0.3678,class_1
0.0747,198,38.8,0.4974,class_2
0.13,188,30.77,0.3998,class_2
0.2383,185,35.25,0.3801,class_2
0.0877,193,21.67,0.5769,class_2
0.0942,201,20.17,0.4512,class_2
0.2348,188,24.27,0.2719,class_2
0.1239,180,17.76,0.4393,class_2
0.1608,185,17.41,0.3503,class_2
0.1671,201,34.1,0.5835,class_3
0.3437,185,34.91,0.4325,class_3
0.1592,191,25.75,0.3418,class_3
0.055,193,29.07,0.3096,class_3
0.1356,193,13.27,0.2185,class_3
0.1477,196,20.31,0.4677,class_3
0.1072,188,12.12,0.4455,class_3
0.1061,191,36.75,0.5523,class_4
0.2485,188,35.01,0.4313,class_4
0.2681,183,39.53,0.5439,class_4
0.2326,185,33.53,0.4802,class_4
0.1485,198,23.57,0.3097,class_4
0.227,191,31.72,0.4319,class_4
0.194,193,20.62,0.3588,class_4
0.2378,185,32.38,0.3212,class_4
0.0728,193,19.24,0.4573,class_4
0.1776,193,17.46,0.2578,class_4
0.2617,185,24.46,0.3189,class_4
0.1994,188,20.06,0.4187,class_4
0.2446,185,38.43,0.4007,class_5
0.1227,198,36.67,0.4909,class_5
0.2521,183,31.73,0.5735,class_5
0.1256,196,27.87,0.6244,class_5
0.167,203,33.54,0.477,class_6
0.124,185,33.88,0.5668,class_6
0.1188,191,22.74,0.4091,class_6
0.101,193,21.79,0.4773,class_6
0.1071,196,24.28,0.3089,class_6
0.1591,191,22,0.3682,class_6
0.2146,188,20.51,0.512,class_6
0.1167,196,12,0.3667,class_6
0.1554,183,11.58,0.3195,class_6
0.2282,185,10.08,0.2381,class_6
0.0494,193,32.38,0.559,class_7
0.1956,188,35.28,0.428,class_7
0.1563,193,34.56,0.5267,class_7
0.2327,185,36.52,0.4819,class_7
0.2164,193,24.49,0.3185,class_7
0.1014,193,13.81,0.1593,class_7
0.1107,196,35.22,0.4799,class_8
0.1577,193,31.07,0.4345,class_8
0.1649,188,27.9,0.3799,class_8
0.2495,185,30.46,0.4727,class_8
0.2084,185,27.83,0.3917,class_8
0.113,191,23.01,0.3302,class_8
0.2178,185,13.31,0.3004,class_8
0.0805,193,13.67,0.4388,class_8
0.1821,185,12.63,0.3087,class_8
0.1706,170,17,0.5059,class_8
0.1007,193,28.81,0.6318,class_9
0.1236,196,26.7,0.4419,class_9
0.107,198,24.31,0.3991,class_9
0.0898,196,13.37,0.389,class_9
0.1067,196,35.6,0.4326,class_10
0.1403,198,33.5,0.4866,class_10
0.2244,185,36.55,0.4624,class_10
0.0586,196,22.18,0.4013,class_10
0.1043,196,16.3,0.3313,class_10
0.156,191,16.03,0.2683,class_10
0.1778,185,18.56,0.2802,class_10
0.1863,185,11.81,0.381,class_10
0.0528,196,18.95,0.5437,class_11
0.1317,188,17.46,0.2406,class_12
0.1528,191,16.36,0.4035,class_12
0.2127,188,14.57,0.2471,class_13
0.1668,185,14.38,0.2989,class_14
