@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
125,256,6000,256,128,198,class_0
23,16000,32000,64,32,367,class_0
23,16000,32000,64,32,489,class_0
23,16000,64000,64,32,636,class_0
26,16000,32000,64,24,465,class_0
38,16000,32000,128,32,510,class_0
30,16000,32000,256,24,510,class_0
38,4000,8000,32,32,51,class_0
38,4000,8000,32,32,116,class_0
38,4000,16000,128,32,212,class_0
29,8000,32000,32,32,269,class_1
29,8000,32000,32,32,220,class_1
29,8000,32000,32,32,172,class_1
29,8000,16000,32,16,132,class_1
26,8000,32000,64,32,318,class_1
110,5000,5000,142,64,120,class_1
125,512,1000,0,20,36,class_1
26,16000,32000,64,24,465,class_1
26,8000,32000,0,24,277,class_1
26,8000,16000,0,16,185,class_1
150,512,4000,0,128,30,class_1
72,4000,16000,64,16,143,class_1
40,8000,16000,32,16,214,class_1
40,8000,32000,64,24,277,class_1
35,8000,32000,64,24,370,class_1
48,4000,24000,32,24,214,class_1
38,8000,32000,64,24,326,class_1
26,8000,24000,32,16,173,class_1
23,32000,64000,128,64,1144,class_2
400,1000,3000,0,2,38,class_3
400,512,3500,4,6,40,class_3
60,2000,8000,65,8,92,class_3
50,4000,16000,65,8,138,class_3
350,64,64,0,4,10,class_3
320,128,6000,0,12,23,class_3
320,512,2000,4,3,69,class_3
320,256,6000,0,6,33,class_3
320,256,3000,4,3,27,class_3
320,512,5000,4,5,77,class_3
320,256,5000,4,6,27,class_3
50,500,2000,8,4,20,class_3
50,1000,4000,8,5,29,class_3
50,2000,8000,8,5,71,class_3
810,512,512,8,1,18,class_3
810,1000,5000,0,1,20,class_3
320,512,8000,4,5,40,class_3
200,512,8000,8,8,62,class_3
700,384,8000,0,1,24,class_3
700,256,2000,0,1,24,class_3
140,1000,16000,16,3,138,class_3
200,1000,8000,0,2,36,class_3
110,1000,4000,16,2,26,class_3
110,1000,12000,16,2,60,class_3
220,1000,8000,16,2,71,class_3
800,256,8000,0,4,12,class_3
800,256,8000,0,4,14,class_3
800,256,8000,0,4,20,class_3
800,256,8000,0,4,16,class_3
800,256,8000,0,4,22,class_3
75,2000,8000,64,38,144,class_3
75,2000,16000,64,38,144,class_3
75,2000,16000,128,38,259,class_3
300,768,4500,0,24,45,class_3
300,384,12000,6,24,53,class_3
180,768,12000,6,31,84,class_3
330,1000,2000,0,2,16,class_3
140,2000,4000,8,20,35,class_3
140,2000,32000,32,20,134,class_3
140,2000,8000,32,54,66,class_3
140,2000,32000,32,54,141,class_3
140,2000,32000,32,54,189,class_3
140,2000,4000,8,20,22,class_3
480,96,512,0,1,6,class_3
203,1000,2000,0,5,24,class_3
115,512,6000,16,6,45,class_3
1100,512,1500,0,1,7,class_3
1100,768,2000,0,1,13,class_3
600,768,2000,0,1,16,class_3
400,2000,4000,0,1,32,class_3
400,4000,8000,0,1,32,class_3
900,1000,1000,0,2,11,class_3
900,512,1000,0,2,11,class_3
900,1000,4000,4,2,18,class_3
900,1000,4000,8,2,22,class_3
180,2000,8000,8,6,50,class_3
185,2000,16000,16,6,76,class_3
180,2000,16000,16,6,66,class_3
25,2000,12000,8,4,49,class_3
50,2000,8000,8,6,56,class_3
50,2000,16000,24,6,70,class_3
50,2000,16000,24,6,80,class_3
50,8000,16000,48,10,136,class_3
115,2000,8000,16,3,50,class_3
115,2000,4000,2,5,40,class_3
92,2000,8000,32,6,62,class_3
92,2000,8000,32,6,60,class_3
92,2000,8000,4,6,50,class_3
75,4000,16000,16,6,66,class_3
60,4000,16000,32,6,86,class_3
112,1000,1000,0,4,8,class_3
84,1000,2000,0,6,12,class_3
56,1000,4000,0,6,17,class_3
56,2000,6000,0,8,21,class_3
56,2000,8000,0,8,24,class_3
56,4000,8000,0,8,34,class_3
56,4000,12000,0,8,42,class_3
56,4000,16000,0,8,46,class_3
200,1000,2000,0,2,25,class_3
200,1000,4000,0,4,30,class_3
200,2000,8000,64,5,41,class_3
250,512,4000,0,7,25,class_3
250,1000,16000,1,8,50,class_3
160,512,4000,2,5,30,class_3
160,1000,4000,8,14,38,class_3
160,1000,8000,16,14,60,class_3
160,2000,8000,32,13,109,class_3
240,512,1000,8,3,6,class_3
240,512,2000,8,5,11,class_3
180,262,4000,0,3,12,class_3
180,512,4000,0,3,14,class_3
180,262,4000,0,3,18,class_3
180,512,4000,0,3,21,class_3
124,1000,8000,0,8,42,class_3
200,512,16000,0,32,35,class_4
167,524,2000,8,15,19,class_4
140,2000,4000,0,8,40,class_4
38,8000,16000,64,8,100,class_4
38,8000,24000,160,8,140,class_4
250,512,4000,0,7,50,class_4
105,2000,8000,16,14,58,class_4
52,4000,16000,32,12,130,class_4
143,512,5000,0,32,28,class_5
143,1000,2000,0,16,31,class_6
143,1500,6300,0,32,30,class_6
143,3100,6200,0,20,33,class_6
60,2000,16000,64,8,74,class_6
60,4000,16000,64,8,93,class_6
50,4000,16000,64,10,111,class_6
116,2000,8000,32,28,70,class_6
143,2300,6200,0,64,61,class_7
110,3100,6200,0,64,76,class_7
300,768,3000,0,24,36,class_7
300,768,3000,6,24,44,class_7
300,768,12000,6,24,50,class_7
300,192,768,6,24,36,class_7
57,4000,16000,1,12,132,class_7
17,4000,16000,8,12,100,class_7
17,4000,16000,32,12,133,class_7
50,2000,16000,24,16,54,class_7
50,2000,16000,24,16,65,class_7
72,2000,8000,16,8,105,class_7
105,2000,6000,16,16,33,class_7
70,4000,12000,8,8,75,class_7
59,4000,12000,32,12,113,class_7
50,2000,32000,24,26,114,class_7
25,1310,2620,131,24,274,class_8
25,1310,2620,131,24,368,class_8
50,2620,10480,30,24,32,class_8
50,2620,10480,30,24,63,class_8
56,5240,20970,30,24,106,class_8
64,5240,20970,30,24,208,class_8
57,4000,24000,64,16,237,class_8
59,8000,16000,64,24,188,class_8
26,8000,32000,64,16,248,class_8
30,8000,64000,96,176,915,class_8
30,8000,64000,128,176,1150,class_8
50,1000,4000,8,5,26,class_9
50,1000,8000,8,5,36,class_9
50,2000,16000,8,5,40,class_9
50,2000,16000,8,6,52,class_9
50,2000,16000,8,6,60,class_9
133,1000,12000,9,12,72,class_9
133,1000,8000,9,12,72,class_9
90,256,1000,0,10,17,class_9
105,256,2000,0,10,26,class_9
105,1000,4000,0,24,32,class_9
105,2000,4000,8,19,32,class_9
75,2000,8000,8,24,62,class_9
75,3000,8000,8,48,64,class_9
175,256,2000,0,24,22,class_9
300,1000,4000,8,64,38,class_9
330,1000,4000,0,6,22,class_9
140,2000,4000,0,6,29,class_9
900,2000,4000,0,6,37,class_9
225,2000,4000,8,6,40,class_9
225,2000,4000,8,6,34,class_9
225,1000,4000,2,6,24,class_9
25,2000,12000,16,5,66,class_9
50,2000,4000,0,6,27,class_9
50,2000,8000,8,6,45,class_9
100,1000,8000,24,6,32,class_9
50,2000,16000,12,16,45,class_9
160,512,2000,2,8,32,class_9
105,2000,4000,8,8,22,class_9
330,1000,3000,0,4,16,class_10
300,1000,16000,8,112,38,class_10
100,1000,8000,0,6,16,class_10
100,1000,8000,24,6,26,class_10
98,1000,8000,32,8,46,class_10
125,2000,8000,0,14,52,class_10
1500,768,1000,0,0,12,class_11
1500,768,2000,0,0,18,class_11
800,768,2000,0,0,20,class_11
480,512,8000,32,0,67,class_11
480,1000,4000,0,0,45,class_11
26,8000,32000,128,32,405,class_12
50,2000,32000,48,52,208,class_13
50,2000,32000,112,104,307,class_14
50,4000,32000,112,104,397,class_14
