@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
0,0,3,1,1,0,0,0,class_0
0,0,3,5,0,0,0,0,class_0
0,0,4,1,0,1,0,0,class_0
0,0,4,3,1,0,0,0,class_0
1,0,6,3,1,1,0,1,class_0
3,1,3,1,0,1,0,0,class_0
3,1,3,2,1,0,0,0,class_0
3,1,3,3,0,0,0,0,class_0
3,1,3,4,2,1,0,0,class_0
3,1,3,5,0,1,0,0,class_0
4,1,5,1,2,3,2,1,class_0
4,1,5,3,0,0,0,1,class_0
4,1,5,4,1,1,0,1,class_0
4,1,6,2,2,1,0,1,class_0
6,2,1,1,0,0,0,0,class_0
6,2,3,1,1,1,0,0,class_0
6,2,3,3,1,0,0,0,class_0
7,2,6,3,1,1,0,1,class_0
7,2,6,4,0,0,0,1,class_0
7,2,7,1,0,1,2,1,class_0
7,2,7,3,1,2,2,1,class_0
9,3,1,3,0,0,0,0,class_0
10,3,5,1,0,0,2,1,class_0
10,3,6,1,2,2,0,1,class_0
10,3,6,2,4,4,0,1,class_0
10,3,7,2,1,0,2,1,class_0
11,3,9,1,1,2,0,2,class_0
11,3,9,2,3,3,0,2,class_0
11,3,10,2,2,1,0,2,class_0
12,4,2,3,0,0,0,0,class_0
13,4,5,1,0,0,2,1,class_0
13,4,6,1,1,1,0,1,class_0
13,4,6,2,2,1,0,1,class_0
13,4,7,1,0,0,2,1,class_0
15,5,2,3,2,1,0,0,class_0
15,5,4,1,3,2,0,0,class_0
15,5,4,3,1,1,0,0,class_0
16,5,5,1,0,1,2,1,class_0
16,5,5,2,2,2,2,1,class_0
16,5,5,3,2,2,2,1,class_0
16,5,6,2,2,1,2,1,class_0
16,5,6,3,3,2,0,1,class_0
16,5,7,1,0,0,2,1,class_0
17,5,9,2,3,3,0,2,class_0
18,6,1,3,3,3,0,0,class_0
18,6,2,2,2,2,0,0,class_0
18,6,4,3,1,1,0,0,class_0
19,6,6,1,0,0,2,1,class_0
19,6,6,2,2,2,0,1,class_0
0,0,3,2,0,0,0,0,class_1
0,0,3,3,1,1,0,0,class_1
0,0,3,4,1,0,0,0,class_1
0,0,4,2,2,2,0,0,class_1
2,0,10,1,1,1,0,2,class_1
2,0,10,2,3,4,1,2,class_1
2,0,10,3,3,3,0,2,class_1
2,0,10,5,3,3,0,2,class_1
3,1,2,1,2,1,0,0,class_1
4,1,6,4,3,1,0,1,class_1
5,1,10,2,3,2,0,2,class_1
5,1,10,3,2,2,0,2,class_1
5,1,10,4,1,1,1,2,class_1
5,1,10,5,2,3,0,2,class_1
6,2,3,2,2,2,0,0,class_1
7,2,7,2,0,0,2,1,class_1
8,2,9,3,2,0,0,2,class_1
8,2,10,1,3,3,1,2,class_1
8,2,10,2,5,2,0,2,class_1
8,2,10,4,4,3,0,2,class_1
9,3,1,1,4,4,0,0,class_1
9,3,3,2,3,2,0,0,class_1
9,3,4,1,4,2,0,0,class_1
11,3,9,3,2,1,0,2,class_1
12,4,1,1,5,5,0,0,class_1
12,4,2,1,3,3,0,0,class_1
12,4,2,2,2,2,0,0,class_1
12,4,3,3,4,4,0,0,class_1
12,4,4,3,3,4,0,0,class_1
13,4,5,2,5,5,0,1,class_1
13,4,5,3,1,1,2,1,class_1
14,4,9,1,4,2,0,2,class_1
14,4,10,2,4,4,0,2,class_1
14,4,10,3,5,5,1,2,class_1
15,5,1,1,1,1,0,0,class_1
15,5,2,1,3,3,0,0,class_1
17,5,9,1,3,2,0,2,class_1
17,5,10,1,5,4,0,2,class_1
18,6,3,1,3,3,0,0,class_1
18,6,3,3,1,1,1,0,class_1
19,6,6,3,4,4,0,1,class_1
19,6,7,2,5,4,0,1,class_1
19,6,7,3,3,3,0,1,class_1
20,6,9,2,4,4,0,2,class_1
20,6,10,1,3,3,1,2,class_1
20,6,10,4,3,3,0,2,class_1
1,0,6,1,2,0,0,1,class_2
1,0,6,2,3,3,0,1,class_2
4,1,5,2,1,2,0,1,class_2
8,2,9,1,2,2,0,2,class_2
8,2,9,2,1,1,0,2,class_2
9,3,3,1,1,1,0,0,class_2
9,3,4,2,1,4,0,0,class_2
10,3,6,3,5,4,0,1,class_2
10,3,7,1,0,2,2,1,class_2
11,3,10,1,2,4,1,2,class_2
11,3,10,3,1,3,1,2,class_2
12,4,1,2,1,1,0,0,class_2
12,4,1,3,1,1,0,0,class_2
12,4,3,1,1,1,1,0,class_2
12,4,3,2,2,3,0,0,class_2
12,4,4,1,5,4,0,0,class_2
12,4,4,2,3,3,0,0,class_2
13,4,6,3,4,4,0,1,class_2
13,4,7,2,4,3,0,1,class_2
14,4,9,2,2,2,0,2,class_2
14,4,9,3,4,4,0,2,class_2
14,4,10,1,3,3,1,2,class_2
15,5,1,2,2,2,0,0,class_2
15,5,2,2,1,1,0,0,class_2
15,5,3,1,2,2,0,0,class_2
15,5,3,2,0,0,0,0,class_2
15,5,4,2,1,2,0,0,class_2
16,5,6,1,5,5,0,1,class_2
16,5,7,2,3,0,0,1,class_2
17,5,9,3,3,2,2,2,class_2
17,5,10,2,3,3,1,2,class_2
17,5,10,3,2,1,1,2,class_2
18,6,1,2,0,0,0,0,class_2
18,6,2,1,1,1,0,0,class_2
18,6,2,3,4,4,0,0,class_2
18,6,3,2,2,2,0,0,class_2
18,6,4,1,3,3,0,0,class_2
19,6,7,1,2,1,2,1,class_2
20,6,9,4,1,1,2,2,class_2
20,6,10,2,1,1,0,2,class_2
20,6,10,3,2,2,1,2,class_2
2,0,10,4,3,2,0,2,class_3
3,1,1,2,2,1,0,0,class_3
3,1,1,3,3,3,0,0,class_3
5,1,10,1,3,2,0,2,class_3
6,2,1,0,5,3,0,0,class_3
6,2,1,2,3,1,0,0,class_3
6,2,1,4,2,1,0,0,class_3
9,3,1,2,5,5,0,0,class_3
9,3,1,4,2,4,0,0,class_3
9,3,2,1,4,1,0,0,class_3
9,3,2,2,2,1,0,0,class_3
9,3,2,3,3,4,0,0,class_3
9,3,3,3,4,4,0,0,class_3
10,3,5,2,3,4,0,1,class_3
15,5,1,3,5,4,0,0,class_3
18,6,1,1,1,1,0,0,class_3
18,6,1,4,3,3,0,0,class_3
18,6,4,2,4,4,0,0,class_3
20,6,9,1,1,2,0,2,class_3
