@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
0.367424,0.350397,0.230765,0.579297,0.616564,0,0,0.896104,0.443356,class_0
0.347212,0.507874,0.175062,0.786194,0.224841,0.140194,0.647065,0.87013,0.453211,class_0
0.638527,0.5,0.023878,0.758607,0.313116,0.140194,0.604286,0.896104,0.515607,class_1
0.398342,0.507874,0.734743,0.968962,0.936559,0.271036,0.449202,0.805194,0.767936,class_1
0.892978,0.5,0.40318,0.462055,0.731047,0.140194,0.010685,0.844155,0.552826,class_2
0.41142,0.322838,0,0.968962,0.445531,0.140194,0.770061,0.805194,0.604824,class_3
0.222362,0.511811,0.177713,0.758607,0.531047,0.140194,0.644394,0.831168,0.556659,class_4
0.854932,0.515748,0.018575,0.834467,1,0.140194,0.406423,0.935065,0.677075,class_4
0.702737,0.133862,0.70823,0.568952,0,0.682251,1,0.376614,0.800775,class_4
0.420933,0.472441,0.026513,0.858607,0.455185,0,0.106939,0.935065,0,class_5
0.507733,0.358271,0.230765,0.399986,0.34484,0.140194,0.505353,0.818181,0.563226,class_6
0.073721,0.271657,0.835556,0,0.070354,0.308419,0.574873,0.727272,0.985228,class_7
0.127245,0.464567,0.575595,0.203426,0.771048,0.308419,0.23797,0.688311,0.985228,class_8
0,1,0.43501,0.944826,0.688288,0.32711,0.882376,1,0.673791,class_9
0.532702,0.003933,0.442967,0.131017,0.511737,0.308419,0.270058,0.701298,0.703347,class_10
0.529135,0.437008,0.761288,0.024137,0.023461,0.682251,0.71926,0.415581,0.897657,class_11
1,0.472441,0.018575,1,0.867613,0,0.286101,0.987013,0.332241,class_12
0.500599,0,1,0.282744,0.137954,1,1,0,1,class_13
0.189069,0.433071,0.496018,0.203426,0.408289,0.233653,0.401075,0.844155,0.994539,class_14
