@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute class {class_0,class_1}

@data
1,4,31,1,1,6,0,2,1,0,4,31,1,0,6,11,0,0,0,0,2,1,1,3,2,1,1,class_0
2,0,2,3,1,8,5,2,1,0,0,1,2,0,10,3,1,0,0,0,4,3,1,8,7,1,0,class_0
3,0,3,4,1,5,13,1,1,0,0,2,3,0,8,7,1,0,0,0,5,4,1,8,2,1,0,class_0
4,0,4,5,1,8,6,2,1,0,0,3,4,1,6,2,1,0,0,0,6,5,0,1,10,0,0,class_0
5,0,5,6,1,7,8,1,0,0,0,4,5,1,3,1,1,1,0,0,7,6,0,4,10,0,0,class_0
6,0,7,8,0,12,11,2,0,0,0,5,6,1,7,2,1,0,0,0,8,7,0,8,3,1,0,class_0
7,0,8,9,0,13,9,2,0,0,0,6,7,1,3,2,1,0,0,0,10,9,0,11,6,1,0,class_0
9,0,10,11,0,3,5,1,0,0,0,9,10,1,8,7,1,0,0,0,12,11,0,3,8,0,1,class_0
10,0,11,12,0,7,2,2,0,0,0,10,11,0,13,0,1,0,0,0,13,12,0,7,3,1,1,class_0
11,0,12,13,0,1,2,1,0,0,0,11,12,0,4,5,0,1,0,0,14,13,0,6,11,0,1,class_0
12,0,13,14,0,2,8,1,0,0,0,12,13,0,1,4,0,0,0,0,15,14,0,4,7,0,1,class_0
13,0,14,15,1,15,5,2,3,0,0,14,15,0,0,6,0,0,0,0,17,16,1,3,2,1,1,class_0
14,0,16,17,1,2,8,1,0,0,0,15,16,0,1,2,0,1,0,0,18,17,1,5,4,1,1,class_0
15,0,16,17,1,5,4,2,0,1,0,16,17,0,8,4,1,0,0,0,19,18,1,1,10,0,0,class_0
16,0,17,18,1,8,5,2,1,0,0,17,18,1,3,11,0,0,0,0,20,19,1,3,1,1,1,class_0
17,0,18,19,1,6,5,2,0,0,0,18,19,1,8,1,1,0,0,0,21,20,1,3,6,0,0,class_0
18,0,19,20,1,3,2,2,0,0,0,19,20,1,2,1,1,0,0,0,22,21,1,6,4,1,0,class_0
19,0,21,22,0,5,3,2,1,0,0,21,22,1,5,3,1,0,0,0,24,23,1,5,9,0,1,class_0
20,0,22,23,0,2,3,1,0,0,0,22,23,1,2,3,0,0,0,0,25,24,1,5,7,0,0,class_0
21,0,23,24,0,2,5,1,0,1,0,23,24,1,1,4,0,1,0,0,26,25,1,5,7,0,1,class_0
22,0,24,25,0,4,8,1,0,0,0,24,25,0,4,12,0,1,0,0,27,26,1,3,7,0,0,class_0
24,0,26,27,0,3,9,1,0,0,0,26,27,0,3,4,0,0,0,0,29,28,1,2,11,0,1,class_0
