@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
0,686688,16851,56800,44173,1,3,4,1,1,0,class_0
1,2833511,17688,56098,47557,4,1,3,1,2,1,class_0
2,781572,17182,46426,44274,7,0,2,0,2,1,class_0
5,907810,15600,49945,40852,5,1,2,1,2,0,class_0
8,506875,13546,46195,38545,5,2,2,0,2,0,class_0
10,1744124,16801,54870,44464,4,1,3,1,0,0,class_0
14,951270,15973,51551,41611,3,2,4,0,0,0,class_0
15,1848319,18600,58114,46059,1,0,6,1,3,1,class_0
18,591610,10697,42225,35842,0,1,6,2,2,0,class_0
21,1123678,20853,69989,55108,1,1,6,1,1,1,class_0
22,836231,18705,74744,58222,2,2,4,1,3,1,class_0
23,3711043,18045,56795,50509,2,0,6,1,2,0,class_0
24,906727,15351,50836,40630,6,1,2,0,2,0,class_0
25,1566280,17487,56286,45301,5,1,3,0,0,0,class_0
26,604816,15616,44052,39198,5,2,2,0,2,0,class_0
29,14531529,16271,71029,49481,4,1,4,0,3,0,class_0
28,513117,15580,47622,40803,6,3,0,0,2,1,class_0
30,952662,15874,50905,40893,4,2,3,0,2,0,class_0
31,981747,15337,52543,42057,6,2,1,0,2,0,class_0
33,1607183,17447,55757,46247,0,2,6,1,0,0,class_0
36,1396107,14825,51376,41696,8,0,1,0,2,0,class_0
37,958839,14151,46056,36899,6,2,1,0,2,1,class_0
39,2122101,15166,50740,39385,4,1,4,0,3,1,class_0
43,865640,17040,60197,44093,0,1,7,1,2,1,class_0
44,1002410,16471,61594,44022,4,1,4,0,1,0,class_0
45,1481102,16663,54026,44394,0,3,6,0,3,1,class_0
46,1302099,13605,46632,39251,9,0,0,0,2,0,class_0
47,2498016,16485,56542,47163,7,2,0,0,3,0,class_0
48,6253311,22003,80087,55590,4,1,4,0,3,0,class_0
49,2559164,20387,57884,51147,0,3,6,0,3,0,class_0
51,659864,15077,51716,40823,1,4,3,1,1,0,class_0
53,666880,13514,42998,34133,6,2,1,0,3,0,class_0
54,708954,14253,49050,36318,3,2,4,0,2,0,class_0
3,543477,12675,49696,38850,0,3,6,0,3,0,class_1
4,2382172,17116,61695,46170,2,3,3,1,2,0,class_1
6,3783817,19974,68411,53703,4,3,2,0,1,1,class_1
9,8065633,19408,66300,54128,5,0,4,0,0,0,class_1
11,2759823,16116,56848,41841,5,3,1,0,0,0,class_1
19,688399,15502,52007,43447,2,4,3,0,0,0,class_1
27,741459,15986,49228,41338,0,1,8,0,3,0,class_1
32,3192582,14294,55316,40424,4,2,2,1,2,0,class_1
35,17953372,18906,67201,50414,3,2,3,1,1,0,class_1
40,2242798,16024,52108,40047,3,2,4,0,1,0,class_1
52,614128,14770,51398,39206,3,4,2,0,0,0,class_1
56,709705,17018,56517,46317,3,3,2,1,1,0,class_1
7,1189288,15094,50659,38545,6,0,3,0,1,0,class_2
16,4665236,17256,58890,46466,4,3,2,0,0,0,class_2
34,804219,19634,65474,51639,0,5,4,0,1,0,class_2
41,916270,15043,52340,39932,0,5,4,0,1,1,class_2
50,2444099,16999,58697,44785,0,2,6,0,0,0,class_2
12,1377419,16697,43811,43830,5,1,3,0,0,1,class_3
13,3885415,18900,57704,50727,3,1,5,0,2,0,class_3
17,952662,17642,49546,44655,3,2,4,0,2,0,class_3
20,942091,15697,48929,39458,2,1,6,0,2,0,class_3
42,735480,17642,49546,44655,4,1,3,1,2,1,class_3
55,2464124,18113,61029,47792,4,2,3,0,0,1,class_3
38,5899345,18837,63701,51337,0,3,6,0,1,0,class_4
