@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute class {class_0,class_1,class_2}

@data
573,23,3298,12364,2174,3771,624,98,755,2297,1402,1383,0.305,0.377,0.555,0.98,3,class_0
914,18,2599,10230,1335,2677,394,92,83,791,736,742,0.262,0.313,0.343,0.972,5,class_0
916,20,2422,8856,1319,2749,440,102,45,1116,1302,528,0.31,0.399,0.398,0.948,5,class_0
432,19,2528,9421,1305,2583,407,90,512,1636,763,1236,0.274,0.333,0.5,0.994,2,class_0
780,17,2158,7658,1091,2048,381,24,389,1376,891,1278,0.267,0.345,0.476,0.99,0,class_0
1335,19,2120,7555,1175,2150,321,49,358,1430,704,414,0.285,0.35,0.482,0.989,0,class_0
906,15,1646,6029,861,1779,385,66,68,789,796,309,0.295,0.38,0.415,0.973,5,class_0
907,19,2616,10332,1610,3023,486,141,149,900,761,1730,0.293,0.344,0.41,0.959,3,class_0
1141,10,1215,4205,627,1161,178,18,242,856,533,501,0.276,0.362,0.5,0.988,0,class_0
1118,19,2469,9315,1424,3053,445,112,92,1015,1018,1028,0.328,0.395,0.429,0.991,2,class_0
1114,18,2433,9454,1416,3000,440,166,240,1305,621,1230,0.317,0.362,0.475,0.973,3,class_0
1280,24,3035,11434,2246,4189,724,295,117,1937,1249,357,0.366,0.433,0.512,0.961,3,class_0
945,13,1482,5169,1041,1652,333,64,119,832,857,217,0.32,0.419,0.478,0.985,0,class_0
393,25,2826,9949,1821,3312,438,186,47,1300,1499,286,0.333,0.424,0.428,0.97,4,class_0
745,20,2124,7579,1233,2285,515,118,170,1424,1059,700,0.301,0.39,0.468,0.951,5,class_0
94,17,1789,6300,930,1969,343,72,202,1209,678,289,0.313,0.382,0.486,0.988,0,class_0
749,13,1736,6821,1390,2214,389,131,361,1537,790,369,0.325,0.398,0.579,0.978,3,class_0
687,20,2317,8134,1751,2646,458,125,534,1922,1452,1311,0.325,0.428,0.609,0.992,2,class_0
446,19,2311,9112,1532,2880,466,138,105,1244,728,272,0.316,0.369,0.432,0.974,4,class_0
910,17,2164,8001,1888,2721,534,163,493,1995,1508,790,0.34,0.447,0.632,0.991,2,class_0
221,19,2323,8860,1774,2839,574,146,184,1427,1186,372,0.32,0.404,0.48,0.976,4,class_0
579,13,1394,5193,1051,1628,379,71,331,1276,852,844,0.313,0.412,0.605,0.991,2,class_0
591,17,2148,7787,1291,2660,542,151,183,1539,856,550,0.342,0.41,0.52,0.962,3,class_0
1119,23,2259,8173,1579,2930,541,169,301,1584,1038,679,0.358,0.434,0.577,0.965,4,class_0
1089,21,2820,9864,1551,2584,463,49,563,1702,1375,2597,0.262,0.358,0.49,0.967,3,class_0
13,22,2834,10116,1622,3007,498,75,399,1583,1277,1020,0.297,0.379,0.48,0.986,3,class_0
1325,19,2123,8591,1719,2932,241,145,33,810,524,36,0.341,0.387,0.415,0.96,3,class_0
587,22,2435,8147,1283,2086,290,24,573,1584,1559,1699,0.256,0.379,0.509,0.992,2,class_0
1070,10,1472,5205,971,1451,216,39,369,1015,1011,749,0.279,0.398,0.548,0.974,3,class_0
998,21,2480,9589,1504,3242,657,163,83,1599,516,85,0.338,0.38,0.467,0.963,4,class_0
949,18,2401,8102,1677,2415,344,72,536,1509,1733,1710,0.298,0.423,0.557,0.982,3,class_0
1066,23,2670,10078,1255,2605,380,177,28,884,839,756,0.258,0.318,0.34,0.952,5,class_0
399,17,2391,8537,1509,2315,354,72,512,1453,1444,1487,0.271,0.378,0.509,0.956,6,class_0
1326,22,2992,10881,2062,3283,523,140,660,1903,1464,1526,0.302,0.387,0.557,0.981,3,class_0
1328,22,2588,8197,1229,2211,353,46,521,1555,1345,1550,0.27,0.377,0.515,0.987,2,class_0
762,17,1984,7635,1198,2471,540,113,205,1383,437,551,0.324,0.362,0.505,0.98,3,class_0
763,22,2649,9277,1650,2517,449,96,268,1133,1865,1015,0.271,0.395,0.427,0.981,4,class_0
1201,22,3026,10972,1949,3630,725,177,475,1951,1599,696,0.331,0.418,0.559,0.984,3,class_0
942,22,2730,9456,1859,2876,488,72,511,1860,1708,896,0.304,0.414,0.533,0.98,3,class_0
1272,23,2777,9778,1272,2732,505,79,379,1652,925,1867,0.279,0.344,0.463,0.992,2,class_0
169,23,2896,10654,1232,2848,482,68,268,1357,860,990,0.267,0.325,0.401,0.971,6,class_0
465,21,2808,10006,1829,2943,528,72,586,1812,1420,1532,0.294,0.392,0.537,0.984,3,class_0
639,10,1382,4877,947,1518,273,54,137,734,740,291,0.311,0.41,0.474,0.983,4,class_0
47,22,2503,8399,2174,2873,506,136,714,2213,2056,1330,0.342,0.474,0.69,0.968,3,class_0
980,18,2404,8352,1506,2234,408,59,548,1595,1507,1883,0.267,0.384,0.527,0.955,6,class_0
17,20,2215,8759,1507,2927,539,149,307,1827,615,737,0.334,0.38,0.535,0.982,3,class_0
531,15,2055,8267,1284,2812,425,164,102,1175,472,327,0.34,0.379,0.468,0.987,2,class_0
381,18,2143,7161,1259,2116,358,85,407,1333,971,1237,0.295,0.381,0.54,0.985,3,class_0
1277,22,2789,10195,1882,3514,792,222,117,1529,1381,220,0.345,0.428,0.5,0.97,3,class_0
1330,21,2360,7927,1195,2232,423,55,475,1540,937,1936,0.282,0.363,0.529,0.961,3,class_0
