@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2}

@data
50,18,4,307,130,3504,12,70,class_0
37,15,4,350,165,3693,11.5,70,class_0
235,18,4,318,150,3436,11,70,class_0
14,16,4,304,150,3433,12,70,class_0
164,17,4,302,140,3449,10.5,70,class_0
143,15,4,429,198,4341,10,70,class_0
55,14,4,454,220,4354,9,70,class_0
227,14,4,440,215,4312,8.5,70,class_0
246,14,4,455,225,4425,10,70,class_0
1,15,4,390,190,3850,8.5,70,class_0
49,33,4,350,165,4142,11.5,70,class_0
165,14.5,4,351,153,4034,11,70,class_0
236,26.6,4,383,175,4166,10.5,70,class_0
15,36,4,360,175,3850,11,70,class_0
103,15,4,383,170,3563,10,70,class_0
222,14,4,340,160,3609,8,70,class_0
154,35,4,302,140,3353,8,70,class_0
58,15,4,400,150,3761,9.5,70,class_0
31,14,4,455,225,3086,10,70,class_0
224,22,3,198,95,2833,15.5,70,class_0
8,18,3,199,97,2774,15.5,70,class_0
152,21,3,200,85,2587,16,70,class_0
7,21,3,199,90,2648,15,70,class_0
135,10,4,360,215,4615,14,70,class_0
69,10,4,307,200,4376,15,70,class_0
114,11,4,318,210,4382,13.5,70,class_0
167,9,4,304,193,4732,18.5,70,class_0
66,28,1,140,90,2264,15.5,71,class_0
159,25,1,98,67,2046,19,71,class_0
7,19,3,232,100,2634,13,71,class_0
237,16,3,225,105,3439,15.5,71,class_0
50,17,3,250,100,3329,15.5,71,class_0
166,19,3,250,88,3302,15.5,71,class_0
10,18,3,232,100,3288,15.5,71,class_0
55,14,4,350,165,4209,12,71,class_0
247,14,4,400,175,4464,11.5,71,class_0
143,14,4,351,153,4154,13.5,71,class_0
227,14,4,318,150,4096,13,71,class_0
118,12,4,383,180,4955,11.5,71,class_0
131,13,4,400,170,4746,12,71,class_0
255,13,4,400,175,5140,12,71,class_0
9,18,3,258,110,2962,13.5,71,class_0
65,22,1,140,72,2408,19,71,class_0
248,19,3,250,100,3282,15,71,class_0
153,18,3,250,88,3139,14.5,71,class_0
191,23,1,122,86,2220,14,71,class_0
221,26,1,91,70,1955,20.5,71,class_0
107,25,1,97.5,80,2126,17,72,class_0
64,20,1,140,90,2408,19.5,72,class_0
161,21,1,122,86,2226,16.5,72,class_0
55,13,4,350,165,4274,12,72,class_0
246,14,4,400,175,4385,12,72,class_0
227,15,4,318,150,4135,13.5,72,class_0
143,14,4,351,153,4129,13,72,class_0
2,17,4,304,150,3672,11.5,72,class_0
196,11,4,429,208,4633,11,72,class_0
32,13,4,350,155,4502,13.5,72,class_0
207,12,4,350,160,4456,13.5,72,class_0
76,13,4,400,190,4422,12.5,72,class_0
11,15,4,304,150,3892,12.5,72,class_0
49,13,4,307,130,4098,14,72,class_0
145,13,4,302,140,4294,16,72,class_0
238,14,4,318,150,4077,14,72,class_0
160,22,1,122,86,2395,16,72,class_0
106,28,1,98,80,2164,15,72,class_0
26,13,4,350,175,4100,13,73,class_0
10,14,4,304,150,3672,11.5,73,class_0
56,13,4,350,145,3988,13,73,class_0
144,14,4,302,137,4042,14.5,73,class_0
111,15,4,318,150,3777,12.5,73,class_0
