@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5}

@data
6,3,1,0,class_0
2,1,0,0,class_0
1,0,1,0,class_0
7,2,1,2,class_0
3,3,0,2,class_0
0,0,0,0,class_0
4,3,1,2,class_0
2,1,1,2,class_0
8,2,0,1,class_0
3,3,1,2,class_0
0,0,0,0,class_0
5,2,1,1,class_0
2,2,0,2,class_0
5,2,0,1,class_0
3,2,0,2,class_0
3,1,0,2,class_0
2,1,0,2,class_0
2,3,1,2,class_0
2,1,1,2,class_0
0,0,0,1,class_0
8,1,0,2,class_0
2,2,0,2,class_0
5,1,0,1,class_0
3,3,1,1,class_0
5,1,1,0,class_0
4,3,1,0,class_0
6,4,1,2,class_0
2,1,0,1,class_0
8,1,0,1,class_0
5,2,1,1,class_0
4,3,0,1,class_0
4,0,1,1,class_0
1,1,0,2,class_0
1,1,1,2,class_0
6,5,1,2,class_0
4,4,1,1,class_0
6,4,0,2,class_0
0,0,0,2,class_0
7,0,0,2,class_0
5,2,1,2,class_0
0,1,0,2,class_0
0,2,0,2,class_0
8,5,0,1,class_0
6,4,1,2,class_0
7,5,1,2,class_0
5,4,0,0,class_0
8,3,1,2,class_0
1,2,0,2,class_0
4,0,1,2,class_0
4,2,0,0,class_0
4,1,1,2,class_0
5,4,1,2,class_0
4,3,1,0,class_0
5,1,1,1,class_0
6,2,1,1,class_0
6,4,1,0,class_0
2,1,1,0,class_0
4,3,0,2,class_0
2,2,0,1,class_0
8,2,0,2,class_0
2,0,1,2,class_0
3,0,0,0,class_0
3,3,1,0,class_0
8,4,0,2,class_0
0,3,0,2,class_0
7,5,1,2,class_0
0,0,0,2,class_0
2,2,1,2,class_0
7,3,0,2,class_0
5,1,1,1,class_0
4,2,1,1,class_0
6,3,0,2,class_0
6,0,1,0,class_0
0,0,1,2,class_0
4,2,1,2,class_0
2,4,0,2,class_0
7,5,0,2,class_0
0,0,1,1,class_0
6,0,0,2,class_0
6,2,0,2,class_0
2,3,1,0,class_0
0,2,1,1,class_0
5,2,0,0,class_0
4,3,1,0,class_0
0,0,0,2,class_0
3,1,0,1,class_0
2,1,0,2,class_0
0,1,0,1,class_0
3,2,0,0,class_0
7,5,0,2,class_0
7,2,0,2,class_0
6,3,1,2,class_0
6,2,1,0,class_0
3,1,0,2,class_0
0,0,0,2,class_0
6,2,0,2,class_0
7,0,1,2,class_0
4,3,1,2,class_0
4,0,1,0,class_0
1,1,1,0,class_0
2,2,0,2,class_0
2,0,0,2,class_0
4,0,0,2,class_0
2,0,1,2,class_0
2,1,0,1,class_0
5,1,1,0,class_0
1,2,0,0,class_0
7,3,0,2,class_0
4,1,0,2,class_0
5,4,1,1,class_0
4,3,1,2,class_0
0,0,0,2,class_0
0,0,0,2,class_0
7,4,0,2,class_0
8,0,1,2,class_0
