@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11}

@data
1,305,133,0,8,class_0
3,251,336,0,11,class_0
4,215,99,0,1,class_0
15,17,75,0,6,class_0
30,164,112,0,2,class_0
47,212,334,1,10,class_0
59,299,234,1,0,class_0
85,343,298,2,5,class_0
90,217,56,2,3,class_0
104,124,143,3,5,class_0
106,273,182,3,7,class_0
120,191,111,3,6,class_0
156,20,42,5,10,class_0
158,110,153,5,8,class_0
164,272,51,5,0,class_0
172,360,43,5,6,class_0
174,247,307,5,10,class_0
190,13,106,6,6,class_0
221,48,49,7,0,class_0
257,175,238,8,8,class_0
273,151,303,8,3,class_0
282,283,45,9,10,class_0
284,220,160,9,6,class_0
287,138,92,9,6,class_0
316,46,123,10,3,class_0
322,143,6,10,6,class_0
341,10,198,11,5,class_0
349,26,348,11,0,class_0
356,70,181,11,5,class_0
360,84,361,11,5,class_0
365,3,192,11,1,class_0
2,159,195,0,3,class_1
19,58,188,0,10,class_1
27,355,173,0,6,class_1
41,216,46,1,11,class_1
73,259,241,2,5,class_1
80,239,170,2,10,class_1
87,268,254,2,9,class_1
110,336,62,3,5,class_1
114,252,292,3,7,class_1
126,364,301,4,10,class_1
128,35,29,4,11,class_1
145,31,22,4,7,class_1
151,103,209,4,8,class_1
162,206,76,5,11,class_1
181,353,154,5,1,class_1
192,284,158,6,9,class_1
194,15,257,6,0,class_1
198,120,284,6,7,class_1
204,153,282,6,8,class_1
208,303,47,6,3,class_1
218,54,64,7,3,class_1
219,114,251,7,3,class_1
239,245,91,7,2,class_1
249,82,295,8,5,class_1
305,79,311,9,0,class_1
315,282,63,10,8,class_1
321,107,197,10,4,class_1
323,146,280,10,2,class_1
347,314,19,11,1,class_1
348,163,151,11,10,class_1
361,173,80,11,4,class_1
5,101,33,0,9,class_2
17,235,54,0,0,class_2
28,77,346,0,5,class_2
34,297,186,1,10,class_2
36,214,97,1,7,class_2
45,4,260,1,7,class_2
70,323,150,2,11,class_2
74,354,12,2,3,class_2
78,332,319,2,11,class_2
84,258,203,2,11,class_2
92,32,224,3,0,class_2
115,2,244,3,6,class_2
131,65,146,4,10,class_2
134,295,353,4,5,class_2
149,308,9,4,8,class_2
160,366,7,5,8,class_2
166,356,363,5,2,class_2
184,350,322,6,8,class_2
191,277,1,6,3,class_2
196,331,156,6,9,class_2
259,113,291,8,2,class_2
266,160,88,8,10,class_2
290,254,34,9,1,class_2
302,94,28,9,1,class_2
306,19,243,10,0,class_2
310,310,286,10,10,class_2
311,76,245,10,7,class_2
318,126,272,10,0,class_2
332,47,168,10,2,class_2
339,165,305,11,7,class_2
340,56,27,11,3,class_2
6,224,285,0,8,class_3
11,329,144,0,7,class_3
23,118,48,0,6,class_3
35,210,94,1,4,class_3
39,181,127,1,11,class_3
52,363,213,1,0,class_3
63,267,207,2,8,class_3
67,122,141,2,6,class_3
72,300,24,2,9,class_3
81,334,246,2,3,class_3
98,147,142,3,6,class_3
100,219,223,3,11,class_3
119,262,82,3,8,class_3
123,298,96,4,11,class_3
168,274,229,5,7,class_3
176,358,236,5,9,class_3
193,248,174,6,6,class_3
197,322,273,6,4,class_3
205,172,172,6,1,class_3
243,333,167,7,9,class_3
245,225,283,8,7,class_3
252,184,108,8,3,class_3
253,263,313,8,3,class_3
255,158,288,8,8,class_3
272,257,309,8,5,class_3
280,87,78,9,0,class_3
286,72,70,9,7,class_3
294,192,196,9,9,class_3
324,203,252,10,7,class_3
362,78,239,11,2,class_3
7,306,159,0,9,class_4
42,150,227,1,6,class_4
43,68,262,1,11,class_4
44,152,13,1,7,class_4
51,302,20,1,10,class_4
55,236,226,1,4,class_4
65,293,299,2,4,class_4
76,166,258,2,10,class_4
113,316,256,3,8,class_4
135,178,40,4,11,class_4
153,249,65,5,6,class_4
154,228,304,5,7,class_4
163,134,355,5,11,class_4
169,73,289,5,2,class_4
214,111,326,7,1,class_4
215,45,102,7,0,class_4
217,145,300,7,2,class_4
229,44,329,7,9,class_4
233,344,69,7,8,class_4
236,116,10,7,1,class_4
276,125,191,9,4,class_4
289,171,310,9,6,class_4
304,38,332,9,11,class_4
307,34,205,10,7,class_4
308,348,294,10,4,class_4
327,9,253,10,6,class_4
342,12,162,11,9,class_4
352,304,315,11,7,class_4
