@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute class {class_0,class_1,class_2}

@data
33.8792,30.0246,8.6891,9.6493,15.2094,11.0984,11.5204,18.5718,22.788,17.7415,21.9271,88.4072,24.8111,2,1,0,1,0,1,1,0,class_0
33.8792,30.2804,8.3624,9.5133,15.2094,12.2083,10.6563,20.2506,25.1815,17.2866,21.9271,87.1239,23.3873,2,1,0,1,0,1,1,0,class_0
32.5419,31.508,7.5785,8.4941,15.2094,11.8383,10.8723,19.2013,23.0872,17.7415,21.4376,91.5442,23.9924,1,1,1,0,0,0,1,1,class_0
30.7588,32.8378,5.5532,6.1157,13.9419,11.4684,10.1523,19.3062,22.2395,18.6514,21.4376,91.1164,23.7788,1,1,1,0,0,0,1,1,class_0
31.2046,33.7585,4.7039,6.3875,12.9913,14.058,7.7042,19.2013,20.4943,20.0161,21.9271,91.6868,23.7432,0,1,2,1,0,1,1,0,class_0
31.6503,32.3775,7.0558,7.3389,13.3082,12.2083,9.2163,17.9422,21.4915,17.7415,23.1507,90.9739,22.6397,0,1,2,1,0,1,1,0,class_0
32.0961,32.0706,7.2518,7.6107,13.9419,12.9482,9.1443,18.7816,22.2894,17.2866,22.7591,90.1183,22.0346,0,0,1,1,1,0,2,1,class_0
32.5419,31.7126,7.9705,8.2223,13.6251,12.9482,8.8563,18.6767,21.2422,19.1063,22.4655,89.6905,22.4261,0,0,1,1,1,0,2,1,class_0
32.9877,31.1499,7.5131,8.4261,15.2094,11.8383,10.8003,18.9915,22.5387,18.1964,22.6613,88.9776,23.9212,1,1,1,0,0,0,1,1,class_0
32.9877,31.508,7.6438,8.1543,15.2094,12.5782,10.2963,17.2077,22.3392,16.8317,22.6613,88.9776,22.9601,1,1,1,0,0,0,1,1,class_0
32.9877,31.4057,6.9905,7.9504,14.5757,11.0984,10.9443,17.1028,21.3918,17.2866,23.0039,88.6924,23.1737,2,0,1,1,1,0,0,1,class_0
32.5419,31.3545,7.1211,7.8825,14.2588,11.0984,10.8723,15.7388,20.9929,16.3768,23.0039,89.2627,23.9212,2,0,1,1,1,0,0,1,class_0
34.7708,29.1551,8.2318,9.0377,16.4768,12.2083,11.2324,17.3127,22.6883,16.3768,21.0461,90.1183,23.494,2,1,2,1,0,1,1,2,class_0
34.325,29.6666,8.2971,9.1736,16.4768,13.3181,10.3683,17.2077,23.6856,15.9219,20.9971,89.8331,24.2416,2,1,2,1,0,1,1,2,class_0
32.5419,31.6103,7.1211,7.8825,14.2588,13.6881,8.6403,17.4176,21.7409,17.2866,20.1161,89.8331,22.9245,1,1,1,0,0,0,1,1,class_0
32.5419,31.4568,6.7945,7.8825,14.5757,13.3181,9.2163,18.8865,22.5387,18.1964,20.1161,90.5461,23.7076,1,1,1,0,0,0,1,1,class_0
