@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
1061,5,0,454,382,362,382,567,485,471,487,6,11,9,4,32,class_0
1008,35,1,466,394,351,396,558,476,427,478,20,18,30,0,68,class_0
1012,80,1,498,379,322,401,655,501,404,523,34,25,27,3,89,class_0
1016,917,1,506,412,359,411,607,508,445,503,67,40,66,27,200,class_0
1019,376,1,339,303,287,301,421,371,347,366,8,15,19,2,44,class_0
1024,454,1,360,304,258,300,433,369,313,363,27,25,33,4,89,class_0
1029,967,1,354,321,277,291,436,401,346,363,17,19,31,19,86,class_0
1033,606,1,301,290,283,290,375,363,355,362,18,28,28,3,77,class_0
1041,789,1,431,352,311,373,518,425,374,449,23,17,14,1,55,class_0
1044,812,1,321,288,251,272,388,354,312,335,13,18,18,10,59,class_0
1085,869,2,453,363,330,349,561,448,402,428,23,24,48,22,117,class_0
1086,871,2,406,366,332,335,505,457,415,419,40,33,71,46,192,class_0
1088,28,2,499,498,330,399,618,553,402,488,14,5,21,2,42,class_0
1089,30,2,439,381,337,374,550,479,427,471,44,71,52,13,180,class_0
1094,1004,2,309,280,274,285,428,383,376,391,14,9,15,2,40,class_0
1098,359,2,447,375,341,375,561,480,435,477,55,42,33,25,155,class_0
1099,360,2,485,399,362,421,664,534,453,562,24,26,14,1,65,class_0
1100,404,2,372,338,304,341,478,414,375,426,23,22,10,3,58,class_0
1102,629,2,422,355,289,342,529,445,375,435,36,14,28,19,97,class_0
1106,1121,2,393,414,264,266,696,393,327,331,4,4,12,4,24,class_0
10311,351,2,424,374,335,380,512,461,401,460,80,46,41,8,179,class_0
1074,333,3,358,328,274,299,439,395,332,363,20,18,24,12,74,class_0
1133,118,4,477,392,335,398,600,501,433,507,32,21,33,6,92,class_0
1170,162,4,716,516,411,601,892,661,510,751,36,16,12,2,67,class_0
1171,355,4,771,579,454,638,961,739,588,805,34,14,20,0,68,class_0
1172,648,4,652,439,381,547,824,572,482,695,31,10,13,0,54,class_0
1173,652,4,730,525,417,566,909,658,530,708,60,52,40,7,161,class_0
1174,745,4,611,458,372,511,776,588,495,658,28,10,15,1,54,class_0
1179,182,4,524,421,374,448,630,503,443,535,25,16,15,3,59,class_0
1183,369,4,484,394,275,368,542,443,311,413,10,22,18,1,51,class_0
1249,608,4,624,469,388,490,806,593,482,621,49,42,33,15,139,class_0
1253,306,4,565,406,328,361,622,485,327,447,0,0,0,0,54,class_0
1258,634,4,362,333,315,336,441,398,376,403,40,17,41,4,102,class_0
1262,650,4,507,393,358,429,637,523,468,549,43,21,23,7,94,class_0
1341,1105,4,489,408,339,415,616,524,429,526,30,19,22,3,74,class_0
1347,197,5,613,488,398,525,776,621,509,665,63,38,26,1,134,class_0
1353,297,5,439,385,342,392,516,452,402,460,73,35,52,5,165,class_0
1358,509,5,429,353,297,340,508,427,363,410,49,31,37,7,145,class_0
1360,512,5,480,406,351,418,568,485,424,498,159,90,111,8,370,class_0
1363,670,5,489,434,349,424,626,531,428,527,16,26,12,2,56,class_0
1372,1100,5,452,381,324,402,546,460,406,490,52,25,26,0,103,class_0
9401,196,5,375,284,251,255,553,356,318,323,3,8,13,8,32,class_0
1374,8,6,391,343,297,340,444,400,426,393,9,7,5,3,24,class_0
1379,210,6,619,461,366,499,810,613,477,654,63,35,30,11,140,class_0
1403,711,6,546,444,374,435,686,566,478,553,19,55,30,7,111,class_0
1414,850,6,706,501,394,550,901,650,494,704,57,49,32,0,146,class_0
1452,554,7,541,360,288,330,770,453,364,413,3,10,17,0,30,class_0
1460,850,7,457,362,293,350,536,435,349,415,12,12,21,2,47,class_0
1429,325,8,492,405,361,417,613,511,384,528,8,14,3,1,26,class_0
1433,1081,8,448,373,334,376,565,449,396,456,14,12,22,1,49,class_0
1487,267,9,534,424,357,436,676,547,472,563,32,18,37,0,87,class_0
1488,293,9,440,369,331,369,552,473,409,463,30,18,44,4,96,class_0
1538,995,9,495,425,371,416,593,513,438,497,36,37,46,4,127,class_0
8849,636,9,413,369,333,348,491,451,390,412,11,14,28,13,66,class_0
9841,975,9,498,405,343,408,663,544,462,547,73,81,57,19,230,class_0
1542,3,10,527,421,356,426,651,528,441,528,19,24,19,4,66,class_0
1544,6,10,444,395,335,371,578,519,437,484,38,24,68,8,138,class_0
1546,31,10,462,367,315,347,588,457,391,434,38,32,119,12,201,class_0
1554,76,10,515,403,343,399,650,519,439,509,25,20,38,3,92,class_0
1566,298,10,471,382,339,379,596,490,439,487,37,39,49,17,142,class_0
1570,773,10,457,386,360,398,587,496,460,511,44,58,40,4,146,class_0
1586,609,10,516,454,329,450,630,550,390,546,21,9,10,0,44,class_0
1591,755,10,370,308,294,317,439,368,355,379,16,17,17,5,55,class_0
3484,217,10,429,371,312,388,519,492,390,484,19,12,6,1,38,class_0
21078,900,11,513,451,396,449,654,468,512,576,8,4,8,0,20,class_0
29020,901,11,576,461,414,467,731,591,534,598,43,47,37,14,141,class_0
1846,97,12,367,324,286,313,473,412,359,398,16,13,28,3,60,class_0
1847,105,12,484,416,339,382,606,522,440,486,20,12,30,10,72,class_0
1850,147,12,464,413,334,395,572,507,405,483,23,36,22,8,89,class_0
1852,165,12,436,361,312,338,512,445,379,407,11,10,25,8,54,class_0
1854,171,12,516,421,340,436,671,541,459,570,30,21,22,0,73,class_0
1856,214,12,578,426,368,468,693,534,463,574,31,22,17,5,75,class_0
1859,241,12,411,356,308,355,548,470,406,472,30,14,16,12,72,class_0
1866,331,12,411,331,301,345,490,401,366,418,26,11,29,1,70,class_0
1867,336,12,385,320,295,329,481,405,377,416,22,31,20,2,75,class_0
1868,340,12,642,517,405,513,809,641,496,638,46,36,52,3,139,class_0
1873,459,12,419,363,314,363,531,438,378,445,37,35,31,6,109,class_0
1874,469,12,478,399,347,404,630,548,445,531,63,26,50,16,155,class_0
1879,545,12,389,331,303,341,495,414,365,425,20,29,16,1,66,class_0
1880,549,12,379,356,334,337,465,427,396,405,7,20,28,8,63,class_0
1883,597,12,430,372,311,344,531,477,394,434,9,16,27,6,58,class_0
1887,759,12,491,377,339,394,645,473,434,504,25,11,17,14,67,class_0
1889,793,12,431,374,325,362,541,471,401,450,29,15,44,8,98,class_0
1891,951,12,351,315,309,323,443,392,358,396,19,23,14,2,58,class_0
1893,1039,12,711,429,287,303,661,562,348,366,4,5,6,12,27,class_0
1896,1066,12,447,370,308,358,564,469,385,451,25,21,29,4,89,class_0
1899,825,12,320,314,289,292,576,388,355,359,5,13,22,14,54,class_0
1900,1118,12,351,312,269,294,420,386,335,363,8,11,19,7,45,class_0
1617,7,13,424,338,266,336,540,430,338,428,16,20,19,1,56,class_0
1621,445,13,391,329,292,338,499,425,381,436,39,35,35,1,110,class_0
1624,596,13,502,425,338,341,513,548,339,448,0,0,0,0,71,class_0
1633,40,14,527,425,362,418,648,523,449,517,41,28,50,18,137,class_0
1634,41,14,434,379,339,372,528,461,402,447,18,16,19,16,69,class_0
1635,52,14,507,405,333,402,599,473,394,474,9,9,14,0,32,class_0
1639,82,14,627,374,305,312,741,509,348,370,0,0,0,0,23,class_0
1664,186,14,446,422,345,392,551,524,435,489,12,15,23,0,50,class_0
1665,199,14,521,409,357,349,688,548,372,446,0,0,0,0,171,class_0
1666,209,14,399,351,295,351,487,435,374,435,30,23,24,1,78,class_0
1678,279,14,385,370,315,355,576,458,390,438,5,16,16,0,37,class_0
1684,339,14,374,331,292,336,466,424,370,422,27,11,15,4,57,class_0
1688,381,14,522,424,347,424,621,503,410,502,16,18,14,3,51,class_0
1696,384,14,570,452,374,445,729,593,477,572,32,42,47,8,129,class_0
1700,409,14,400,358,305,358,486,445,366,438,10,12,6,1,29,class_0
1703,417,14,423,357,348,319,505,423,339,377,1,11,3,4,19,class_0
1704,425,14,508,414,342,432,650,518,416,544,35,17,20,5,77,class_0
1706,430,14,644,475,402,495,843,650,543,662,26,22,24,5,81,class_0
1717,473,14,324,263,250,262,393,334,307,318,13,9,16,31,69,class_0
1722,499,14,433,397,341,381,539,493,407,467,16,10,16,5,47,class_0
1724,523,14,478,409,313,386,583,501,383,472,34,38,46,6,124,class_0
1725,536,14,443,339,325,381,544,412,385,464,20,12,11,1,44,class_0
1734,579,14,473,399,348,398,588,501,437,497,24,40,28,5,97,class_0
1735,581,14,415,337,285,339,540,426,352,431,23,18,18,2,65,class_0
1744,657,14,465,400,345,395,572,540,414,490,20,9,13,7,49,class_0
1745,662,14,372,371,285,345,459,462,351,427,18,21,14,2,55,class_0
1750,686,14,448,378,377,382,543,479,454,468,10,25,34,3,72,class_0
1772,850,14,385,346,291,320,403,406,347,377,5,11,13,2,31,class_0
3970,638,14,576,540,396,487,694,660,480,591,15,12,16,4,47,class_0
1785,21,15,415,340,316,347,532,427,389,437,43,45,36,14,138,class_0
1787,78,15,393,450,285,295,480,507,363,376,5,4,26,1,36,class_0
1792,230,15,540,433,361,452,695,570,465,587,51,57,38,0,146,class_0
1793,249,15,514,394,338,445,639,483,414,551,44,13,22,0,79,class_0
1798,301,15,440,363,325,381,549,453,411,477,24,16,20,0,60,class_0
1799,328,15,388,341,291,345,479,410,344,418,37,19,28,0,84,class_0
1800,330,15,326,264,228,285,439,372,334,395,14,11,6,0,31,class_0
1801,349,15,555,437,377,432,682,539,455,524,28,16,35,13,92,class_0
1803,377,15,438,367,305,358,544,455,379,444,11,11,13,3,38,class_0
1811,389,15,565,405,327,341,627,529,424,443,5,12,24,0,59,class_0
1814,393,15,519,432,380,397,665,548,482,504,13,21,29,0,81,class_0
1820,477,15,412,340,289,340,527,416,348,420,24,22,17,11,74,class_0
1821,481,15,420,329,303,330,520,411,379,411,15,23,34,5,79,class_0
1822,396,15,396,342,294,335,492,431,367,418,22,23,34,2,81,class_0
1824,604,15,373,282,252,269,884,340,314,328,3,11,10,4,28,class_0
1830,687,15,608,522,447,549,797,679,568,715,51,29,21,0,101,class_0
1832,714,15,619,334,313,316,484,393,371,373,3,8,21,5,37,class_0
1833,718,15,373,374,312,344,486,478,400,443,13,12,19,1,45,class_0
