@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15}

@data
100,100,23,125,126,25,36,class_0
105,103,18,120,127,35,37,class_1
112,102,18,113,119,48,50,class_1
114,120,27,132,139,39,36,class_1
114,115,21,135,135,28,40,class_2
105,102,33,122,125,24,37,class_2
114,121,22,123,128,18,27,class_2
123,110,21,77,126,30,32,class_2
115,116,28,135,135,24,34,class_3
126,121,26,110,115,24,26,class_3
123,118,22,124,135,28,31,class_3
114,120,25,100,105,14,23,class_3
108,96,26,126,126,35,35,class_3
113,118,22,78,121,35,34,class_3
123,126,25,100,113,26,30,class_4
120,113,25,125,130,25,29,class_4
112,96,33,124,136,33,45,class_4
105,110,35,122,123,22,42,class_5
111,103,26,111,116,16,17,class_5
114,110,26,127,132,33,25,class_5
120,123,25,124,126,29,29,class_6
112,120,26,122,120,12,34,class_6
108,113,27,130,138,30,35,class_6
116,120,36,120,130,25,28,class_6
105,126,23,128,138,30,43,class_6
114,123,23,122,128,33,35,class_6
95,96,20,113,120,22,38,class_7
105,111,33,125,120,22,40,class_7
108,111,28,115,124,26,34,class_7
108,116,20,102,110,22,30,class_7
103,115,23,122,128,30,35,class_7
113,116,22,118,127,22,30,class_7
111,109,15,105,130,30,27,class_8
81,121,27,116,111,22,25,class_8
81,123,15,115,125,32,39,class_8
108,111,26,123,127,33,42,class_9
95,121,32,112,114,20,25,class_9
81,111,14,125,129,34,40,class_10
103,118,25,118,127,12,25,class_10
112,120,26,126,128,26,32,class_11
103,110,36,115,120,20,40,class_12
114,96,36,127,135,35,39,class_12
105,121,18,106,110,20,21,class_12
100,123,14,99,88,2,10,class_12
113,118,32,120,135,7,20,class_13
112,102,15,116,124,40,42,class_13
112,109,18,94,115,13,24,class_13
113,109,22,115,124,25,27,class_13
113,121,4,127,127,10,15,class_13
112,115,27,105,127,10,28,class_14
108,102,26,105,115,11,14,class_14
113,121,4,110,120,25,26,class_15
126,116,22,113,114,10,12,class_15
123,113,4,129,129,36,44,class_15
