@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@data
11,33,72,class_0
13,49,67,class_0
19,46,56,class_0
25,42,19,class_0
28,68,59,class_0
31,55,64,class_0
33,38,61,class_0
36,23,73,class_0
41,32,170,class_0
45,41,120,class_0
48,50,70,class_0
50,54,39,class_0
52,30,143,class_0
54,30,56,class_0
56,32,78,class_0
58,18,74,class_0
62,36,81,class_0
14,34,65,class_1
17,26,74,class_1
23,21,73,class_1
26,11,72,class_1
29,19,77,class_1
31,20,70,class_1
34,13,56,class_1
37,17,65,class_1
41,17,77,class_1
43,16,69,class_1
45,21,77,class_1
47,16,79,class_1
49,21,77,class_1
54,16,75,class_1
10,7,67,class_2
13,4,76,class_2
16,9,74,class_2
18,53,227,class_2
20,15,147,class_2
21,44,152,class_2
23,53,76,class_2
25,49,154,class_2
27,63,76,class_2
28,61,147,class_2
30,70,76,class_2
32,61,74,class_2
34,72,75,class_2
36,81,74,class_2
38,78,154,class_2
40,84,75,class_2
10,24,72,class_3
12,27,74,class_3
14,26,73,class_3
18,15,73,class_3
20,16,76,class_3
22,15,75,class_3
24,11,76,class_3
26,11,76,class_3
28,19,77,class_3
30,21,76,class_3
32,10,73,class_3
36,14,72,class_3
38,17,75,class_3
40,15,76,class_3
44,5,73,class_3
46,8,72,class_3
48,15,74,class_3
49,9,75,class_3
10,81,59,class_4
12,61,57,class_4
14,55,58,class_4
16,65,66,class_4
18,59,59,class_4
21,79,114,class_4
23,67,113,class_4
26,53,95,class_4
29,58,69,class_4
31,61,56,class_4
33,40,70,class_4
37,47,58,class_4
39,56,86,class_4
41,36,123,class_4
43,32,62,class_4
51,48,56,class_4
57,24,126,class_4
60,26,62,class_4
10,43,87,class_5
14,41,64,class_5
19,26,141,class_5
23,14,120,class_5
28,22,51,class_5
29,10,52,class_5
35,6,65,class_5
38,17,72,class_5
41,15,72,class_5
44,11,65,class_5
47,17,70,class_5
50,8,64,class_5
56,13,64,class_5
60,12,64,class_5
62,14,70,class_5
0,52,23,class_6
16,55,91,class_6
34,60,48,class_6
58,50,38,class_6
96,46,46,class_6
98,61,54,class_6
176,51,68,class_6
245,45,76,class_6
263,37,115,class_6
265,48,73,class_6
267,46,76,class_6
269,42,74,class_6
271,41,75,class_6
274,45,69,class_6
278,40,72,class_6
0,72,32,class_7
1.5,64,25,class_7
9,75,32,class_7
13,72,32,class_7
58,67,21,class_7
86,55,33,class_7
142,51,65,class_7
0,46,13,class_8
1.5,36,25,class_8
9,46,28,class_8
13,52,29,class_8
27,42,24,class_8
51,25,12,class_8
86,30,37,class_8
93,39,67,class_8
142,32,65,class_8
0,31,26,class_9
1.5,53,19,class_9
9,45,31,class_9
13,21,24,class_9
58,25,12,class_9
86,31,35,class_9
142,32,72,class_9
0,58,36,class_10
15,58,12,class_10
91,48,57,class_10
95,51,65,class_10
