@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6}

@data
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
0,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
1,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
2,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
3,0,class_0
4,0,class_0
4,0,class_0
4,0,class_0
5,0,class_0
5,0,class_0
6,0,class_0
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
0,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
1,0,class_1
2,0,class_1
2,0,class_1
2,0,class_1
2,0,class_1
2,0,class_1
2,0,class_1
3,0,class_1
3,0,class_1
3,0,class_1
3,0,class_1
3,0,class_1
3,0,class_1
3,0,class_1
4,0,class_1
4,0,class_1
4,0,class_1
5,0,class_1
5,0,class_1
6,0,class_1
6,0,class_1
6,0,class_1
6,0,class_1
6,0,class_1
7,0,class_1
7,0,class_1
9,0,class_1
14,0,class_1
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
0,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
1,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
2,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
3,0,class_2
4,0,class_2
4,0,class_2
4,0,class_2
4,0,class_2
4,0,class_2
4,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
5,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
6,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
7,0,class_2
