@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12}

@data
0,1,5,class_0
0,2,10,class_0
0,3,11,class_0
0,4,11.25,class_0
1,1,5,class_0
1,2,5,class_0
1,3,11,class_0
1,4,10,class_0
2,1,2,class_0
2,2,5,class_0
2,3,4,class_0
2,4,5,class_0
3,1,4.5,class_0
3,2,9,class_0
3,3,9,class_0
3,4,9.5,class_0
4,1,1.5,class_0
4,2,4,class_0
4,3,6,class_0
4,4,7,class_0
5,1,1.5,class_0
5,2,4,class_0
5,3,6,class_0
5,4,5,class_0
6,1,1,class_0
6,2,3,class_0
6,3,3,class_0
6,4,3,class_0
7,1,5,class_0
7,2,8,class_0
7,3,11,class_0
7,4,9,class_0
8,1,9.5,class_0
8,2,17.5,class_0
8,3,18,class_0
8,4,20,class_0
0,5,11,class_1
0,6,11,class_1
0,7,9,class_1
0,8,9,class_1
1,5,7,class_1
1,6,13,class_1
1,7,10.5,class_1
1,8,10,class_1
2,5,4,class_1
2,6,3,class_1
2,7,2.5,class_1
2,8,2,class_1
3,5,10,class_1
3,6,7,class_1
3,7,7.5,class_1
3,8,7,class_1
4,5,7,class_1
4,6,10,class_1
4,7,7,class_1
4,8,7,class_1
5,5,6,class_1
5,6,5,class_1
5,7,5,class_1
5,8,6,class_1
6,5,5,class_1
6,6,3.5,class_1
6,7,3,class_1
6,8,4.5,class_1
7,5,9.5,class_1
7,6,10,class_1
7,7,12,class_1
7,8,10,class_1
8,5,20.5,class_1
8,6,20,class_1
8,7,19,class_1
8,8,21,class_1
0,9,9,class_2
0,10,9,class_2
0,11,6,class_2
0,12,7,class_2
1,9,13,class_2
1,10,12,class_2
1,11,10,class_2
1,12,9,class_2
2,9,2,class_2
2,10,2,class_2
2,11,3,class_2
2,12,2.5,class_2
3,9,8,class_2
3,10,7,class_2
3,11,7,class_2
3,12,5,class_2
4,9,10,class_2
4,10,7,class_2
4,11,6,class_2
4,12,7,class_2
5,9,8,class_2
5,10,5,class_2
5,11,8,class_2
5,12,7,class_2
6,9,5,class_2
6,10,5,class_2
6,11,6,class_2
6,12,5,class_2
7,9,11.5,class_2
7,10,10,class_2
7,11,11,class_2
7,12,10,class_2
8,9,19,class_2
8,10,26,class_2
8,11,20,class_2
8,12,23,class_2
0,13,5,class_3
0,14,7,class_3
0,15,10,class_3
0,16,13,class_3
1,13,11,class_3
1,14,7,class_3
1,15,8,class_3
1,16,10.5,class_3
2,13,2,class_3
2,14,3,class_3
2,15,3,class_3
2,16,3,class_3
3,13,5,class_3
3,14,4,class_3
3,15,3,class_3
3,16,4,class_3
4,13,9,class_3
4,14,9,class_3
4,15,8,class_3
4,16,12,class_3
5,13,10,class_3
5,14,9,class_3
5,15,9,class_3
5,16,9,class_3
6,13,4,class_3
6,14,6,class_3
6,15,5,class_3
6,16,6.5,class_3
7,13,10.5,class_3
7,14,10,class_3
7,15,11,class_3
7,16,11,class_3
8,13,22,class_3
8,14,20,class_3
8,15,20,class_3
8,16,24,class_3
0,17,5.5,class_4
0,18,10.5,class_4
0,19,9,class_4
0,20,6,class_4
1,17,10,class_4
1,18,11.5,class_4
1,19,9,class_4
1,20,11,class_4
2,17,4,class_4
2,18,5,class_4
2,19,6,class_4
2,20,8,class_4
3,17,4,class_4
3,18,4,class_4
3,19,4.5,class_4
3,20,3.5,class_4
4,17,13,class_4
4,18,15,class_4
4,19,17,class_4
4,20,20,class_4
5,17,7,class_4
5,18,7,class_4
5,19,7,class_4
5,20,7,class_4
6,17,4,class_4
6,18,6,class_4
6,19,3,class_4
6,20,6,class_4
7,17,11.5,class_4
7,18,12,class_4
7,19,12.5,class_4
7,20,13,class_4
8,17,23,class_4
8,18,23,class_4
8,19,20,class_4
8,20,21,class_4
0,21,8,class_5
0,22,15,class_5
0,23,13,class_5
0,24,14,class_5
1,21,13,class_5
1,22,15,class_5
1,23,14,class_5
1,24,17,class_5
2,21,7,class_5
2,22,11,class_5
2,23,9,class_5
2,24,10,class_5
3,21,6,class_5
3,22,5,class_5
3,23,6,class_5
3,24,6,class_5
4,21,16,class_5
4,22,17,class_5
4,23,15,class_5
4,24,12,class_5
5,21,8,class_5
5,22,9,class_5
5,23,7,class_5
5,24,8,class_5
6,21,5,class_5
6,22,8,class_5
6,23,4.5,class_5
6,24,4,class_5
7,21,11,class_5
7,22,11,class_5
7,23,11,class_5
7,24,13,class_5
8,21,23,class_5
8,22,23,class_5
8,23,22,class_5
8,24,22,class_5
0,25,15,class_6
0,26,14.5,class_6
0,27,14,class_6
0,28,14,class_6
1,25,16,class_6
1,26,14,class_6
1,27,11,class_6
1,28,16,class_6
2,25,10,class_6
2,26,11,class_6
2,27,14,class_6
2,28,15,class_6
3,25,5,class_6
3,26,7,class_6
3,27,6,class_6
3,28,5,class_6
4,25,13,class_6
4,26,13,class_6
4,27,18,class_6
4,28,20,class_6
5,25,8,class_6
5,26,8,class_6
5,27,8,class_6
5,28,8,class_6
6,25,4,class_6
6,26,6.5,class_6
6,27,4,class_6
6,28,5,class_6
7,25,11,class_6
7,26,13,class_6
