@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9}

@data
0,1,0,0,1,1953,1,class_0
0,0,0,0,1,1953,0,class_0
0,0,0,0,0,1953,0,class_0
0,0,0,0,1,1953,1,class_0
0,1,0,0,0,1953,0,class_0
0,0,0,0,1,1953,1,class_0
0,1,0,0,0,1953,0,class_0
0,1,0,0,1,1953,1,class_0
1,0,0,0,0,1953,0,class_0
1,0,0,0,0,1953,0,class_0
0,1,0,0,1,1953,0,class_0
0,1,0,0,0,1953,0,class_0
1,0,0,0,0,1953,0,class_0
0,1,0,0,0,1953,0,class_0
0,1,0,0,1,1953,0,class_0
0,1,0,0,0,1953,0,class_0
0,1,0,0,0,1953,0,class_0
0,0,0,0,0,1953,1,class_0
0,0,0,0,1,1953,1,class_0
0,1,0,0,0,1953,0,class_0
0,0,0,0,0,1953,0,class_0
0,0,0,0,1,1953,1,class_0
0,1,0,0,0,1953,0,class_0
0,0,0,0,1,1953,1,class_0
0,0,0,0,0,1953,0,class_0
0,1,0,0,1,1953,0,class_0
0,1,0,0,0,1954,0,class_0
0,1,0,0,0,1954,1,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,1,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,1,1,1,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,0,0,0,1,1954,0,class_0
0,0,0,0,1,1954,0,class_0
0,0,0,0,0,1954,1,class_0
0,1,1,1,1,1954,0,class_0
0,1,0,0,0,1954,0,class_0
0,1,0,0,0,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,0,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,0,1954,1,class_0
0,0,0,0,0,1954,0,class_0
0,0,0,0,1,1954,1,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,0,0,0,1,1954,0,class_0
0,1,0,0,0,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,0,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,1,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,1,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,0,0,0,0,1954,0,class_0
0,1,0,0,0,1954,0,class_0
