@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17}

@data
1,0,0,14,108,2767601,2176615,526899,class_0
1,0,1,16,86,1933335,1721147,540930,class_1
0,0,2,7,87,1899437,1821142,445978,class_1
0,1,1,22,87,1692002,1670132,240250,class_1
1,0,2,21,79,2471974,1695738,445049,class_2
1,0,3,13,78,1128981,1926119,312959,class_3
1,0,4,4,70,1859102,1879706,556256,class_4
0,1,4,4,72,1424313,1852893,371979,class_4
1,0,5,17,64,1000917,1651057,223730,class_5
1,1,0,8,96,1734276,1816220,430363,class_6
0,0,0,2,95,2147641,2266765,552646,class_6
1,1,1,5,86,1692432,1849888,313194,class_7
0,0,3,23,86,2455477,1716243,423417,class_7
1,1,2,19,83,1528748,1924802,326583,class_8
1,1,3,18,74,1805716,1779829,405340,class_9
1,1,4,10,73,3023208,2074970,580250,class_10
1,1,5,0,72,1387181,1837380,462188,class_10
0,0,6,1,73,1973176,1737994,550229,class_10
0,0,1,14,90,2268030,2196697,551519,class_11
0,0,4,6,84,1471805,1727486,363073,class_12
0,0,5,11,77,1265041,1707552,266542,class_13
0,1,0,3,92,2655872,1685439,408181,class_14
0,1,2,9,76,2320794,1909566,405833,class_15
0,1,3,15,76,1314646,1614837,392951,class_15
0,1,5,12,71,1255453,1707440,432097,class_16
0,1,6,20,67,1029045,1558546,186146,class_17
