@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
43,1937,5040,474,2,1,1,0,1,class_0
18,1950,4560,273,1,1,0,0,1,class_0
35,1953,4560,863,2,1,1,0,1,class_0
29,1955,4560,351,3,1,2,0,1,class_0
41,1959,4500,599,1,1,0,0,1,class_0
64,1982,5200,522,4,3,3,2,1,class_0
52,1988,4140,484,3,2,1,1,2,class_0
6,1989,5340,554,5,3,3,2,2,class_0
55,1989,4980,517,2,1,1,0,1,class_0
19,1990,4440,494,1,1,0,0,1,class_0
62,1990,4620,673,1,1,0,0,1,class_0
15,1991,5040,786,3,1,2,0,1,class_0
54,1994,5280,838,2,2,1,1,1,class_0
65,1994,5400,788,9,2,8,1,1,class_0
11,1995,4380,542,2,2,1,1,1,class_0
59,1995,4440,1026,1,1,0,0,1,class_0
49,1996,5400,1006,5,2,4,1,1,class_0
12,1997,4440,704,3,1,2,0,1,class_0
2,1998,5700,1098,3,1,2,0,1,class_0
39,1998,5160,1447,3,2,2,1,1,class_0
21,1940,7200,307,1,1,1,1,0,class_1
36,1940,5280,432,1,0,1,0,0,class_1
20,1941,3780,75,0,0,0,0,0,class_1
14,1942,4140,252,2,1,2,1,0,class_1
68,1945,4260,210,0,0,0,0,0,class_1
23,1947,4380,552,0,0,0,0,0,class_1
44,1949,4080,527,0,0,0,0,0,class_1
5,1951,4440,316,0,0,0,0,0,class_1
0,1961,4740,492,0,0,0,0,0,class_1
67,1963,4740,1012,0,0,0,0,0,class_1
50,1967,4680,676,3,0,3,0,0,class_1
1,1969,5100,109,0,0,0,0,0,class_1
45,1970,4740,354,0,0,0,0,0,class_1
42,1972,4800,500,1,0,1,0,0,class_1
17,1973,5640,164,0,0,0,0,0,class_1
40,1973,4980,814,0,0,0,0,0,class_1
56,1977,4980,65,0,0,0,0,0,class_1
61,1977,4560,675,0,0,0,0,0,class_1
47,1981,4980,717,3,1,2,1,1,class_1
46,1985,4680,471,0,0,0,0,0,class_1
8,1986,4860,701,0,0,0,0,0,class_1
28,1989,6180,35,0,0,0,0,0,class_1
27,1990,4920,221,3,0,3,0,0,class_1
9,1991,4500,873,0,0,0,0,0,class_1
4,1992,5400,968,1,1,1,1,0,class_1
22,1992,4560,475,0,0,0,0,0,class_1
71,1992,5040,501,1,0,1,0,0,class_1
32,1993,5160,6,0,0,0,0,0,class_1
34,1993,4260,300,2,2,2,2,0,class_1
73,1993,4260,479,0,0,0,0,0,class_1
58,1994,4560,836,0,0,0,0,0,class_1
70,1994,5160,410,1,0,1,0,0,class_1
69,1994,4560,900,0,0,0,0,0,class_1
13,1995,4680,338,1,0,0,0,1,class_1
3,1995,4680,127,0,0,0,0,0,class_1
24,1995,5400,990,1,0,1,0,0,class_1
38,1995,4860,323,3,1,3,1,0,class_1
72,1995,4860,246,0,0,0,0,0,class_1
7,1996,4920,800,0,0,0,0,0,class_1
16,1997,4620,311,0,0,0,0,0,class_1
37,1997,4680,172,0,0,0,0,0,class_1
63,1998,4860,492,0,0,0,0,0,class_1
51,1999,5340,855,2,0,2,0,0,class_1
53,1982,5100,743,5,3,3,1,2,class_2
48,1986,4380,798,2,2,0,0,2,class_2
57,1990,4440,428,5,2,2,0,3,class_2
60,1991,4920,659,3,2,1,0,2,class_2
30,1992,5100,578,3,2,1,0,2,class_2
10,1997,5640,630,3,2,1,0,2,class_2
26,1997,5520,974,3,2,1,0,2,class_2
66,1997,4320,932,3,2,1,0,2,class_2
31,1998,5280,986,5,2,3,0,2,class_2
33,1988,4440,293,6,3,2,0,4,class_3
25,1990,4440,1071,5,3,2,0,3,class_3
