@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
1,400,2,0,21464,0,1,1,1,0,14.5,261,2.6,156,1718,137.95,172,190,12.2,class_0
3,1012,2,0,25594,1,0,0,0,1,1.4,176,3.48,210,516,96.1,55,151,12,class_0
4,1925,2,0,19994,0,0,1,1,1,1.8,244,2.54,64,6121.8,60.63,92,183,10.3,class_0
10,51,2,1,25772,0,1,0,1,0,12.6,200,2.74,140,918,147.25,143,302,11.5,class_0
11,3762,2,1,19619,0,0,1,1,2,1.4,259,4.16,46,1104,79.05,79,258,12,class_0
12,304,2,1,21600,0,0,0,1,2,3.6,236,3.52,94,591,82.15,95,71,13.6,class_0
14,1217,2,1,20535,1,1,1,0,0,0.8,235,2.27,43,728,71,100,156,11,class_0
17,769,2,1,19060,0,0,1,0,2,2.7,274,3.15,159,1533,117.8,128,224,10.5,class_0
18,131,2,0,19698,0,0,1,1,0,11.4,178,2.8,588,961,280.55,200,283,12.4,class_0
20,1356,2,1,21898,0,0,1,0,2,5.1,374,3.51,140,1919,122.45,135,322,13,class_0
21,3445,0,1,23445,1,0,1,1,2,0.6,252,3.83,41,843,65.1,83,336,11.4,class_0
22,673,2,0,20555,0,0,0,1,2,3.4,271,3.63,464,1376,120.9,55,173,11.6,class_0
23,264,2,1,20442,0,1,1,1,0,17.4,395,2.94,558,6064.8,227.04,191,214,11.7,class_0
27,77,2,1,19884,0,1,1,1,1,21.6,175,3.31,221,3697.4,101.91,168,80,12,class_0
28,549,2,1,16417,0,1,1,1,0,17.2,222,3.23,209,1975,189.1,195,144,13,class_0
30,321,2,1,15116,0,0,1,1,2,3.6,260,2.54,172,7277,121.26,158,124,11,class_0
32,4523,0,1,19722,0,0,1,0,2,1.8,262,3.34,101,7277,82.56,158,286,10.6,class_0
37,223,2,0,22546,0,1,1,0,0,7.1,334,3.01,150,6931.2,180.6,118,102,12,class_0
38,3244,2,1,13378,0,0,1,1,2,3.3,383,3.53,102,1234,137.95,87,234,11,class_0
39,2297,2,0,20232,0,0,1,0,2,0.7,282,3,52,9066.8,72.24,111,563,10.6,class_0
40,4467,0,0,17046,0,0,0,0,2,1.3,347,3.34,105,11046.6,104.49,118,358,11,class_0
41,1350,2,0,12285,0,0,1,0,2,6.8,268,3.26,96,1215,151.9,44,226,11.7,class_0
42,4453,0,1,12307,0,0,1,1,2,2.1,646,3.54,122,8778,56.76,90,344,11,class_0
49,708,2,1,22336,0,0,1,0,2,0.8,175,3.82,58,678,97.65,146,233,11,class_0
50,2598,2,0,19544,0,0,1,0,2,1.1,257,3.36,43,1080,106.95,73,128,10.6,class_0
53,1000,2,0,24621,0,0,1,0,2,2.6,1276,3.1,94,6456.2,56.76,127,214,11,class_0
54,1434,2,0,14317,0,1,1,1,0,1.3,288,3.4,262,5487.2,73.53,125,254,11,class_0
62,3090,2,1,22173,0,1,0,0,2,1.3,302,2.75,58,1523,43.4,112,329,13.2,class_0
71,4196,0,1,17841,0,0,1,0,2,1.2,258,3.57,79,2201,120.9,76,410,11.5,class_0
74,1827,2,0,18964,0,0,1,1,2,8.4,558,3.99,280,967,89.9,309,278,11,class_0
75,1191,2,0,15895,0,1,1,1,1,17.1,674,2.53,207,2078,182.9,598,268,11.5,class_0
76,71,2,0,18972,0,0,1,1,1,12.2,394,3.08,111,2132,155,243,165,11.6,class_0
78,1690,2,0,17512,0,0,1,0,2,6.3,436,3.02,75,2176,170.5,104,236,10.6,class_0
80,890,2,1,24622,1,0,1,0,2,7.2,247,3.72,269,1303,176.7,91,360,11.2,class_0
81,2540,2,0,23107,0,0,1,1,2,14.4,448,3.65,34,1218,60.45,318,385,11.7,class_0
83,4050,0,0,20459,0,0,1,0,1,1.3,250,3.5,48,1138,71.3,100,81,12.9,class_0
85,3358,2,1,17246,0,0,1,0,2,2.1,262,3.48,58,2045,89.9,84,225,11.5,class_0
91,460,2,1,16658,0,0,1,1,1,5,325,3.47,110,2460,246.45,56,430,11.9,class_0
92,388,2,0,28018,0,1,0,0,0,1.4,206,3.13,36,1626,86.8,70,145,12.2,class_0
94,750,2,0,19693,0,0,1,1,2,3.2,201,3.11,178,1212,159.65,69,188,11.8,class_0
100,552,2,1,18799,1,0,1,0,2,2.3,178,3,145,746,178.25,122,119,12,class_0
103,110,2,1,17884,0,1,1,1,0,2.5,188,3.67,57,1273,119.35,102,110,11.1,class_0
112,3445,2,1,20256,0,0,1,1,2,2,267,3.67,89,754,196.85,90,136,11.8,class_0
113,980,2,0,18713,0,0,1,1,2,6.7,374,3.74,103,979,128.65,100,266,11.1,class_0
117,1083,2,0,18137,0,0,1,1,2,6.5,950,3.11,111,2374,170.5,149,354,11,class_0
121,191,2,1,24803,1,1,1,0,0,1.3,151,3.08,73,1112,46.5,49,213,13.2,class_0
123,971,2,0,16736,0,0,1,1,0,5.1,212,3.23,18,790,179.8,151,104,13,class_0
124,3069,0,0,19318,1,0,1,0,2,0.6,251,3.9,25,681,57.35,107,182,10.8,class_0
125,2468,1,1,17233,0,0,1,0,2,1.3,316,3.51,75,1162,147.25,137,238,10,class_0
126,824,2,0,19577,0,1,1,1,2,1.2,269,3.12,69,1441,165.85,68,166,11.1,class_0
128,1037,2,0,15322,0,0,1,1,2,16.2,502,2.89,42,1828,299.15,90,123,12.6,class_0
131,850,2,1,22646,0,0,1,1,2,2.8,242,3.8,74,614,136.4,104,121,13.2,class_0
