@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute class {class_0,class_1}

@data
11,293,66,1,30,29,14,1,293,66,1,30,29,14,0,0,6,10,446,33,20,1260,6,class_0
6,479,130,18,66,72,76,3,1624,457,63,224,266,263,0,1,20,1,880,82,14,480,20,class_0
5,594,169,4,74,51,35,11,4408,1133,19,501,336,194,0,1,15,23,282,421,25,750,15,class_0
0,185,37,1,23,8,21,2,214,42,1,30,9,24,1,0,13,4,76,127,7,70,12,class_0
13,298,73,0,24,24,7,3,509,108,0,41,37,12,0,1,9,23,121,283,9,100,9,class_0
8,401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,6,14,0,0,0,1100,6,class_0
2,574,159,21,107,75,59,10,4631,1300,90,702,504,488,0,0,7,23,238,445,22,517.143,7,class_0
3,239,60,0,30,11,22,6,1941,510,4,309,103,207,0,0,1,4,121,151,6,700,1,class_0
22,183,39,3,20,15,11,3,201,42,3,20,16,11,0,1,12,19,118,0,0,740,12,class_0
43,190,46,2,24,8,15,5,479,102,5,65,23,39,0,1,9,23,102,177,16,175,9,class_0
40,407,104,6,57,43,65,12,5233,1478,100,643,658,653,0,1,15,1,912,88,9,740,15,class_0
28,22,10,1,4,2,1,6,84,26,2,9,9,3,0,1,3,10,812,84,11,2127.333,3,class_0
17,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,0,0,2,1,1067,157,14,776.667,2,class_0
37,587,163,4,92,51,70,6,2695,747,17,442,198,317,0,0,6,12,434,9,3,765,6,class_0
38,513,137,20,90,95,90,14,5201,1382,166,763,734,784,0,1,3,16,267,5,3,900,3,class_0
35,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,0,1,3,4,127,221,7,160,3,class_0
39,583,168,17,83,80,56,5,1646,452,44,219,208,136,0,0,6,7,109,292,25,612.5,6,class_0
32,204,49,6,23,25,12,7,1309,308,27,126,132,66,0,1,20,10,419,46,5,300,20,class_0
36,161,36,0,19,10,17,4,1053,244,3,156,86,107,0,0,14,23,70,149,12,900,14,class_0
15,346,98,5,31,53,30,16,5913,1615,235,784,901,560,0,0,11,14,0,0,0,920,11,class_0
24,181,41,1,15,21,33,2,232,50,4,20,29,45,0,0,11,1,326,29,5,67.5,11,class_0
21,217,46,7,32,19,9,4,694,160,32,86,76,32,0,0,11,24,307,25,1,180,11,class_0
44,194,40,7,19,29,30,11,4183,1069,64,486,493,608,0,0,14,10,325,22,2,1260,3,class_0
55,254,68,2,28,26,22,6,999,236,21,108,117,118,0,0,6,10,359,30,4,305,6,class_0
49,205,57,8,34,32,9,5,756,192,32,117,107,51,0,0,6,18,58,4,4,247.5,6,class_0
51,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,0,0,11,1,697,61,9,737.5,11,class_0
47,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,0,1,4,10,389,39,4,875,4,class_0
58,19,7,0,1,2,1,4,41,13,1,3,4,4,0,0,23,14,0,0,0,900,23,class_0
50,591,168,19,80,72,39,9,4478,1307,113,634,563,319,0,1,15,7,67,147,4,1200,15,class_0
53,403,101,12,45,53,39,12,5150,1429,166,747,666,526,0,0,7,12,316,6,5,675,7,class_0
52,235,61,3,24,39,21,14,3926,1029,35,441,401,333,0,0,11,10,425,43,4,1050,11,class_0
45,627,177,25,98,81,70,6,3210,927,133,529,472,313,0,0,1,23,240,482,13,1350,1,class_0
59,416,113,24,58,69,16,1,416,113,24,58,69,16,0,0,6,20,203,70,10,90,6,class_0
