@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17}

@data
63,39,25,97,274028,664,7567100,101,4.615121,12.520986,15.83932,6.498282,class_0
51,32,28,88,147434,468,356030,63,4.143135,11.901136,12.78277,6.148468,class_1
12,28,16,59,1255698,295,906079,50,3.912023,14.043202,13.716882,5.686975,class_2
3,16,25,58,18520,655,367802,41,3.713572,9.826607,12.8153,6.484635,class_3
24,14,17,57,82133,497,2364632,65,4.174387,11.316095,14.676133,6.20859,class_4
22,13,14,38,58683,359,1533619,37,3.610918,10.979905,14.243141,5.883322,class_5
55,8,9,28,23348,292,483130,27,3.295837,10.058267,13.088041,5.676754,class_5
7,3,3,17,10315,156,22452,15,2.70805,9.241354,10.019135,5.049856,class_5
33,14,8,35,57369,413,1140484,35,3.555348,10.957259,13.946963,6.023448,class_6
16,11,11,29,11116,245,18600,25,3.218876,9.316141,9.830917,5.501258,class_7
25,11,10,28,58649,355,1152136,15,2.70805,10.979326,13.957128,5.872118,class_7
50,11,6,26,22474,169,36191,20,2.995732,10.020114,10.496566,5.129899,class_8
43,12,9,25,15678,254,402565,19,2.944439,9.660014,12.905612,5.537334,class_9
13,0,1,5,6660,55,297953,1,0,8.803875,12.604691,4.007333,class_9
41,0,1,5,27377,60,34936,2,0.693147,10.217459,10.461273,4.094345,class_9
62,3,10,23,50861,248,60904,23,3.135494,10.836852,11.017054,5.513429,class_10
35,5,8,18,126281,286,5149185,14,2.639057,11.746265,15.454349,5.655992,class_11
56,3,3,11,39628,354,563249,17,2.833213,10.587291,13.241477,5.869297,class_11
27,8,6,17,10116,204,44274,21,3.044522,9.221874,10.698153,5.31812,class_12
47,6,5,14,38718,205,124682,17,2.833213,10.56406,11.733522,5.32301,class_12
26,4,6,13,10600,166,120021,8,2.079442,9.268609,11.695422,5.111988,class_12
57,4,5,12,8875,164,227315,8,2.079442,9.090994,12.334092,5.099866,class_12
46,4,3,10,4419,110,151198,7,1.94591,8.393669,11.926346,4.70048,class_12
20,4,1,8,59649,31,6042,3,1.098612,10.996233,8.70649,3.433987,class_12
17,2,3,8,10282,140,120800,11,2.397895,9.23815,11.701892,4.941642,class_12
34,0,4,7,2538,53,8800,6,1.791759,7.839132,9.082507,3.970292,class_12
40,1,2,6,95831,81,314718,1,0,11.470341,12.659432,4.394449,class_12
39,2,0,5,3694,68,8455,1,0,8.214465,9.042513,4.219508,class_12
0,1,1,5,30081,49,43726,3,1.098612,10.311649,10.685698,3.89182,class_12
8,0,2,5,10141,70,268633,6,1.791759,9.224342,12.501101,4.248495,class_12
54,0,2,5,39357,134,132455,5,1.609438,10.580429,11.793998,4.89784,class_12
44,1,0,4,3796,165,57135,6,1.791759,8.241703,10.953172,5.105945,class_12
18,0,1,4,46109,31,20867,5,1.609438,10.738763,9.945924,3.433987,class_12
11,3,3,14,30563,332,569899,22,3.091042,10.327545,13.253214,5.805135,class_13
10,5,6,13,8336,98,9924,15,2.70805,9.028339,9.202711,4.584967,class_14
58,1,6,9,7299,115,313729,7,1.94591,8.895493,12.656285,4.744932,class_14
