@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17}

@data
0,0,22.5,2956638,class_0
0,0,27.5,2175046,class_1
0,0,32.5,1580019,class_2
0,0,37.5,1320637,class_3
0,0,42.5,1327866,class_4
0,0,47.5,1334769,class_5
0,0,52.5,1214443,class_6
0,0,57.5,977820,class_7
0,0,62.5,739460,class_8
0,0,67.5,520965,class_9
0,0,72.5,320158,class_10
0,0,77.5,158750,class_11
0,0,82.5,63236,class_12
1,10,22.5,1128,class_13
1,10,27.5,634,class_13
1,10,32.5,389,class_13
1,10,37.5,313,class_13
1,10,42.5,364,class_13
1,10,47.5,410,class_13
1,10,67.5,104,class_13
1,10,72.5,63,class_13
1,10,77.5,39,class_13
1,10,82.5,22,class_13
2,11,22.5,904,class_13
2,11,27.5,545,class_13
2,11,32.5,270,class_13
2,11,37.5,283,class_13
2,11,42.5,241,class_13
2,11,47.5,298,class_13
2,11,52.5,280,class_13
2,11,57.5,218,class_13
2,11,62.5,168,class_13
2,11,67.5,138,class_13
2,11,72.5,124,class_13
2,11,77.5,33,class_13
2,11,82.5,27,class_13
3,30,22.5,1187,class_13
3,30,27.5,782,class_13
3,30,32.5,549,class_13
3,30,37.5,472,class_13
3,30,42.5,469,class_13
3,30,47.5,421,class_13
3,30,57.5,323,class_13
3,30,62.5,312,class_13
3,30,82.5,45,class_13
4,32,22.5,1792,class_13
4,32,27.5,1217,class_13
4,32,32.5,854,class_13
4,32,37.5,745,class_13
4,32,47.5,671,class_13
4,32,52.5,570,class_13
4,32,62.5,317,class_13
4,32,67.5,220,class_13
4,32,82.5,51,class_13
5,32,22.5,584,class_13
5,32,27.5,393,class_13
5,32,32.5,237,class_13
5,32,37.5,222,class_13
5,32,42.5,232,class_13
5,32,47.5,216,class_13
5,32,57.5,162,class_13
5,32,62.5,173,class_13
5,32,67.5,122,class_13
5,32,77.5,38,class_13
6,42,22.5,2188,class_13
6,42,27.5,1509,class_13
6,42,32.5,1065,class_13
6,42,37.5,1036,class_13
6,42,42.5,1051,class_13
6,42,47.5,951,class_13
6,42,52.5,820,class_13
6,42,57.5,637,class_13
6,42,62.5,511,class_13
6,42,67.5,408,class_13
6,42,72.5,247,class_13
6,42,77.5,122,class_13
6,42,82.5,84,class_13
7,45,22.5,1981,class_13
7,45,27.5,1203,class_13
7,45,32.5,719,class_13
7,45,37.5,574,class_13
7,45,42.5,644,class_13
7,45,47.5,709,class_13
7,45,52.5,637,class_13
7,45,57.5,458,class_13
7,45,62.5,282,class_13
7,45,67.5,157,class_13
7,45,72.5,155,class_13
7,45,77.5,122,class_13
7,45,82.5,75,class_13
8,50,22.5,1468,class_13
8,50,27.5,807,class_13
8,50,32.5,553,class_13
8,50,37.5,508,class_13
8,50,42.5,619,class_13
8,50,47.5,621,class_13
8,50,52.5,485,class_13
8,50,57.5,359,class_13
8,50,62.5,325,class_13
8,50,67.5,247,class_13
8,50,72.5,235,class_13
8,50,77.5,155,class_13
8,50,82.5,119,class_13
9,56,22.5,1543,class_13
9,56,27.5,777,class_13
9,56,32.5,464,class_13
9,56,37.5,499,class_13
9,56,42.5,617,class_13
9,56,47.5,898,class_13
9,56,52.5,460,class_13
9,56,67.5,174,class_13
9,56,82.5,51,class_13
10,60,22.5,2527,class_13
10,60,27.5,1443,class_13
10,60,32.5,816,class_13
10,60,37.5,747,class_13
10,60,42.5,902,class_13
10,60,47.5,944,class_13
10,60,52.5,810,class_13
10,60,57.5,607,class_13
10,60,62.5,475,class_13
10,60,67.5,381,class_13
10,60,77.5,146,class_13
10,60,82.5,60,class_13
11,65,22.5,1563,class_13
11,65,27.5,944,class_13
11,65,32.5,592,class_13
11,65,37.5,498,class_13
11,65,47.5,512,class_13
11,65,57.5,382,class_13
11,65,62.5,377,class_13
11,65,67.5,314,class_13
11,65,72.5,183,class_13
11,65,77.5,120,class_13
11,65,82.5,80,class_13
12,73,22.5,2796,class_13
12,73,27.5,1759,class_13
12,73,32.5,1302,class_13
12,73,37.5,1289,class_13
12,73,42.5,1401,class_13
12,73,47.5,1066,class_13
12,73,57.5,653,class_13
12,73,62.5,550,class_13
12,73,67.5,442,class_13
12,73,72.5,350,class_13
12,73,77.5,214,class_13
13,80,22.5,2477,class_13
13,80,27.5,1667,class_13
13,80,32.5,939,class_13
13,80,37.5,782,class_13
13,80,42.5,878,class_13
13,80,47.5,1028,class_13
13,80,52.5,1147,class_13
13,80,57.5,1030,class_13
13,80,62.5,589,class_13
13,80,77.5,113,class_13
13,80,82.5,86,class_13
14,100,22.5,1613,class_13
14,100,27.5,1042,class_13
14,100,32.5,638,class_13
14,100,37.5,510,class_13
14,100,42.5,624,class_13
14,100,52.5,513,class_13
14,100,57.5,405,class_13
14,100,67.5,252,class_13
14,100,77.5,107,class_13
14,100,82.5,68,class_13
15,110,22.5,1508,class_13
15,110,27.5,809,class_13
15,110,32.5,522,class_13
15,110,37.5,582,class_13
15,110,42.5,519,class_13
15,110,57.5,316,class_13
15,110,62.5,243,class_13
15,110,67.5,170,class_13
15,110,82.5,22,class_13
16,110,22.5,1044,class_13
16,110,27.5,639,class_13
16,110,32.5,363,class_13
16,110,37.5,390,class_13
16,110,42.5,392,class_13
16,110,47.5,408,class_13
16,110,57.5,238,class_13
16,110,62.5,205,class_13
16,110,72.5,101,class_13
16,110,82.5,17,class_13
17,123,22.5,1022,class_13
17,123,27.5,682,class_13
17,123,32.5,429,class_13
17,123,37.5,492,class_13
17,123,42.5,454,class_13
17,123,47.5,394,class_13
17,123,52.5,286,class_13
17,123,57.5,266,class_13
17,123,62.5,252,class_13
17,123,67.5,192,class_13
17,123,72.5,101,class_13
17,123,77.5,90,class_13
18,126,22.5,1616,class_13
18,126,27.5,897,class_13
18,126,32.5,516,class_13
18,126,37.5,485,class_13
18,126,42.5,588,class_13
18,126,47.5,555,class_13
18,126,52.5,474,class_13
18,126,57.5,411,class_13
18,126,62.5,345,class_13
18,126,77.5,104,class_13
18,126,82.5,48,class_13
19,256,22.5,2506,class_13
19,256,27.5,1455,class_13
19,256,32.5,923,class_13
19,256,37.5,796,class_13
19,256,42.5,929,class_13
19,256,47.5,853,class_13
19,256,52.5,708,class_13
19,256,62.5,392,class_13
19,256,77.5,111,class_13
20,256,22.5,1036,class_13
20,256,27.5,511,class_13
20,256,32.5,249,class_13
20,256,37.5,277,class_13
20,256,42.5,255,class_13
20,256,52.5,353,class_13
20,256,67.5,201,class_13
20,256,72.5,153,class_13
20,256,82.5,43,class_13
21,259,22.5,1425,class_13
21,259,27.5,773,class_13
21,259,32.5,468,class_13
21,259,37.5,379,class_13
21,259,42.5,457,class_13
21,259,47.5,439,class_13
21,259,52.5,403,class_13
21,259,77.5,75,class_13
22,307,22.5,733,class_13
22,307,27.5,398,class_13
22,307,32.5,202,class_13
22,307,37.5,213,class_13
22,307,42.5,272,class_13
22,307,47.5,292,class_13
22,307,52.5,239,class_13
22,307,62.5,169,class_13
22,307,67.5,140,class_13
22,307,77.5,32,class_13
22,307,82.5,24,class_13
23,307,22.5,1231,class_13
23,307,27.5,740,class_13
23,307,32.5,501,class_13
23,307,42.5,563,class_13
23,307,52.5,440,class_13
23,307,57.5,300,class_13
23,307,67.5,131,class_13
23,307,72.5,90,class_13
23,307,77.5,66,class_13
23,307,82.5,37,class_13
24,350,22.5,1024,class_13
24,350,27.5,551,class_13
24,350,32.5,346,class_13
24,350,37.5,291,class_13
24,350,42.5,351,class_13
24,350,47.5,334,class_13
24,350,52.5,259,class_13
24,350,57.5,204,class_13
