@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7}

@data
1,33,27,288,13,24,49,2135,2836,1,class_0
2,19,15,139,14,12,41,957,2035,1,class_0
3,26,20,196,12,14,41,1530,6030,1,class_0
4,19,15,159,12,19,41,1059,4704,1,class_0
5,56,52,536,20,27,61,3951,5183,1,class_0
6,16,15,134,16,12,41,918,2157,2,class_0
7,70,62,623,18,27,61,4367,7072,2,class_0
8,66,54,517,15,32,61,4345,5246,2,class_0
9,12,12,96,10,12,31,754,951,2,class_0
10,60,50,467,14,29,61,3902,6067,2,class_0
11,32,29,277,14,20,45,1993,3264,3,class_0
12,20,14,155,10,21,41,1312,1899,3,class_0
13,53,40,386,24,13,51,2780,5931,3,class_0
14,28,27,241,24,8,45,1649,3877,3,class_0
15,48,43,422,19,18,51,2983,4968,3,class_0
16,653,671,6263,34,41,101,45324,59877,4,class_0
17,79,78,612,14,31,61,5331,7027,4,class_0
18,59,54,532,23,23,61,3994,6529,4,class_0
19,27,28,250,9,22,41,1616,2208,4,class_0
20,49,55,412,20,27,61,3240,3976,4,class_0
21,38,36,339,21,11,51,2055,4438,5,class_0
22,6,6,55,11,12,31,304,960,5,class_0
23,42,39,290,12,25,57,2294,7990,5,class_0
24,29,27,249,13,23,49,1899,2719,5,class_0
25,21,19,164,8,25,45,1217,2389,5,class_0
26,14,9,97,12,15,35,679,1462,6,class_1
27,9,10,74,3,20,31,490,1751,6,class_1
28,20,21,144,5,27,49,1109,2259,6,class_1
29,153,138,1277,21,36,81,7910,13205,6,class_1
30,33,32,240,10,24,51,1837,3281,6,class_1
31,21,19,163,7,23,49,1176,7082,7,class_1
32,10,10,63,4,18,35,454,952,7,class_1
33,65,62,488,14,33,61,3254,6389,7,class_1
34,13,14,111,4,19,31,759,1830,7,class_1
35,17,18,128,6,22,45,871,1833,7,class_1
36,32,33,230,9,30,51,1788,2914,7,class_1
37,89,92,720,15,46,79,5495,6772,7,class_1
38,25,22,179,11,22,49,1286,2628,7,class_1
39,6,6,37,8,17,41,257,655,8,class_1
40,4,4,24,5,11,35,177,637,8,class_1
41,10,11,65,9,19,49,470,1387,8,class_1
42,6,6,37,5,23,41,255,742,8,class_1
43,13,13,89,6,24,45,591,1307,8,class_1
44,24,25,187,8,33,55,1313,2165,9,class_1
45,9,9,60,10,21,49,415,1136,9,class_1
46,116,108,939,21,36,79,6313,10879,9,class_1
47,118,119,1008,22,45,85,7619,12112,9,class_1
48,12,10,81,11,17,45,555,1370,9,class_1
49,41,42,310,10,31,57,2402,3863,9,class_1
50,8,8,58,7,16,35,369,831,9,class_1
51,26,25,169,10,26,51,1311,2409,9,class_1
194,8,9,63,3,23,41,411,950,35,class_1
195,17,17,128,6,25,45,1048,1606,35,class_1
196,12,12,90,3,26,41,607,1347,35,class_1
197,10,11,79,4,22,39,486,1102,35,class_1
198,7,7,50,1,18,35,325,688,35,class_1
199,118,118,1025,15,32,65,7700,11126,36,class_1
200,18,17,121,5,21,41,938,1645,36,class_1
