@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
12,12,0,22.9,31.3,class_0
12,11,0,96.2,86.6,class_0
12,8,0,18.1,47.2,class_0
12,14,0,8.9,15.4,class_0
12,13,0,2.8,8.1,class_0
12,0,0,22.4,11.3,class_0
12,15,0,5.7,5.3,class_0
12,2,0,7.6,6.1,class_0
12,3,0,6.6,12.1,class_0
12,1,0,6.8,7.5,class_0
12,16,0,3.9,8.3,class_0
12,10,0,9.6,8.1,class_0
12,9,0,8,2.3,class_0
12,6,0,2.4,2.6,class_0
12,7,0,5.9,3.6,class_0
12,5,0,1.4,1.4,class_0
12,4,0,0,0.8,class_0
11,12,0,7.3,35.5,class_0
11,11,0,338.6,344.1,class_0
11,8,0,54.5,149.7,class_0
11,14,0,36.2,42,class_0
11,13,0,8.4,12,class_0
11,0,0,96.6,70.5,class_0
11,15,0,33.1,28.6,class_0
11,2,0,26.8,46.8,class_0
11,3,0,54.7,65.5,class_0
11,1,0,13.1,31,class_0
11,16,0,24.8,49.7,class_0
11,10,0,48.4,45.1,class_0
11,9,0,62.3,50.7,class_0
11,6,0,15.2,8.2,class_0
11,7,0,23.4,20.7,class_0
11,5,0,3.3,7.7,class_0
11,4,0,11.1,2.4,class_0
8,12,0,12.8,41.1,class_0
8,11,0,293.2,275,class_0
8,8,0,112.8,290.9,class_0
8,14,0,82,92.3,class_0
8,13,0,4.4,34.1,class_0
8,0,0,128.1,68.3,class_0
8,15,0,59,50.7,class_0
8,2,0,35.4,49.2,class_0
8,3,0,49.8,71.9,class_0
8,1,0,28.5,31.7,class_0
8,16,0,28.6,62.5,class_0
8,10,0,72.9,59,class_0
8,9,0,82.9,46.7,class_0
8,6,0,13,7.9,class_0
8,7,0,52.8,31.7,class_0
8,5,0,5.4,4.5,class_0
8,4,0,5.2,5.1,class_0
14,12,0,6.5,17.4,class_0
14,11,0,114,104.8,class_0
14,8,0,29.1,95.3,class_0
14,14,0,40.5,60.8,class_0
14,13,0,1.7,10,class_0
14,0,0,67.9,36.4,class_0
14,15,0,26.3,18.8,class_0
14,2,0,12.4,19.6,class_0
14,3,0,23.1,27.6,class_0
14,1,0,6.1,11.9,class_0
14,16,0,9.5,29.9,class_0
14,10,0,26.7,22.3,class_0
14,9,0,30.2,21.5,class_0
14,6,0,4.7,3.3,class_0
14,7,0,18.9,12.8,class_0
14,5,0,1.3,0.8,class_0
14,4,0,4,2.6,class_0
13,12,0,16.2,27,class_0
13,11,0,165.7,150.6,class_0
13,8,0,58.4,187.3,class_0
13,14,0,46,73.2,class_0
13,13,0,29.1,74.9,class_0
