@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
36,27,71,8.1,3.34,11.4,81.5,3243,8.8,42.6,11.7,21,15,59,921.87,class_0
36,27,72,9.5,3.36,10.7,79.3,4213,6.7,41,13.2,12,7,20,912.347,class_0
31,27,74,7.2,3.44,10.8,87,4834,15.8,43.5,13.6,52,35,124,959.221,class_0
46,55,84,5.6,3.35,11.4,79.7,2647,21,46.9,17.9,6,5,1,952.529,class_0
50,42,82,7.3,3.49,10.4,72.5,3497,36.7,43.3,26.4,15,18,34,1006.49,class_0
31,26,73,9.3,3.22,10.7,81.3,3249,9.5,43.9,13.6,11,7,25,972.464,class_0
35,23,72,11.1,3.14,11,78.8,4281,3.5,50.7,14.4,8,10,39,997.875,class_1
40,34,77,9.2,3.21,10.2,77,4101,13,45.7,15.1,26,26,146,970.467,class_1
30,35,71,8.3,3.37,9.9,77.4,4474,13.1,42.6,17.7,38,37,193,989.265,class_1
34,32,79,9.3,3.23,9.7,76.8,5160,17.2,45.1,15.3,31,15,68,953.56,class_1
44,29,74,10.4,3.21,9.8,81.6,4260,0.8,39.4,12.4,6,6,33,962.354,class_2
53,45,80,7.7,3.45,10.2,66.8,3325,38.5,43.1,25.5,30,32,72,1030.38,class_2
35,46,85,7.1,3.22,11.8,79.9,1441,14.8,51.2,16.1,1,1,1,860.101,class_2
43,32,74,10.1,3.38,9.5,79.2,3214,2.9,43.7,12,11,7,32,844.053,class_2
42,32,76,9.1,3.32,10.5,87.5,6092,17.5,45.3,13.2,29,32,161,1015.023,class_2
41,33,77,11.2,3.08,9.6,79.9,4843,2.7,38.6,14.1,11,11,89,946.185,class_2
