@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11}

@data
1,0.057,1,class_0
2,0.064,1,class_0
3,0.064,1,class_0
5,0.462,1,class_0
6,0.086,2,class_0
7,0.114,2,class_0
8,0.117,2,class_0
9,0.118,2,class_0
10,0.119,2,class_0
11,0.126,2,class_0
16,0.218,3,class_0
18,0.143,4,class_0
21,0.244,4,class_0
26,0.762,7,class_0
29,0.532,8,class_0
32,0.564,9,class_0
34,0.583,9,class_0
35,0.722,9,class_0
38,0.532,10,class_0
39,0.584,10,class_0
43,1.236,11,class_0
44,0.95,12,class_0
47,1.013,13,class_0
48,0.739,14,class_0
50,0.821,15,class_0
53,1.164,15,class_0
54,1.303,16,class_0
64,1.247,18,class_0
74,1.309,22,class_0
86,2.282,32,class_0
87,2.115,33,class_0
100,3.814,40,class_0
122,5.789,73,class_0
4,0.066,1,class_1
12,0.231,2,class_1
13,0.261,2,class_1
14,0.211,3,class_1
15,0.216,3,class_1
17,0.648,3,class_1
20,0.21,4,class_1
27,1.222,7,class_1
30,0.936,8,class_1
31,0.503,9,class_1
41,0.722,10,class_1
42,0.904,11,class_1
45,1.405,12,class_1
49,1.77,14,class_1
56,3.585,16,class_1
57,1.193,17,class_1
58,1.213,17,class_1
59,1.232,17,class_1
63,1.888,17,class_1
72,1.524,21,class_1
76,1.677,24,class_1
91,2.369,35,class_1
92,2.557,35,class_1
94,2.641,37,class_1
95,2.741,38,class_1
97,3.513,38,class_1
103,2.815,43,class_1
107,4.219,45,class_1
110,4.203,48,class_1
19,0.144,4,class_2
23,0.796,6,class_2
25,0.561,7,class_2
33,0.572,9,class_2
36,0.771,9,class_2
40,0.672,10,class_2
51,1.115,15,class_2
65,1.381,18,class_2
66,1.643,18,class_2
70,1.593,20,class_2
77,1.654,25,class_2
81,2.465,26,class_2
82,1.75,27,class_2
84,2.383,28,class_2
88,2.852,33,class_2
98,2.728,40,class_2
101,4.014,41,class_2
102,2.612,42,class_2
104,4.294,43,class_2
113,5.571,56,class_2
118,5.039,61,class_2
22,0.53,6,class_3
46,0.776,13,class_3
52,1.164,15,class_3
55,1.774,16,class_3
61,1.52,17,class_3
62,1.862,17,class_3
69,1.486,20,class_3
73,1.759,21,class_3
78,1.785,25,class_3
85,2.717,28,class_3
93,3.859,35,class_3
96,3.055,38,class_3
111,4.022,51,class_3
115,5.344,60,class_3
126,6.249,79,class_3
127,7.002,91,class_3
24,1.622,6,class_4
28,0.513,8,class_4
37,1.873,9,class_4
60,1.517,17,class_4
67,1.66,18,class_4
68,1.827,19,class_4
71,2.265,20,class_4
75,1.529,24,class_4
79,1.979,25,class_4
80,1.767,26,class_4
83,2.458,27,class_4
109,4.082,47,class_4
114,6.436,57,class_4
116,4.445,61,class_4
89,2.856,33,class_5
90,3.174,33,class_5
112,4.636,51,class_5
117,4.705,61,class_5
121,11.26,69,class_5
99,3.354,40,class_6
106,3.628,45,class_6
108,3.932,47,class_6
119,6.043,68,class_6
123,6.044,74,class_6
105,3.45,44,class_7
120,5.121,69,class_7
124,5.569,75,class_7
125,6.13,75,class_8
129,9.573,104,class_8
128,7.851,99,class_9
130,12.05,133,class_10
131,12.131,152,class_11
