@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17}

@data
3,3,14633,class_0
1,3,283,class_0
4,3,237,class_0
2,3,60,class_0
0,3,1280,class_0
3,1,1236,class_0
1,1,1582,class_0
4,1,876,class_0
2,1,197,class_0
0,1,747,class_0
3,4,9,class_0
1,4,42,class_0
4,4,0,class_0
2,4,0,class_0
0,4,19,class_0
3,2,26,class_0
1,2,28,class_0
4,2,16,class_0
2,2,0,class_0
0,2,20,class_0
3,0,1696,class_0
1,0,16,class_0
4,0,37,class_0
2,0,0,class_0
0,0,960,class_0
3,3,14435,class_1
1,3,42,class_1
4,3,0,class_1
2,3,2,class_1
0,3,2465,class_1
3,1,282,class_1
1,1,276,class_1
4,1,0,class_1
2,1,0,class_1
0,1,392,class_1
3,4,21,class_1
1,4,0,class_1
4,4,0,class_1
2,4,0,class_1
0,4,0,class_1
3,2,22,class_1
1,2,15,class_1
4,2,0,class_1
2,2,0,class_1
0,2,22,class_1
3,0,3157,class_1
1,0,17,class_1
4,0,0,class_1
2,0,13,class_1
0,0,4339,class_1
3,3,10871,class_2
1,3,1,class_2
4,3,26,class_2
2,3,0,class_2
0,3,488,class_2
3,1,12,class_2
1,1,15,class_2
4,1,0,class_2
2,1,0,class_2
0,1,20,class_2
3,4,3,class_2
1,4,0,class_2
4,4,0,class_2
2,4,0,class_2
0,4,11,class_2
3,2,0,class_2
1,2,0,class_2
4,2,0,class_2
2,2,0,class_2
0,2,0,class_2
3,0,790,class_2
1,0,0,class_2
4,0,9,class_2
2,0,0,class_2
0,0,1254,class_2
3,3,14540,class_3
1,3,0,class_3
4,3,0,class_3
2,3,0,class_3
0,3,460,class_3
3,1,0,class_3
1,1,0,class_3
4,1,0,class_3
2,1,0,class_3
0,1,0,class_3
3,4,0,class_3
1,4,0,class_3
4,4,0,class_3
2,4,0,class_3
0,4,0,class_3
3,2,0,class_3
1,2,0,class_3
4,2,0,class_3
2,2,0,class_3
0,2,0,class_3
3,0,0,class_3
1,0,0,class_3
4,0,0,class_3
2,0,0,class_3
0,0,0,class_3
3,3,16848,class_4
1,3,70,class_4
4,3,10,class_4
2,3,0,class_4
0,3,4072,class_4
3,1,6,class_4
1,1,0,class_4
4,1,0,class_4
2,1,0,class_4
0,1,32,class_4
3,4,2,class_4
1,4,0,class_4
4,4,0,class_4
2,4,0,class_4
0,4,37,class_4
3,2,0,class_4
1,2,0,class_4
4,2,0,class_4
2,2,0,class_4
0,2,0,class_4
3,0,716,class_4
1,0,106,class_4
4,0,0,class_4
2,0,0,class_4
0,0,2101,class_4
3,3,13650,class_5
1,3,51,class_5
4,3,0,class_5
2,3,0,class_5
0,3,2108,class_5
3,1,339,class_5
1,1,349,class_5
4,1,12,class_5
2,1,0,class_5
0,1,806,class_5
3,4,0,class_5
1,4,0,class_5
4,4,0,class_5
2,4,0,class_5
0,4,0,class_5
3,2,0,class_5
1,2,0,class_5
4,2,0,class_5
2,2,0,class_5
0,2,0,class_5
3,0,2662,class_5
1,0,25,class_5
4,0,0,class_5
2,0,0,class_5
0,0,4998,class_5
3,3,14169,class_6
1,3,78,class_6
4,3,14,class_6
2,3,0,class_6
0,3,2872,class_6
3,1,24,class_6
1,1,18,class_6
4,1,0,class_6
2,1,0,class_6
0,1,0,class_6
3,4,0,class_6
1,4,0,class_6
4,4,0,class_6
2,4,0,class_6
0,4,0,class_6
3,2,0,class_6
1,2,0,class_6
4,2,0,class_6
2,2,0,class_6
0,2,0,class_6
3,0,693,class_6
1,0,94,class_6
4,0,0,class_6
2,0,0,class_6
0,0,4038,class_6
3,3,22905,class_7
1,3,0,class_7
4,3,10,class_7
2,3,0,class_7
0,3,874,class_7
3,1,13,class_7
1,1,0,class_7
4,1,11,class_7
2,1,0,class_7
0,1,142,class_7
3,4,46,class_7
1,4,0,class_7
4,4,106,class_7
2,4,0,class_7
0,4,64,class_7
3,2,22,class_7
1,2,0,class_7
4,2,63,class_7
2,2,0,class_7
0,2,57,class_7
3,0,856,class_7
1,0,0,class_7
4,0,35,class_7
2,0,0,class_7
0,0,796,class_7
3,3,20581,class_8
1,3,0,class_8
4,3,3,class_8
2,3,0,class_8
0,3,574,class_8
3,1,0,class_8
1,1,0,class_8
4,1,0,class_8
2,1,0,class_8
0,1,0,class_8
3,4,7,class_8
1,4,0,class_8
4,4,44,class_8
2,4,0,class_8
0,4,13,class_8
3,2,0,class_8
1,2,0,class_8
4,2,0,class_8
2,2,0,class_8
0,2,0,class_8
3,0,577,class_8
1,0,0,class_8
4,0,9,class_8
2,0,0,class_8
0,0,192,class_8
3,3,14466,class_9
1,3,18,class_9
4,3,308,class_9
2,3,48,class_9
0,3,2441,class_9
3,1,0,class_9
1,1,0,class_9
4,1,0,class_9
2,1,0,class_9
0,1,0,class_9
3,4,616,class_9
1,4,131,class_9
4,4,1319,class_9
2,4,133,class_9
0,4,2931,class_9
3,2,0,class_9
1,2,0,class_9
4,2,0,class_9
2,2,0,class_9
0,2,0,class_9
3,0,1553,class_9
1,0,9,class_9
4,0,39,class_9
2,0,13,class_9
0,0,975,class_9
3,3,19551,class_10
1,3,59,class_10
4,3,161,class_10
2,3,0,class_10
0,3,1841,class_10
3,1,57,class_10
1,1,10,class_10
4,1,33,class_10
2,1,0,class_10
0,1,24,class_10
3,4,48,class_10
1,4,16,class_10
4,4,116,class_10
2,4,0,class_10
0,4,47,class_10
3,2,0,class_10
1,2,0,class_10
4,2,0,class_10
2,2,0,class_10
0,2,0,class_10
3,0,721,class_10
1,0,0,class_10
4,0,0,class_10
2,0,0,class_10
0,0,122,class_10
3,3,23973,class_11
1,3,12,class_11
4,3,0,class_11
2,3,0,class_11
0,3,1407,class_11
3,1,1,class_11
1,1,0,class_11
4,1,0,class_11
2,1,0,class_11
0,1,10,class_11
3,4,0,class_11
1,4,0,class_11
4,4,0,class_11
2,4,0,class_11
0,4,0,class_11
3,2,0,class_11
1,2,0,class_11
4,2,0,class_11
2,2,0,class_11
0,2,0,class_11
3,0,1075,class_11
1,0,0,class_11
4,0,0,class_11
2,0,0,class_11
0,0,522,class_11
3,3,18194,class_12
1,3,0,class_12
4,3,16,class_12
2,3,0,class_12
0,3,465,class_12
3,1,0,class_12
1,1,0,class_12
4,1,0,class_12
2,1,0,class_12
0,1,0,class_12
3,4,0,class_12
1,4,0,class_12
4,4,0,class_12
2,4,0,class_12
0,4,0,class_12
3,2,0,class_12
1,2,0,class_12
4,2,0,class_12
2,2,0,class_12
0,2,0,class_12
3,0,284,class_12
1,0,0,class_12
4,0,0,class_12
2,0,0,class_12
0,0,41,class_12
3,3,10066,class_13
1,3,1087,class_13
4,3,0,class_13
2,3,15,class_13
0,3,1591,class_13
3,1,812,class_13
1,1,3719,class_13
4,1,0,class_13
2,1,71,class_13
0,1,592,class_13
3,4,0,class_13
1,4,0,class_13
4,4,0,class_13
2,4,0,class_13
0,4,19,class_13
3,2,57,class_13
1,2,475,class_13
4,2,0,class_13
2,2,0,class_13
0,2,0,class_13
3,0,1417,class_13
1,0,1158,class_13
4,0,12,class_13
2,0,0,class_13
0,0,2909,class_13
3,3,7577,class_14
1,3,20,class_14
4,3,23,class_14
2,3,14,class_14
0,3,726,class_14
3,1,0,class_14
1,1,26,class_14
4,1,0,class_14
2,1,0,class_14
0,1,0,class_14
3,4,61,class_14
1,4,79,class_14
4,4,88,class_14
2,4,0,class_14
0,4,261,class_14
3,2,0,class_14
1,2,0,class_14
4,2,0,class_14
2,2,0,class_14
0,2,0,class_14
3,0,250,class_14
1,0,0,class_14
4,0,12,class_14
2,0,13,class_14
0,0,350,class_14
3,3,8510,class_15
1,3,24,class_15
4,3,58,class_15
2,3,18,class_15
0,3,494,class_15
3,1,49,class_15
1,1,0,class_15
4,1,29,class_15
2,1,0,class_15
0,1,15,class_15
3,4,241,class_15
1,4,70,class_15
4,4,338,class_15
2,4,58,class_15
0,4,303,class_15
3,2,0,class_15
1,2,0,class_15
4,2,0,class_15
2,2,0,class_15
0,2,0,class_15
3,0,1180,class_15
1,0,26,class_15
4,0,46,class_15
2,0,11,class_15
0,0,1080,class_15
3,3,17211,class_16
1,3,125,class_16
4,3,0,class_16
2,3,0,class_16
0,3,621,class_16
3,1,309,class_16
1,1,590,class_16
4,1,0,class_16
2,1,0,class_16
0,1,511,class_16
3,4,12,class_16
1,4,0,class_16
4,4,11,class_16
2,4,0,class_16
0,4,0,class_16
3,2,5,class_16
1,2,16,class_16
4,2,0,class_16
2,2,0,class_16
0,2,24,class_16
3,0,1051,class_16
1,0,43,class_16
4,0,0,class_16
2,0,0,class_16
0,0,1471,class_16
3,3,14354,class_17
1,3,0,class_17
4,3,0,class_17
2,3,0,class_17
0,3,486,class_17
3,1,5,class_17
1,1,0,class_17
4,1,0,class_17
2,1,0,class_17
0,1,9,class_17
3,4,0,class_17
1,4,0,class_17
4,4,0,class_17
2,4,0,class_17
0,4,12,class_17
3,2,0,class_17
1,2,0,class_17
4,2,0,class_17
2,2,0,class_17
0,2,0,class_17
3,0,112,class_17
1,0,0,class_17
4,0,0,class_17
2,0,0,class_17
0,0,22,class_17
