@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18}

@data
3,3,14828,class_0
1,3,258,class_0
4,3,242,class_0
2,3,57,class_0
0,3,1103,class_0
3,1,562,class_0
1,1,836,class_0
4,1,566,class_0
2,1,82,class_0
0,1,447,class_0
3,4,35,class_0
1,4,56,class_0
4,4,132,class_0
2,4,18,class_0
0,4,22,class_0
3,2,365,class_0
1,2,718,class_0
4,2,144,class_0
2,2,16,class_0
0,2,69,class_0
3,0,1810,class_0
1,0,83,class_0
4,0,82,class_0
2,0,84,class_0
0,0,1385,class_0
3,3,16256,class_1
1,3,72,class_1
4,3,0,class_1
2,3,2,class_1
0,3,2986,class_1
3,1,66,class_1
1,1,223,class_1
4,1,0,class_1
2,1,13,class_1
0,1,104,class_1
3,4,0,class_1
1,4,0,class_1
4,4,0,class_1
2,4,0,class_1
0,4,0,class_1
3,2,0,class_1
1,2,0,class_1
4,2,0,class_1
2,2,0,class_1
0,2,0,class_1
3,0,1595,class_1
1,0,55,class_1
4,0,0,class_1
2,0,0,class_1
0,0,4128,class_1
3,3,9897,class_2
1,3,1,class_2
4,3,26,class_2
2,3,0,class_2
0,3,230,class_2
3,1,12,class_2
1,1,0,class_2
4,1,0,class_2
2,1,0,class_2
0,1,21,class_2
3,4,0,class_2
1,4,0,class_2
4,4,0,class_2
2,4,0,class_2
0,4,0,class_2
3,2,0,class_2
1,2,0,class_2
4,2,0,class_2
2,2,0,class_2
0,2,0,class_2
3,0,1767,class_2
1,0,15,class_2
4,0,9,class_2
2,0,0,class_2
0,0,1522,class_2
3,3,13274,class_3
1,3,0,class_3
4,3,0,class_3
2,3,0,class_3
0,3,280,class_3
3,1,0,class_3
1,1,0,class_3
4,1,0,class_3
2,1,0,class_3
0,1,0,class_3
3,4,0,class_3
1,4,0,class_3
4,4,0,class_3
2,4,0,class_3
0,4,0,class_3
3,2,0,class_3
1,2,0,class_3
4,2,0,class_3
2,2,0,class_3
0,2,0,class_3
3,0,1266,class_3
1,0,0,class_3
4,0,0,class_3
2,0,0,class_3
0,0,180,class_3
3,3,16704,class_4
1,3,47,class_4
4,3,0,class_4
2,3,0,class_4
0,3,3256,class_4
3,1,0,class_4
1,1,0,class_4
4,1,0,class_4
2,1,0,class_4
0,1,0,class_4
3,4,0,class_4
1,4,0,class_4
4,4,0,class_4
2,4,0,class_4
0,4,21,class_4
3,2,0,class_4
1,2,0,class_4
4,2,0,class_4
2,2,0,class_4
0,2,0,class_4
3,0,868,class_4
1,0,129,class_4
4,0,10,class_4
2,0,0,class_4
0,0,2965,class_4
3,3,14400,class_5
1,3,86,class_5
4,3,2,class_5
2,3,0,class_5
0,3,2137,class_5
3,1,97,class_5
1,1,235,class_5
4,1,0,class_5
2,1,0,class_5
0,1,107,class_5
3,4,0,class_5
1,4,0,class_5
4,4,0,class_5
2,4,0,class_5
0,4,0,class_5
3,2,0,class_5
1,2,0,class_5
4,2,0,class_5
2,2,0,class_5
0,2,0,class_5
3,0,2154,class_5
