@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
0,125,256,6000,256,128,199,class_0
1,23,16000,32000,64,32,381,class_0
1,23,16000,32000,64,32,381,class_0
1,23,16000,64000,64,32,749,class_0
17,26,16000,32000,64,24,361,class_0
21,38,16000,32000,128,32,426,class_0
21,30,16000,32000,256,24,603,class_0
22,38,4000,8000,32,32,80,class_0
22,38,4000,8000,32,32,80,class_0
22,38,4000,16000,128,32,190,class_0
1,29,8000,32000,32,32,253,class_1
1,29,8000,32000,32,32,253,class_1
1,29,8000,32000,32,32,253,class_1
1,29,8000,16000,32,16,132,class_1
1,26,8000,32000,64,32,290,class_1
5,110,5000,5000,142,64,124,class_1
12,125,512,1000,0,20,19,class_1
17,26,16000,32000,64,24,350,class_1
17,26,8000,32000,0,24,220,class_1
17,26,8000,16000,0,16,113,class_1
20,150,512,4000,0,128,33,class_1
21,72,4000,16000,64,16,120,class_1
21,40,8000,16000,32,16,126,class_1
21,40,8000,32000,64,24,266,class_1
21,35,8000,32000,64,24,270,class_1
21,48,4000,24000,32,24,151,class_1
21,38,8000,32000,64,24,267,class_1
26,26,8000,24000,32,16,183,class_1
1,23,32000,64000,128,64,1238,class_2
2,400,1000,3000,0,2,23,class_3
2,400,512,3500,4,6,24,class_3
3,60,2000,8000,65,8,70,class_3
3,50,4000,16000,65,8,117,class_3
4,350,64,64,0,4,15,class_3
6,320,128,6000,0,12,28,class_3
6,320,512,2000,4,3,21,class_3
6,320,256,6000,0,6,28,class_3
6,320,256,3000,4,3,22,class_3
6,320,512,5000,4,5,28,class_3
6,320,256,5000,4,6,27,class_3
7,50,500,2000,8,4,23,class_3
7,50,1000,4000,8,5,29,class_3
7,50,2000,8000,8,5,44,class_3
9,810,512,512,8,1,18,class_3
9,810,1000,5000,0,1,28,class_3
9,320,512,8000,4,5,36,class_3
9,200,512,8000,8,8,38,class_3
10,700,384,8000,0,1,34,class_3
10,700,256,2000,0,1,19,class_3
10,140,1000,16000,16,3,72,class_3
10,200,1000,8000,0,2,36,class_3
10,110,1000,4000,16,2,30,class_3
10,110,1000,12000,16,2,56,class_3
10,220,1000,8000,16,2,42,class_3
11,800,256,8000,0,4,34,class_3
11,800,256,8000,0,4,34,class_3
11,800,256,8000,0,4,34,class_3
11,800,256,8000,0,4,34,class_3
11,800,256,8000,0,4,34,class_3
13,75,2000,8000,64,38,75,class_3
13,75,2000,16000,64,38,113,class_3
13,75,2000,16000,128,38,157,class_3
15,300,768,4500,0,24,27,class_3
15,300,384,12000,6,24,50,class_3
15,180,768,12000,6,31,53,class_3
16,330,1000,2000,0,2,20,class_3
16,140,2000,4000,8,20,32,class_3
16,140,2000,32000,32,20,175,class_3
16,140,2000,8000,32,54,57,class_3
16,140,2000,32000,32,54,181,class_3
16,140,2000,32000,32,54,181,class_3
16,140,2000,4000,8,20,32,class_3
17,480,96,512,0,1,15,class_3
17,203,1000,2000,0,5,21,class_3
17,115,512,6000,16,6,35,class_3
17,1100,512,1500,0,1,18,class_3
17,1100,768,2000,0,1,20,class_3
17,600,768,2000,0,1,20,class_3
17,400,2000,4000,0,1,28,class_3
17,400,4000,8000,0,1,45,class_3
17,900,1000,1000,0,2,18,class_3
17,900,512,1000,0,2,17,class_3
17,900,1000,4000,4,2,26,class_3
17,900,1000,4000,8,2,28,class_3
17,180,2000,8000,8,6,42,class_3
17,185,2000,16000,16,6,76,class_3
17,180,2000,16000,16,6,76,class_3
17,25,2000,12000,8,4,59,class_3
18,50,2000,8000,8,6,44,class_3
18,50,2000,16000,24,6,82,class_3
18,50,2000,16000,24,6,82,class_3
18,50,8000,16000,48,10,128,class_3
21,115,2000,8000,16,3,46,class_3
21,115,2000,4000,2,5,29,class_3
21,92,2000,8000,32,6,53,class_3
21,92,2000,8000,32,6,53,class_3
21,92,2000,8000,4,6,41,class_3
21,75,4000,16000,16,6,86,class_3
21,60,4000,16000,32,6,95,class_3
22,112,1000,1000,0,4,19,class_3
22,84,1000,2000,0,6,21,class_3
22,56,1000,4000,0,6,26,class_3
22,56,2000,6000,0,8,35,class_3
22,56,2000,8000,0,8,41,class_3
22,56,4000,8000,0,8,47,class_3
22,56,4000,12000,0,8,62,class_3
22,56,4000,16000,0,8,78,class_3
23,200,1000,2000,0,2,21,class_3
23,200,1000,4000,0,4,25,class_3
23,200,2000,8000,64,5,67,class_3
24,250,512,4000,0,7,24,class_3
24,250,1000,16000,1,8,64,class_3
25,160,512,4000,2,5,25,class_3
25,160,1000,4000,8,14,29,class_3
25,160,1000,8000,16,14,43,class_3
25,160,2000,8000,32,13,53,class_3
26,240,512,1000,8,3,19,class_3
26,240,512,2000,8,5,22,class_3
27,180,262,4000,0,3,24,class_3
