@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13}

@data
0,8.96,-140.32,-6.3,-6.4,83.5,27.32,27.57,class_0
1,4.93,-139.87,-2.9,-1.2,87.6,26.84,28.35,class_0
2,2,-139.95,-0.3,3.2,86.8,27.1,27.85,class_0
3,-0.01,-139.94,0.7,0.3,93.1,26.54,26.42,class_0
4,-2.02,-139.96,1.7,1.2,87.3,27.36,28.71,class_0
5,-5.01,-139.92,-0.6,3.5,83.8,28.02,28.94,class_0
6,5.15,-124.87,-4.8,2.5,90.9,27.85,28.71,class_0
7,1.95,-125.07,-7.1,1.1,79.5,27.14,27.9,class_0
8,-0.2,-124.37,-3.6,0,89.8,25.09,24.62,class_0
9,-2.03,-124.89,-5.3,-1.8,87,27.06,27.32,class_0
10,-5.02,-124.94,-7.2,-0.9,87.1,28.09,28.19,class_0
11,-7.97,-125.01,-8,0.7,79.6,28.29,28.14,class_0
12,8.05,-110.15,-3.9,-1.2,81.5,28.84,29.66,class_0
13,4.99,-109.96,-3.4,5.9,83.2,27.98,28.89,class_0
14,2.08,-110.1,-6.1,3.5,86.9,26.35,26.89,class_0
15,-1.98,-110.01,-4.9,0.8,92.2,25.96,25.63,class_0
16,-4.98,-109.98,-7.1,2.8,86.2,27.28,27.31,class_0
17,-8.05,-109.94,-4.9,-3.7,80.1,27.72,27.99,class_0
18,8.06,-94.96,-2.3,2.4,86.4,29.14,28.51,class_0
19,5.02,-94.95,-4.2,-5,88.6,27.5,28.96,class_0
20,1.99,-95,-3.2,6.8,81.8,28.12,29.29,class_0
21,0.11,-94.99,-4.9,4.8,88.3,25.67,27.63,class_0
22,-1.97,-95.03,-3.4,2.2,90.8,25.83,25.5,class_0
23,-5.01,-95.07,-6.6,4.9,77.3,27.63,27.64,class_0
24,-8.02,-95.11,-7.8,3.5,75.8,27.38,27.71,class_0
25,8,-179.91,-6.6,-2.8,91.2,27.78,28.33,class_0
26,2.02,179.8,-6,-3.2,85.4,28.09,28.41,class_0
27,0.07,-179.87,-4.4,-2.5,91.9,28.06,28.09,class_0
28,-1.99,-179.87,-2.8,-1,88.3,27.61,29.09,class_0
29,-5.02,-179.96,-4.9,-1.3,85.3,28.33,29.34,class_0
30,-7.97,-179.86,-1.8,-1.1,80.7,26.97,29.53,class_0
31,8.01,-170.06,-7.4,-5,82.6,27.96,28.22,class_0
32,4.98,-169.96,-7.9,-2.8,93.6,27.83,28.47,class_0
33,1.97,-170.02,-4.8,-3.5,94.9,27.85,28.36,class_0
34,-0.03,-170.02,-4.5,-2.6,90.4,27.72,27.7,class_0
35,-2.15,-170.02,-4.3,-2.3,87.1,28.97,29.59,class_0
36,-5.01,-169.99,-0.2,-3.4,83.3,28.56,29.54,class_0
37,-7.98,-170.03,0.3,-0.3,89.5,28.18,29.58,class_0
38,7.97,-155.01,-3,-1.2,79.8,27.64,27.88,class_0
39,4.98,-154.94,-6.2,-1.8,89.2,26.67,28.2,class_0
40,1.99,-154.96,-0.9,0.1,82.6,28.37,28.19,class_0
41,0,-154.96,0,-0.1,81.4,25.94,27.12,class_0
42,-2,-154.98,-1.9,1.6,81.5,27.37,28.97,class_0
43,-5,-154.99,3.1,1.2,83.4,28.08,29.44,class_0
44,-8.28,-154.97,2,-0.1,81.8,27.89,29.26,class_0
45,2.41,137.41,-3,0.4,84,28.86,29.85,class_0
46,4.97,147,-5.1,-0.4,80.1,29.04,29.34,class_0
47,-0.01,146.99,-2.3,-0.3,80.5,29.16,29.75,class_0
48,8.08,156.01,-6.6,-3,84.5,28.53,28.98,class_0
49,4.98,156.06,-6.3,-3.5,83.7,28.89,29.04,class_0
50,2.08,156.21,-4.5,-3.2,83,28.57,29.33,class_0
51,0.06,156.16,-3,-2.8,86.7,28.26,29.23,class_0
52,-1.98,155.94,-2.3,-2.6,78.3,28.68,29.75,class_0
53,7.98,165.06,-5.8,-3.4,84.5,28.35,28.72,class_0
54,5.03,165.02,-6.2,-3.5,84,28.5,28.68,class_0
55,0.01,165.01,-1.7,-1.9,79.6,28.85,28.61,class_0
56,-1.92,164.41,-1.6,-3.4,81.3,28.44,28.79,class_0
57,-5,165.2,0.3,-4.4,88.1,26.82,29.35,class_0
58,-8.03,164.82,-3.9,-1,93.3,27.64,28.69,class_0
0,8.95,-140.32,-5.7,-3.6,86.4,26.7,27.62,class_1
1,4.92,-139.86,0.4,-1.6,82.3,27.3,28.48,class_1
2,2,-139.96,-1.6,1.1,83.6,27.42,28.06,class_1
3,-0.02,-139.93,-1.5,-0.4,92.3,26.51,26.49,class_1
4,-2,-139.96,-1.1,-1.9,86.9,27.28,28.43,class_1
5,-5.01,-139.91,0.2,-2.5,85.4,27.13,28.85,class_1
6,5.14,-124.86,-2.2,4,86.6,28.33,28.64,class_1
7,1.96,-125.07,-3.4,1.6,79.1,26.94,27.12,class_1
8,-0.21,-124.37,-0.3,-0.6,89.4,25.39,24.82,class_1
9,-2.03,-124.89,-0.6,-2.4,89.9,26.51,27.18,class_1
10,-5.01,-124.94,-6,0.1,85.6,28.36,28.23,class_1
11,-7.97,-125.01,-6.1,1,79.6,28.25,29.34,class_1
12,8.05,-110.15,-0.4,4.2,83,27.88,29.61,class_1
13,4.98,-109.96,-3.1,5.3,79.5,28.02,28.84,class_1
14,2.08,-110.1,-5.4,3.2,87.3,26.12,26.88,class_1
15,-1.98,-110,-2.2,1.5,93,25.77,25.28,class_1
16,-4.98,-109.99,-6,3.5,81.7,27.44,27.13,class_1
17,-8.05,-109.92,-4.9,-4.9,78.4,27.56,28.02,class_1
18,8.06,-94.95,1.7,-0.3,83.7,29.24,29.23,class_1
19,5.02,-94.95,-1.6,-2,81.5,28.61,29.24,class_1
20,1.99,-95,-1.8,6.6,81.8,27.88,29.23,class_1
21,0.12,-94.99,-4,4.2,91.2,25.15,27.14,class_1
22,-1.97,-95.03,-3.6,2.2,89.6,25.99,25.7,class_1
23,-5.03,-95.07,-6.4,3.5,78.1,27.59,27.63,class_1
24,-8.01,-95.1,-7,3.6,78.1,27.03,27.67,class_1
25,7.99,-179.88,-1.3,-2,88.2,28.22,28.36,class_1
26,2.03,179.8,-6.5,-0.3,90.4,27.19,28.28,class_1
27,0.08,-179.87,-4.5,-0.1,91.6,28.06,28.26,class_1
28,-1.99,-179.86,-4.2,-2.5,87.9,28.04,28.99,class_1
29,-5.03,-179.96,-4.1,-1,89.5,28.48,29.26,class_1
30,-7.97,-179.87,-3,1.1,93.4,28.16,29.6,class_1
31,8.01,-170.06,-7.5,-5.6,82,28,28.2,class_1
32,4.97,-169.98,-7.9,-3,91.8,27.97,28.44,class_1
33,1.98,-170.02,-5.7,-3.1,96.9,28.05,28.29,class_1
34,-0.03,-170.03,-4.9,-2.7,89.6,28.15,28.25,class_1
35,-2.16,-170.02,-4.3,-1.7,94.2,27.97,29.48,class_1
36,-5.01,-169.99,-2.2,-4.3,80.9,28.84,29.49,class_1
37,-7.98,-170.03,-1.3,1.1,94.2,28.34,29.51,class_1
38,7.97,-155,-2.4,-2.8,85,28.97,27.88,class_1
39,4.97,-154.94,-7,-2.2,91.8,26.71,28.18,class_1
40,1.98,-154.95,-3.5,-1.8,88.1,27.99,28.27,class_1
41,-0.01,-154.96,-1.8,-1.8,84.5,26.74,27.48,class_1
42,-2,-154.98,-1.3,-0.7,83.3,28.17,29.07,class_1
43,-4.99,-154.99,-2.7,0.4,86.4,27.97,29.23,class_1
44,-8.27,-154.97,-1.1,-1.2,82.1,28.24,29.1,class_1
45,2.42,137.41,-4.5,0,82,28.86,29.48,class_1
46,4.97,147,-4.2,-2.9,83.4,28.8,29.35,class_1
47,0.01,146.99,-3,-2.6,82.8,29.05,29.55,class_1
48,8.08,156.02,-5.5,-4.1,83.7,28.41,28.98,class_1
49,4.98,156.07,-5.4,-3.4,79.6,28.97,28.9,class_1
50,2.08,156.21,-5.2,-3.5,81.8,28.76,29.04,class_1
51,0.06,156.17,-4.4,-1.9,87.8,27.94,29.34,class_1
52,-1.99,155.94,-3,-0.2,78.3,28.4,29.95,class_1
53,7.98,165.07,-5.8,-4.3,83.7,28.44,28.71,class_1
54,5.02,165.03,-6.1,-3.9,84.4,28.44,28.65,class_1
55,0,165.02,-3.5,0.3,93.4,28.47,28.8,class_1
56,-1.92,164.41,-2,-0.9,79.2,28.52,28.82,class_1
57,-5,165.21,-0.4,-1.2,85,27.5,29.53,class_1
58,-8.03,164.81,-7.2,-1.9,91.8,28.48,28.94,class_1
0,8.96,-140.32,-6.2,-5.8,83,27.36,27.68,class_2
1,4.92,-139.87,-4,-4.6,83,28,28.61,class_2
2,1.99,-139.97,-3.9,-2.5,87.5,27.3,28.01,class_2
3,-0.01,-139.94,-3.4,-1.4,92.3,26.53,26.42,class_2
4,-2.01,-139.97,-3.7,-2.7,84.8,27.43,28.47,class_2
5,-5.01,-139.92,-3.9,-3.4,79.8,28.38,29.03,class_2
6,5.14,-124.87,-1.6,0.5,88.5,27.37,28.66,class_2
7,1.94,-125.07,-3.5,0.8,84.9,26.62,27.03,class_2
8,-0.22,-124.36,-1,-0.9,89.4,25.75,25.59,class_2
9,-2.04,-124.88,-0.3,-3.2,91.2,26.12,26.87,class_2
10,-5.02,-124.94,-6.7,-0.2,83,28.32,28.32,class_2
11,-7.97,-125.02,-6.2,1.8,76.6,28.05,28.96,class_2
12,8.04,-110.15,4.8,2.5,84.8,28.63,29.6,class_2
13,4.98,-109.96,1.4,5.8,81.6,27.7,28.75,class_2
14,2.08,-110.1,-1.2,3.7,89.8,25.53,26.3,class_2
15,-1.98,-110,-2.8,2.8,91.8,25.05,24.85,class_2
16,-4.97,-109.99,-4.3,4.7,80.5,27.36,27.19,class_2
17,-8.05,-109.93,-4.2,-2.8,77.3,27.44,28.1,class_2
18,8.05,-94.96,0.9,1,87.1,28.53,29.58,class_2
19,5.02,-94.95,-3,-1.3,88.2,28.16,29.42,class_2
20,1.99,-95,0.1,6.7,82.6,27.73,29.18,class_2
21,0.12,-94.98,-1.9,4.2,87.9,25.03,26.56,class_2
22,-1.97,-95.03,-1.7,0.7,88.4,25.71,25.61,class_2
23,-5.02,-95.07,-4.1,2.9,78.9,27.4,27.24,class_2
24,-8.01,-95.1,-6.1,3.9,83.4,26.01,27.65,class_2
25,8,-179.91,-2.4,-3.1,84.5,28.02,28.37,class_2
26,2.03,179.8,-5.6,-1.9,86.6,28.06,28.44,class_2
27,0.08,-179.87,-4.7,-1.7,92.6,28.06,28.56,class_2
28,-1.99,-179.86,-3.1,-2.9,87.1,28.39,29.32,class_2
29,-5.03,-179.95,-2.9,1.5,84,28.61,29.45,class_2
30,-7.97,-179.87,-6.5,-0.2,83.3,28.26,29.4,class_2
31,8.01,-170.06,-7.3,-5.7,84.7,27.93,28.19,class_2
32,4.97,-169.97,-8.9,-1.8,84.1,27.47,28.39,class_2
33,1.98,-170.01,-6.1,-0.4,95.7,27.97,28.22,class_2
34,-0.03,-170.02,-5,-1.9,88.3,28.23,28.38,class_2
35,-2.15,-170.02,-4.1,-2.1,91.1,28.65,29.51,class_2
36,-5.01,-169.99,-2.4,-2,79.7,29.11,29.9,class_2
37,-7.98,-170.03,-6.1,1.8,82.5,28.06,29.45,class_2
38,7.97,-155.01,-2.6,-2.8,75.9,28.18,27.88,class_2
39,4.98,-154.93,-6.9,-4.1,90.9,27.39,28.2,class_2
40,1.99,-154.97,-4.5,-1.4,85.9,28.45,28.11,class_2
41,0,-154.95,-3.6,-2.8,88.2,26.98,27.6,class_2
42,-1.99,-154.99,-2.2,-3.8,86.4,27.57,29.09,class_2
43,-4.99,-154.99,-4.4,-0.9,85.1,28.6,29.49,class_2
44,-8.28,-154.97,-2.8,-1.3,80.3,28.99,29.36,class_2
45,2.41,137.41,-3.9,1,82.8,29.18,29.54,class_2
46,4.97,146.99,-6.1,-3.2,80.9,29.12,29.29,class_2
47,0,146.99,-6,-0.4,87.5,28.48,29.52,class_2
48,8.09,156.02,-6.8,-3.4,81.8,28.41,28.92,class_2
49,4.98,156.07,-6.2,-2.7,82.5,28.78,28.98,class_2
50,2.08,156.2,-5.4,-2.2,84.6,27.93,29.05,class_2
51,0.06,156.16,-3.5,-1.2,86.7,27.98,29.48,class_2
52,-1.99,155.94,-3.6,0.1,76.7,28.96,30.1,class_2
53,7.99,165.06,-7,-2.4,87.7,28.18,28.7,class_2
54,5.02,165.03,-6.2,-0.2,89.3,27.65,28.63,class_2
55,0,165.01,-3.8,-0.2,89.5,28.26,30.1,class_2
56,-1.92,164.42,-3.3,-0.3,78,28.67,27.41,class_2
57,-4.99,165.21,-1.3,-0.7,75.9,28.72,29.7,class_2
58,-8.03,164.82,-1.3,-3.1,91.2,28.61,29.07,class_2
0,8.96,-140.34,-6.4,-5.3,82.2,27.32,27.7,class_3
1,4.92,-139.88,-6.3,-3.2,87.6,27.61,28.55,class_3
2,1.98,-139.96,-4.7,1.4,88.3,26.98,27.95,class_3
3,-0.02,-139.94,-4.3,1.3,92.3,26.18,26.02,class_3
4,-2.01,-139.97,-4.4,-3,81.9,27.75,28.83,class_3
5,-5.01,-139.92,-4.2,-2.5,79.4,28.18,28.98,class_3
6,5.15,-124.87,-3,1.8,89.3,27.53,28.68,class_3
7,1.95,-125.07,-5.8,1.5,84.9,25.89,26.18,class_3
8,-0.21,-124.39,-4.2,1,85.6,25.54,25.21,class_3
9,-2.02,-124.89,-4,-1,89.5,26.43,26.82,class_3
10,-5.01,-124.94,-6,1.4,79.6,28.17,28.26,class_3
11,-7.97,-125.02,-5.1,1,71.5,27.81,28.79,class_3
12,8.04,-110.16,2.3,-1.6,85.1,27.87,29.58,class_3
13,4.97,-109.96,3.1,3.5,80.7,27.51,28.6,class_3
14,2.08,-110.1,0.4,2.6,88.2,25.45,26.09,class_3
15,-1.98,-110.01,-0.9,0.7,91.4,25.09,25.01,class_3
16,-4.98,-109.99,-1.9,1.8,79.7,26.77,27.41,class_3
17,-8.05,-109.93,-3,-2.5,79.8,27.08,28.15,class_3
18,8.05,-94.95,7,1.3,84.4,29.18,29.13,class_3
19,5.03,-94.95,-4.4,-5,88.8,28.72,28.85,class_3
20,1.99,-95.01,3,5.8,83,27.65,29.08,class_3
21,0.1,-94.98,1.2,3.5,89,24.83,26.45,class_3
22,-1.98,-95.03,1,-0.2,89.6,25.24,25.42,class_3
23,-5.01,-95.07,-1.7,1.8,81.3,26.68,27.25,class_3
24,-8.01,-95.1,-3.1,4.7,76.5,26.56,27.67,class_3
25,8,-179.91,-4,-2.9,81.3,27.94,28.39,class_3
27,0.08,-179.87,-4.8,-2.1,90.6,28.37,28.71,class_3
28,-1.98,-179.85,-3,0.9,84.6,28.59,29.34,class_3
29,-5.03,-179.97,-2.8,-1.9,82.5,28.4,29.44,class_3
30,-7.97,-179.87,-5.6,2.1,89.3,28.33,29.35,class_3
31,8.01,-170.06,-7.4,-4.8,84,27.96,28.25,class_3
32,4.98,-169.97,-7.8,-2,89.5,27.21,28.33,class_3
33,1.98,-170.01,-4.9,-0.6,98.6,27.78,28.2,class_3
34,-0.03,-170.03,-5.6,-1.8,87.9,28.15,28.17,class_3
35,-2.15,-170.02,-4.2,-2.5,90.7,28.81,29.6,class_3
36,-5.01,-169.99,-2.4,-3.4,82.5,29.07,29.82,class_3
37,-7.98,-170.03,0.3,-1.7,79.8,28.02,29.33,class_3
38,7.98,-155,-4.4,-3.9,94.2,28.35,27.9,class_3
39,4.98,-154.94,-6.9,-2.9,91.4,27.67,28.22,class_3
40,1.99,-154.96,-4.8,-0.5,85.5,28.13,27.88,class_3
41,0,-154.96,-4.3,-1.9,88.8,26.94,27.58,class_3
42,-2,-154.98,-4,-4.8,78.4,28.69,29.42,class_3
43,-5,-154.99,-4.5,-2.7,88.5,27.85,29.37,class_3
44,-8.28,-154.97,-4.7,-0.5,81.4,29.07,29.45,class_3
45,2.41,137.41,-3.8,-0.6,82.4,29.18,29.65,class_3
46,4.97,147,-4.2,-2.3,82.6,28.8,29.38,class_3
47,0,146.99,-3.2,-1.8,86.7,28.44,29.34,class_3
48,8.08,156.02,-5.1,-2.6,88,27.81,28.91,class_3
49,4.99,156.06,-4.2,-1.3,85.7,28.07,29.05,class_3
50,2.08,156.21,-4.3,0.3,83.8,28.05,28.87,class_3
51,0.06,156.16,-3.5,-0.8,86.3,28.22,29.5,class_3
52,-1.99,155.93,-3.6,-0.1,76.3,29.08,30.15,class_3
53,7.98,165.07,-7.2,-3.9,87.7,28.42,28.74,class_3
54,5.02,165.02,-6.6,-1.8,88.5,28.12,28.77,class_3
55,0,165.01,-4.3,-1.5,84.5,28.43,28.78,class_3
56,-1.92,164.42,-3.6,-2.3,82.5,28.48,29.24,class_3
57,-5,165.21,-2.4,-0.2,79.8,28.67,29.84,class_3
58,-8.03,164.82,-2.4,-4.2,93.6,28.47,28.9,class_3
0,8.96,-140.33,-4.9,-6.2,87.3,27.09,27.85,class_4
1,4.93,-139.87,-4.1,3.3,84.6,27.69,28.35,class_4
2,1.99,-139.97,-5.3,2.5,82.5,27.14,27.99,class_4
3,-0.02,-139.94,-3.7,0.4,92.3,25.79,25.77,class_4
4,-2.02,-139.97,-3.9,-1.4,83.6,27.91,28.92,class_4
5,-5.01,-139.92,-3,0.3,82.6,27.87,29.04,class_4
6,5.14,-124.87,-4.6,3.3,83.1,27.81,28.61,class_4
7,1.96,-125.07,-4.9,2.2,84.1,25.29,25.82,class_4
8,-0.2,-124.39,-3.6,1.2,85.2,25.13,24.71,class_4
9,-2.03,-124.89,-4.6,-1.3,86.2,26.67,27.19,class_4
10,-5.01,-124.94,-5.3,0.6,84.5,27.51,28.41,class_4
11,-7.97,-125.02,-6.2,0.4,76.2,27.97,28.9,class_4
12,8.04,-110.16,0.5,-2.4,82.9,29.27,29.91,class_4
13,4.98,-109.96,-0.1,4.9,81.1,27.51,28.67,class_4
14,2.08,-110.11,-1.9,2.9,87.7,24.91,25.83,class_4
15,-1.98,-110.01,-3.1,2.2,89.1,25.21,25.42,class_4
16,-4.98,-109.99,-4.5,1.4,79.7,26.93,27.46,class_4
17,-8.05,-109.93,-3.4,-2.5,83.2,26.72,28.09,class_4
18,8.05,-94.96,3.3,2.8,83.7,29.32,28.68,class_4
19,5.03,-94.95,-3,-3.5,81.1,28.91,29.06,class_4
20,1.97,-95.01,0.5,4.5,81.3,27.65,29.14,class_4
21,0.1,-94.98,-2.8,3,89.4,24.51,26.71,class_4
22,-1.97,-95.03,-2.9,0.2,88.8,25,25.54,class_4
23,-5.02,-95.07,-3.5,1.4,82.1,26.64,27.26,class_4
24,-8.01,-95.1,-4.6,2,78.1,26.6,27.69,class_4
25,8,-179.91,-3.9,-0.7,80.2,27.21,28.39,class_4
27,0.08,-179.87,-4.2,0.5,89.2,28.49,28.92,class_4
28,-1.98,-179.85,-2.6,-2.2,86.2,28.35,29.58,class_4
29,-5.02,-179.96,-6.6,-2,83.8,28.67,29.35,class_4
30,-7.97,-179.86,-4.6,2.1,75.9,28.44,29.33,class_4
31,8.01,-170.06,-6.1,-5.7,82.3,27.93,28.26,class_4
32,4.98,-169.98,-7.6,-3.2,88.1,27.72,28.34,class_4
33,1.97,-170.01,-4.7,-0.3,99,27.85,28.19,class_4
34,-0.03,-170.02,-4.8,-0.5,88.7,28.07,28.1,class_4
35,-2.15,-170.02,-3.2,-1.1,89.9,28.69,29.6,class_4
36,-5.01,-169.98,-3.8,-3.5,83.3,28.95,29.66,class_4
37,-7.98,-170.03,-6.1,-1.3,84.4,28.68,30.05,class_4
38,7.97,-155,-4.2,-0.6,93.6,28.56,27.93,class_4
39,4.98,-154.93,-6.8,-1.9,91.4,27.47,28.19,class_4
40,1.99,-154.96,-5.2,1.9,83.8,28.55,27.92,class_4
41,0,-154.96,-5.3,-0.9,84.1,27.15,27.69,class_4
42,-2,-154.99,-5.9,-2.5,77.6,29.01,29.53,class_4
43,-5,-154.99,-5.4,-2,82.6,28.56,29.36,class_4
44,-8.28,-154.97,-5.4,-0.8,82.1,29.03,29.44,class_4
45,2.42,137.41,-2.2,-1.4,78.8,29.25,29.98,class_4
46,4.97,147,-4.7,-0.5,85.1,27.99,29.35,class_4
47,0,146.99,-0.6,3.3,88.2,27,29.31,class_4
48,8.08,156.02,-6.8,-3.2,87.3,27.81,28.85,class_4
49,4.99,156.06,-4.2,-3.3,86.1,27.99,29.15,class_4
50,2.08,156.21,-3,-2,83,28.37,29.06,class_4
51,0.06,156.16,-3,-2.2,83.9,28.42,29.52,class_4
52,-1.99,155.94,-2.2,-2,78.8,28.84,29.98,class_4
53,7.99,165.06,-5.8,-4.5,81.4,28.5,28.7,class_4
54,5.02,165.02,-5.6,-4.4,86.5,28.13,28.62,class_4
55,0,165.01,-2.9,-1.9,89.5,28.09,28.66,class_4
56,-1.93,164.41,-2.3,-2.9,79.6,28.55,28.98,class_4
57,-4.99,165.21,-0.3,-2,80.7,28.28,29.68,class_4
58,-8.03,164.82,-7.2,-2.5,88.8,28.47,29.22,class_4
