@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
7,420,1.5,7.8,50,143,30,66.3,4.5,381,7.9,21,57,70.2,5.5,380,7.9,54,120,32,72.3,0.3,371,7.3,15,57,14,81,375,44.8,58.8,95.5,76,70,90,79.4,87.3,99.6,class_0
462,282,1.5,8,149,212,35,64.8,4,381,7.9,146,61,57.6,4.5,372,7.8,23,199,29,68.2,0.2,389,7.6,15,81,15,65.9,382,46.4,62.7,95.6,82.5,71,92.1,78.2,87.5,99.5,class_0
57,333,2,7.8,83,218,47,69,5,350,7.8,113,67,66.1,6.5,362,7.8,112,225,37,78,0.6,341,7.6,15,116,20,87,286,21.2,59.7,90.8,88.4,66.1,89,69,86.5,99.6,class_0
161,368,3.5,7.6,57,84,41,57.4,2.5,144,7.6,68,9,63.6,2,153,7.6,58,89,29,81.8,0.2,227,7.5,15,67,34,82.9,260,32.7,33.3,90,82.6,61.3,87,71.4,78.2,99.2,class_0
249,297,1.2,7.6,129,172,58,61.3,5.5,282,7.7,161,63,70,5,297,7.6,119,178,38,84.3,0.4,300,7.5,35,125,42,84.2,336,35.3,57.5,92,75.6,49.3,80.8,60.8,76.1,99.6,class_0
55,305,1,7.9,63,231,50,70.9,5.5,208,7.9,73,52,71.6,6,228,7.8,121,203,43,81.5,0.2,273,7.5,30,99,33,84.2,165,68,50.5,96.7,80.6,66.5,86.5,75.7,80.6,99.6,class_0
159,287,2,7.8,107,103,34,67.8,4,154,7.8,58,24,76.5,3,152,7.7,76,110,37,74,0.8,160,7.6,20,44,17,91.7,248,16.4,38.3,73.3,81.1,73.7,87.8,79.9,86.2,99.5,class_0
177,382,1.2,8.2,105,151,40,72,0.4,152,8,115,47,71.2,4.5,159,7.9,106,176,48,72.9,1,231,7.6,19,44,26,78.7,163,25.2,43.3,77.8,85.4,79.2,88.1,83.1,82.3,94.3,class_0
229,315,1,7.8,104,156,32,74.1,4,201,7.7,130,111,71.9,4.5,153,7.7,129,185,48,78,0.5,173,7.5,20,61,22,87.4,218,17.3,66.9,90,87.2,75,87.6,79.2,82.9,99.5,class_0
318,366,1.2,7.6,66,164,45,68.4,4.5,207,7.7,34,75,69.7,7,230,7.7,37,213,49,73.3,0.6,251,7.6,16,75,16,84.1,169,41.4,54.5,91.4,87.5,75,90.9,76.6,88.3,99.6,class_0
335,421,1,8.1,63,223,29,75.6,3.5,258,8.1,72,59,74.1,5.5,260,7.9,54,163,32,93.6,0.6,199,7.6,16,86,30,95.5,197,37.1,59.5,90,84.4,65.3,85.7,78.1,77.4,99.4,class_0
473,22,1.2,7.6,110,189,40,74.2,4.5,113,7.5,129,31,81.8,4,109,7.5,88,152,32,87.2,0.2,151,7.4,17,94,18,84,199,38.2,46.6,95,84.9,61.1,89.4,73.8,86.6,99.6,class_0
491,261,2,7.8,90,266,60,70.8,8,257,7.9,59,77,65.7,8,244,7.8,107,101,37,80,0.4,217,7.5,32,79,27,86.7,114,25.2,62.7,95.6,75.9,59.1,91.7,82.7,85,99.8,class_0
509,314,3.5,7.8,131,229,41,72.3,5,254,7.9,74,69,77.8,4.5,232,7.8,77,138,25,90.2,0.2,242,7.5,25,102,32,83.7,244,38.5,67.5,95.6,77.3,54.5,86.9,74,79.3,99.6,class_0
242,465,2,7.9,67,150,23,73.7,4.5,286,7.9,112,25,67.1,4.5,338,7.8,96,159,21,76.3,0.4,288,7.4,25,72,19,84.6,238,29,53.7,91.1,80.3,69.2,81.4,76.3,82.9,99.6,class_0
45,440,2,8,38,79,112,35.9,5,64,7.7,180,150,32.8,13,63,7.9,34,55,52,53.2,0.6,67,7.9,24,99,7,74.3,32,71.7,84.6,95.4,66.7,37.3,77.6,60.5,96.1,99.6,class_0
61,407,1.4,7.9,164,85,131,27.4,7.5,351,7.9,145,145,30,12.5,348,7.9,82,57,49,48.3,0.6,348,7.8,20,43,4,61.8,343,45,82.4,95.2,82,66,90.9,78.8,98,99.7,class_0
114,385,1.5,7.7,109,134,55,52.8,3,138,7.8,148,102,47.6,5,151,7.7,58,90,49,56.7,0.3,146,7.8,19,78,25,71.3,142,55.5,63.4,94,78.9,57,88.4,73.5,85.2,99.3,class_0
166,283,1,7.6,113,157,71,80.6,5.5,396,7.7,192,121,56.4,7,384,7.7,91,120,62,65.8,0.6,361,7.7,29,65,16,73,346,56.4,63.9,92.1,76.8,67.1,83.7,78.4,90.7,99.6,class_0
184,213,1,7.5,186,188,54,63.6,5.5,150,7.6,206,119,50.5,7.5,166,7.7,92,103,37,70,0.4,184,7.7,14,77,4,87.3,167,60.7,74.2,94.7,87.4,60.2,94.4,77.6,94.9,99.6,class_0
236,181,8,7.9,103,162,95,57.3,7,193,7.9,163,129,50.5,11.5,161,7.9,87,133,43,68.5,0.3,184,7.8,11,33,5,91.7,205,48.7,75.2,97.8,89.1,79.6,92.2,86.1,96,99.7,class_0
502,321,1.5,8.1,150,60,37,54.4,2.5,288,8,175,101,65.4,3.5,292,7.9,114,106,34,60.4,0.2,236,7.8,22,55,29,74.1,167,43,70.4,94.3,84.3,69.1,89.3,72.6,80,99.2,class_0
26,406,0.8,7.7,125,173,29,61,5.5,93,7.7,156,71,53.1,5,108,7.9,90,125,28,69.8,0.2,155,7.7,15,48,25,77.1,185,45.3,66.4,96,86.5,73.7,91.2,83.2,80.5,99.6,class_0
9,357,2,7.9,111,133,36,71.9,3.5,44,7.8,95,21,71.8,3.5,53,7.7,76,121,38,72.5,0.7,46,7.6,13,48,12,89.5,77,33.2,34.6,80,86.6,73.3,91.5,81,89.3,99.4,class_0
199,493,5,7.8,14,30,65,38.1,4,95,8,11,67,33.9,3.5,119,8,28,45,16,57.1,0,16,7.7,6,52,9,78.1,11,19.6,71.8,100,87.2,58.4,88.5,67.2,93.2,99.5,class_0
388,494,1.5,8.1,44,89,106,37,6,120,8,67,75,37.9,5.5,155,7.9,75,154,24,75,0.7,129,7.7,9,41,6,69.2,108,21.7,69.7,88.2,89.7,78.5,90.2,79.8,96.1,99.7,class_0
517,183,3,7.8,120,280,108,41.7,5,133,7.8,141,128,42.1,7.5,130,7.8,85,144,41,47.2,0.4,143,7.6,17,67,11,66.7,148,42.9,75.2,94.7,84.6,69.3,90,87,94.9,99.6,class_0
