@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9}

@data
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9623,1,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,2,1.791,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9056,1,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,5,1.868,class_0
0,690,690,14,2,4,0,1.2623,0.1024,0.7713,0.9623,1,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,14,0.467,class_0
1,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.6818,1,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,6,885.438,class_0
1,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,0.1057,1,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,10,10.842,class_0
2,1250,2500,28,2,0,0,1.5124,0.3503,0.8869,0.8489,1,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,11,162.981,class_0
3,7480,18700,20,2,0,0,1.032,0.2178,0.55,0.6818,1,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,2,4.295,class_0
3,7480,18700,20,2,0,0,1.032,0.2178,0.55,0.6818,1,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,13,7.636,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,0,76.475,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,1,86.162,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,2,467.007,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,3,122.36,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,4,40.787,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,5,46.395,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,6,467.007,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,7,81.573,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,8,467.007,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,9,47.924,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,10,33.649,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,11,446.613,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,12,3.569,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,13,11.726,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,14,312.527,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,15,45.375,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,16,19.883,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,17,45.885,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,18,18.864,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,19,23.962,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,20,46.905,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,21,0,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,22,22.942,class_0
4,20000,40000,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0.1505,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,23,22.433,class_0
5,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,0.8189,1,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,6,9.523,class_0
5,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,0.8189,1,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,7,0.762,class_0
5,2670,8900,16,2,8,0,1.0273,0.0825,0.7618,0.8489,1,1.2082,4.4046,1,1.77,0.641,1.56006,1.76131,17,20.951,class_0
7,768,768,8,2,0,0,1.0377,0.1439,0.5507,0.8189,1,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,5,3.129,class_0
7,768,768,8,2,0,0,1.0377,0.1439,0.5507,0.9056,1,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,6,2.13,class_0
7,768,768,8,2,0,0,1.0377,0.1439,0.5507,0.9332,1,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,17,3.329,class_0
7,768,768,8,2,0,0,1.0377,0.1439,0.5507,0.8189,1,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,18,3.262,class_0
7,768,768,8,2,0,0,1.0377,0.1439,0.5507,0.9332,1,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,21,2.596,class_0
10,1000,1000,24,2,9,1,1.0369,0.0848,0.5044,0.6818,1,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,3,5.138,class_0
10,1000,1000,24,2,9,1,1.0369,0.0848,0.5044,0.8489,1,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,10,9.817,class_0
10,1000,1000,24,2,9,1,1.0369,0.0848,0.5044,0.6968,1,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,15,6.911,class_0
10,1000,1000,24,2,9,1,1.0369,0.0848,0.5044,0.8189,1,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,18,13.089,class_0
10,1000,1000,24,2,9,1,1.0369,0.0848,0.5044,0.9332,1,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,23,2.018,class_0
12,270,270,13,2,5,1,1.0612,0.1236,0.7384,0.8189,1,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,4,2.209,class_0
12,270,270,13,2,5,1,1.0612,0.1236,0.7384,0.8189,1,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,15,3.721,class_0
20,1499,4999,14,2,0,0,1.1316,0.3676,0.7792,0.8489,1,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,4,0.208,class_0
