@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18}

@data
0,1,1,0,59,39,class_0
0,0,0,0,64,45,class_0
0,0,0,0,63,22,class_0
0,1,1,0,64,42,class_0
0,0,1,0,64,40,class_0
0,1,0,0,63,45,class_0
0,1,1,1,64,13,class_0
0,0,0,1,64,39,class_0
0,0,1,0,59,35,class_0
0,1,1,0,56,36,class_0
0,0,0,0,58,39,class_0
0,0,0,0,65,46,class_0
0,0,0,1,46,24,class_0
0,0,1,0,64,46,class_0
1,1,0,0,63,29,class_0
0,0,1,0,38,20,class_0
0,1,0,0,62,43,class_0
0,0,1,0,62,38,class_0
1,1,1,0,50,28,class_0
0,0,0,1,63,41,class_0
0,1,0,0,53,33,class_0
0,1,1,1,62,39,class_0
0,0,0,0,61,43,class_0
1,1,1,0,58,37,class_0
1,0,0,0,64,39,class_0
0,0,0,1,65,30,class_0
1,1,1,0,49,23,class_0
1,0,0,0,49,27,class_0
0,0,1,0,56,36,class_0
0,1,1,0,64,42,class_0
0,0,0,0,64,44,class_0
1,0,0,0,43,21,class_0
1,1,1,0,49,27,class_0
0,1,0,0,58,38,class_0
0,0,0,0,58,38,class_0
0,0,0,0,59,34,class_0
0,0,0,1,63,43,class_0
0,1,1,0,49,31,class_0
0,1,1,1,52,31,class_0
0,0,0,0,61,42,class_1
0,1,1,0,37,19,class_1
1,0,0,0,51,23,class_1
0,0,0,1,59,41,class_1
0,0,1,1,60,39,class_1
0,0,1,0,59,36,class_2
1,1,1,0,60,38,class_2
0,0,0,0,63,22,class_2
0,0,0,0,63,20,class_2
0,1,0,1,51,24,class_2
0,0,1,0,55,39,class_2
0,1,1,0,46,24,class_2
1,0,0,1,55,24,class_2
0,1,0,0,61,28,class_2
0,0,0,0,53,19,class_2
0,1,1,0,64,44,class_2
1,0,1,0,58,34,class_2
0,1,1,0,62,40,class_2
0,0,0,0,57,35,class_2
0,0,0,0,57,24,class_2
0,1,1,0,60,38,class_2
0,0,1,1,60,25,class_2
1,1,1,0,44,22,class_2
1,0,0,0,49,25,class_2
1,0,1,0,49,25,class_2
0,1,1,0,41,22,class_2
0,0,0,0,59,37,class_2
0,1,1,1,59,40,class_2
1,1,1,0,46,24,class_2
0,0,0,0,64,36,class_2
0,1,0,1,43,19,class_2
0,0,0,1,42,17,class_2
1,0,1,0,60,36,class_3
1,1,1,0,47,25,class_3
0,1,0,0,56,36,class_3
1,1,0,0,64,40,class_3
0,1,1,0,66,50,class_3
0,1,0,1,56,26,class_3
0,0,1,0,56,22,class_3
0,1,1,0,57,39,class_3
0,0,0,0,56,39,class_3
0,0,0,1,64,39,class_3
0,0,1,0,66,38,class_3
0,0,0,1,40,13,class_3
0,1,0,0,58,35,class_3
0,0,1,0,52,28,class_3
0,0,0,0,43,25,class_3
1,0,0,0,60,0,class_4
0,0,1,0,63,0,class_4
1,1,1,0,61,0,class_4
1,0,0,0,61,0,class_4
1,0,0,1,47,0,class_4
1,0,1,0,46,0,class_4
1,0,0,1,64,0,class_4
0,0,0,1,67,0,class_4
1,0,1,1,62,0,class_4
1,0,0,1,63,0,class_4
0,0,0,1,60,0,class_4
1,0,1,0,50,0,class_4
0,0,1,1,63,0,class_4
1,0,1,0,49,0,class_4
0,0,0,1,62,0,class_4
1,0,1,0,45,0,class_4
0,0,0,0,66,0,class_4
0,1,1,0,63,41,class_5
1,0,1,0,62,20,class_5
0,0,0,0,55,18,class_5
0,0,0,1,51,17,class_5
1,0,1,0,53,9,class_5
0,1,0,1,65,45,class_5
0,0,0,1,53,29,class_5
0,0,0,0,65,34,class_5
0,0,0,1,63,42,class_5
0,1,1,0,56,33,class_5
0,0,1,0,64,40,class_5
0,0,0,0,58,22,class_5
0,1,1,0,66,47,class_5
0,0,1,0,49,15,class_5
0,0,1,0,49,28,class_5
0,0,0,0,55,41,class_6
0,1,0,1,58,42,class_6
0,0,0,0,62,44,class_6
0,1,1,1,65,43,class_6
0,0,0,1,62,14,class_6
0,0,0,0,56,32,class_6
1,0,0,0,65,7,class_7
0,0,0,0,37,16,class_7
0,0,0,0,64,41,class_8
1,1,1,0,54,33,class_8
0,0,0,0,65,44,class_8
0,0,0,1,51,5,class_9
1,0,1,0,46,24,class_9
0,0,0,0,58,15,class_10
0,0,1,0,47,28,class_10
0,1,0,0,56,35,class_10
0,1,1,1,63,41,class_10
0,0,0,1,66,42,class_11
0,0,0,0,62,28,class_11
0,0,0,1,60,34,class_12
0,0,0,1,59,7,class_12
0,1,0,0,64,32,class_13
0,0,0,1,65,47,class_14
0,0,1,0,57,24,class_15
0,0,1,1,42,21,class_15
0,0,0,1,56,19,class_16
1,0,1,1,46,16,class_16
0,1,1,1,64,47,class_17
0,0,1,1,52,30,class_18
