@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12}

@data
152,3,class_0
156,3,class_0
147,3,class_0
145,3,class_0
129,3,class_0
131,3,class_0
137,3,class_0
138,3,class_0
139,3,class_1
141,3,class_1
142,3,class_1
128,3,class_1
142,3,class_1
155,3,class_1
150,3,class_1
146,3,class_1
150,3,class_1
146,3,class_1
151,3,class_1
145,3,class_1
146,3,class_1
146,3,class_1
139,3,class_1
135,3,class_1
147,3,class_1
144,3,class_1
140,3,class_1
153,3,class_1
141,3,class_2
145,3,class_2
149,3,class_2
140,3,class_2
146,3,class_2
135,3,class_2
118,3,class_2
120,3,class_2
135,3,class_2
139,3,class_2
125,3,class_2
127,3,class_2
131,3,class_2
132,3,class_2
145,3,class_2
154,3,class_2
145,3,class_2
146,3,class_2
140,3,class_2
134,3,class_2
128,3,class_2
127,3,class_2
140,3,class_2
143,3,class_2
138,3,class_2
124,3,class_2
123,3,class_2
131,3,class_2
151,3,class_2
136,3,class_2
127,1,class_2
129,1,class_2
124,1,class_2
128,1,class_2
130,1,class_2
121,1,class_2
128,1,class_2
128,0,class_2
131,2,class_2
124,2,class_2
130,2,class_2
130,2,class_2
138,2,class_2
135,2,class_2
134,2,class_2
140,2,class_2
139,2,class_2
130,2,class_2
127,2,class_2
129,2,class_2
147,2,class_2
137,2,class_2
129,2,class_2
141,2,class_2
135,2,class_2
135,2,class_2
141,2,class_2
147,2,class_2
137,2,class_2
138,2,class_2
144,2,class_2
140,2,class_2
135,2,class_2
148,2,class_2
154,0,class_2
136,0,class_2
130,0,class_2
132,0,class_2
131,0,class_2
136,0,class_2
163,3,class_2
166,3,class_2
170,3,class_2
166,3,class_2
162,3,class_2
145,3,class_2
140,3,class_2
152,3,class_2
125,3,class_2
141,3,class_2
163,3,class_2
143,1,class_2
141,1,class_2
153,1,class_2
142,1,class_2
142,1,class_2
146,3,class_3
138,3,class_3
129,3,class_3
130,3,class_3
128,3,class_3
126,1,class_3
141,1,class_3
130,1,class_3
124,1,class_3
122,0,class_3
130,0,class_3
130,0,class_3
135,0,class_3
125,0,class_3
123,0,class_3
127,0,class_3
125,0,class_3
132,3,class_3
140,3,class_3
144,3,class_3
162,3,class_3
143,3,class_3
158,3,class_3
157,3,class_3
155,3,class_3
147,1,class_3
140,1,class_3
128,2,class_3
131,0,class_3
139,0,class_3
131,0,class_3
136,0,class_3
133,0,class_3
134,0,class_3
136,0,class_3
134,0,class_3
131,0,class_3
132,0,class_3
124,0,class_3
129,0,class_3
130,0,class_3
133,0,class_3
132,0,class_3
155,3,class_3
139,3,class_3
127,3,class_3
125,3,class_3
118,3,class_3
141,3,class_3
158,3,class_3
163,3,class_3
166,3,class_3
166,3,class_3
166,3,class_3
153,3,class_3
157,3,class_3
155,3,class_3
163,3,class_3
128,3,class_3
129,3,class_3
130,3,class_3
131,3,class_3
152,3,class_3
169,3,class_3
160,3,class_3
162,3,class_3
168,3,class_3
182,3,class_3
160,3,class_3
159,3,class_3
162,2,class_3
171,2,class_3
163,2,class_3
166,2,class_3
156,2,class_3
171,2,class_3
165,2,class_3
140,2,class_3
165,1,class_3
161,1,class_3
159,1,class_3
156,1,class_3
131,1,class_3
153,1,class_3
152,1,class_3
156,1,class_3
149,1,class_3
148,1,class_3
172,1,class_3
176,1,class_3
181,2,class_3
140,2,class_3
133,2,class_3
144,2,class_3
154,2,class_3
131,2,class_3
148,2,class_3
159,2,class_3
165,2,class_3
157,2,class_3
171,2,class_3
164,2,class_3
172,3,class_3
143,1,class_3
149,1,class_3
140,0,class_3
154,0,class_3
138,0,class_3
144,0,class_3
147,0,class_3
143,0,class_3
138,0,class_3
140,0,class_3
141,0,class_3
144,0,class_3
148,0,class_3
158,0,class_3
161,0,class_3
125,0,class_3
138,0,class_3
114,0,class_3
126,0,class_3
134,0,class_3
125,0,class_4
129,0,class_4
128,0,class_4
130,0,class_4
133,3,class_4
133,3,class_4
130,3,class_4
130,0,class_4
124,0,class_4
125,0,class_4
127,0,class_4
127,0,class_4
130,0,class_4
163,3,class_4
165,3,class_4
166,3,class_4
161,3,class_4
134,3,class_4
133,3,class_4
132,3,class_4
131,3,class_4
130,3,class_4
160,3,class_4
153,3,class_4
146,3,class_4
155,3,class_4
153,1,class_4
156,1,class_4
168,1,class_4
145,1,class_4
146,2,class_4
167,2,class_4
157,2,class_4
141,2,class_4
156,2,class_4
174,2,class_4
163,2,class_4
132,0,class_4
143,0,class_4
106,0,class_4
141,0,class_4
143,0,class_4
128,0,class_4
117,0,class_4
127,0,class_4
128,0,class_5
130,0,class_5
129,0,class_5
129,0,class_5
129,0,class_5
130,0,class_5
131,0,class_5
131,0,class_5
130,0,class_5
131,0,class_5
131,0,class_5
132,0,class_5
129,0,class_5
131,0,class_5
159,3,class_5
157,3,class_5
156,3,class_5
155,3,class_5
164,3,class_5
147,3,class_5
132,3,class_5
135,3,class_5
137,3,class_5
128,3,class_5
128,0,class_5
129,0,class_5
129,0,class_5
129,0,class_5
127,0,class_5
129,0,class_5
130,0,class_5
129,0,class_5
129,0,class_5
129,0,class_5
161,3,class_5
133,3,class_5
148,3,class_5
150,3,class_5
113,3,class_5
116,3,class_5
117,3,class_5
120,3,class_5
120,3,class_5
120,3,class_5
120,3,class_5
111,3,class_5
118,3,class_5
131,3,class_5
132,3,class_5
145,3,class_5
118,3,class_5
126,3,class_5
146,3,class_5
167,3,class_5
163,3,class_5
167,2,class_5
151,2,class_5
152,2,class_5
140,2,class_5
168,2,class_5
158,2,class_5
157,1,class_5
164,1,class_5
159,1,class_5
137,1,class_5
157,1,class_5
134,1,class_5
143,1,class_5
148,1,class_5
161,0,class_5
148,0,class_5
151,2,class_5
153,2,class_5
161,2,class_5
156,2,class_5
145,2,class_5
160,2,class_5
