@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6}

@data
16,15600,6,class_0
42,14650,8,class_0
94,15001,4,class_0
83,15628,4,class_0
117,14222,1,class_0
31,14222,11,class_0
41,15065,9,class_0
49,14916,15,class_0
180,14477,10,class_0
119,14308,7,class_0
184,14239,8,class_0
106,14202,13,class_0
157,12978,3,class_0
85,14511,2,class_0
93,13726,10,class_0
72,13555,10,class_0
86,13544,3,class_0
12,13723,9,class_0
35,13293,6,class_0
27,14333,13,class_0
18,13050,7,class_0
98,13207,3,class_0
63,13501,8,class_0
169,12548,6,class_0
172,13224,10,class_0
52,16423,1,class_1
171,15156,8,class_1
147,15973,13,class_1
155,14576,8,class_1
25,15361,13,class_1
19,14288,10,class_1
159,14711,14,class_1
44,14259,15,class_1
123,14290,8,class_1
138,13833,11,class_1
105,14033,10,class_1
97,12963,8,class_1
173,14255,12,class_1
113,12614,7,class_1
29,13175,8,class_1
130,12595,5,class_1
28,12219,9,class_1
183,22331,15,class_2
109,17063,19,class_2
21,15851,16,class_2
143,16113,6,class_2
58,15448,10,class_2
2,15421,1,class_2
179,15434,7,class_2
133,13597,4,class_2
75,15278,13,class_2
80,14724,7,class_2
160,15275,15,class_2
55,14450,0,class_2
152,14803,6,class_2
38,14033,12,class_2
40,14587,8,class_2
39,14201,10,class_2
92,13977,7,class_2
96,14570,7,class_2
77,14231,7,class_2
134,12890,4,class_2
145,14516,11,class_2
126,14039,12,class_2
20,14136,10,class_2
100,13505,5,class_2
158,12714,1,class_2
59,14371,10,class_2
128,13762,11,class_2
7,13669,5,class_2
5,13602,13,class_2
24,13721,7,class_2
151,13297,7,class_2
99,12948,10,class_2
15,22934,17,class_3
78,17819,7,class_3
46,18266,8,class_3
154,17188,8,class_3
153,16960,14,class_3
22,16040,12,class_3
69,16719,0,class_3
50,16457,11,class_3
32,15617,4,class_3
64,15705,25,class_3
53,15680,3,class_3
131,15756,18,class_3
66,15593,20,class_3
89,14099,13,class_3
148,13628,8,class_3
95,15556,6,class_3
124,14973,13,class_3
107,14874,17,class_3
57,13659,3,class_3
65,13554,10,class_3
14,13994,9,class_3
120,13685,8,class_3
11,13626,4,class_3
73,13240,20,class_3
142,12784,5,class_3
81,24161,11,class_4
168,22067,28,class_4
156,18125,2,class_4
3,20043,15,class_4
56,18311,8,class_4
51,18666,13,class_4
87,18913,10,class_4
30,19673,22,class_4
116,17666,-2,class_4
104,17994,9,class_4
144,17682,12,class_4
132,16841,10,class_4
74,16159,-1,class_4
176,15282,-2,class_4
115,15795,10,class_4
33,14040,6,class_4
146,14973,2,class_4
170,14650,-9,class_4
43,13148,16,class_4
9,12433,3,class_4
1,21995,1,class_5
150,21487,41,class_5
6,20966,4,class_5
135,18911,-3,class_5
91,21349,12,class_5
79,18129,7,class_5
111,17847,17,class_5
112,18681,17,class_5
88,18146,15,class_5
47,17929,15,class_5
4,17643,24,class_5
68,18878,1,class_5
149,17367,-2,class_5
139,17644,-2,class_5
10,17666,10,class_5
13,17591,25,class_5
23,18275,14,class_5
70,17182,9,class_5
175,17311,5,class_5
177,16693,13,class_5
178,15663,12,class_5
162,16842,11,class_5
34,16396,9,class_5
0,17049,-2,class_5
122,16502,20,class_5
110,15435,9,class_5
118,15200,16,class_5
84,16040,0,class_5
90,16783,8,class_5
121,15488,20,class_5
181,15591,18,class_5
37,14704,8,class_5
163,14742,14,class_5
137,14870,-3,class_5
136,14348,16,class_5
129,15336,13,class_5
17,14455,12,class_5
140,13723,4,class_6
67,13726,0,class_6
36,12767,2,class_6
108,12952,4,class_6
141,11618,-3,class_6
161,11700,-3,class_6
164,12502,0,class_6
165,13320,4,class_6
103,10473,-8,class_6
114,11885,-14,class_6
102,11688,4,class_6
101,11419,-6,class_6
62,11337,-8,class_6
166,13183,4,class_6
76,10499,-3,class_6
45,10859,-3,class_6
26,10982,-7,class_6
182,10176,-6,class_6
167,12317,3,class_6
127,11412,0,class_6
54,11077,-5,class_6
61,10856,-6,class_6
71,10383,-6,class_6
82,10232,-5,class_6
48,9569,-11,class_6
125,9939,-5,class_6
174,10252,-1,class_6
8,9781,-6,class_6
60,9426,-11,class_6
