@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14}

@data
0,0,241,24.5,31.2,0.687,0.668,1.022,0.587,0.83,class_0
0,0,245,24.3,31.7,0.741,0.688,1.146,0.584,0.839,class_0
0,0,252,26.9,30.8,0.736,0.709,1.18,0.602,0.841,class_1
0,0,252,26.2,32,0.741,0.723,1.129,0.624,0.892,class_1
0,0,250,23.7,29.8,0.73,0.703,1.103,0.59,0.82,class_1
0,0,248,24.7,31.3,0.752,0.737,1.176,0.603,0.803,class_1
0,0,247,26.6,32.4,0.728,0.707,1.108,0.59,0.836,class_1
0,0,242,25.7,31.6,0.709,0.705,1.124,0.62,0.788,class_1
0,0,253,26.7,32.1,0.739,0.714,1.117,0.592,0.864,class_1
0,0,247,25.6,32.3,0.756,0.745,1.135,0.607,0.902,class_1
0,0,247,27,32,0.755,0.736,1.174,0.631,0.873,class_1
1,0,245,26.1,32,0.736,0.709,1.109,0.611,0.842,class_1
1,0,242,26,31,0.745,0.713,1.105,0.6,0.803,class_1
1,0,249,26,31.4,0.726,0.689,1.097,0.602,0.85,class_1
0,1,250,24.4,31.5,0.746,0.715,1.173,0.604,0.893,class_1
0,1,247,27,31.5,0.764,0.732,1.177,0.617,0.846,class_1
0,1,250,26.8,32.5,0.764,0.729,1.123,0.635,0.842,class_1
1,1,249,24,30.4,0.74,0.717,1.13,0.62,0.84,class_1
0,0,243,26.9,30.6,0.733,0.704,1.151,0.602,0.846,class_2
0,1,237,23.3,30.2,0.685,0.653,1.011,0.587,0.794,class_2
0,0,247,24.1,31.5,0.715,0.706,1.129,0.575,0.821,class_3
0,0,242,25.9,32,0.723,0.711,1.116,0.609,0.886,class_3
1,0,239,24.6,30.5,0.659,0.658,1.042,0.57,0.81,class_3
0,1,246,24.6,32,0.744,0.735,1.167,0.592,0.849,class_3
0,1,245,25.5,32.1,0.761,0.717,1.147,0.62,0.816,class_3
0,1,237,23.3,30.6,0.692,0.664,1.011,0.588,0.774,class_3
1,1,236,26.8,30.2,0.69,0.671,1.067,0.563,0.832,class_3
0,0,253,26.5,31.8,0.78,0.743,1.144,0.607,0.893,class_4
0,0,243,25.4,31.8,0.721,0.722,1.126,0.597,0.891,class_4
0,0,252,28,31.8,0.77,0.731,1.19,0.59,0.885,class_4
0,0,247,23.8,31.4,0.735,0.694,1.101,0.602,0.78,class_4
1,0,249,25.6,32.3,0.743,0.718,1.128,0.602,0.828,class_4
1,0,246,24.9,30.5,0.739,0.726,1.138,0.58,0.803,class_4
1,0,250,27.1,31.6,0.737,0.711,1.12,0.631,0.852,class_4
1,0,243,25.6,32.5,0.709,0.707,1.122,0.607,0.832,class_4
1,0,244,25,31.3,0.702,0.685,1.082,0.595,0.874,class_4
1,1,246,25,31.5,0.739,0.707,1.123,0.587,0.85,class_4
1,1,251,26,31.5,0.731,0.707,1.122,0.589,0.828,class_4
0,0,251,24.6,31.1,0.741,0.736,1.153,0.61,0.862,class_5
0,0,245,26.3,32.2,0.741,0.726,1.143,0.595,0.85,class_5
1,1,238,24.7,31.2,0.68,0.677,1.156,0.599,0.769,class_5
0,0,247,24.2,31.4,0.728,0.718,1.126,0.609,0.793,class_6
0,0,247,25.7,31.4,0.729,0.717,1.141,0.592,0.927,class_6
0,0,247,26.5,31.6,0.733,0.714,1.155,0.611,0.923,class_6
0,0,247,23.9,31.4,0.752,0.723,1.113,0.602,0.825,class_6
0,0,244,24.3,31.5,0.723,0.698,1.107,0.615,0.847,class_6
0,0,247,23.6,29.8,0.703,0.673,1.079,0.602,0.82,class_7
0,0,252,26.2,32,0.749,0.739,1.153,0.614,0.857,class_7
0,0,253,25.7,31.9,0.743,0.699,1.15,0.6,0.86,class_7
0,0,244,23.2,31.6,0.73,0.713,1.142,0.585,0.888,class_7
0,0,245,24.9,31.4,0.726,0.703,1.119,0.58,0.854,class_7
1,0,247,26,32,0.729,0.71,1.145,0.607,0.803,class_7
0,1,247,24.9,32.4,0.745,0.724,1.139,0.588,0.865,class_7
0,1,249,26.1,32.2,0.742,0.736,1.148,0.602,0.817,class_7
0,1,243,26.6,32.4,0.747,0.711,1.163,0.612,0.891,class_7
1,1,240,23.5,31,0.715,0.702,1.113,0.595,0.805,class_7
0,0,253,24.8,32.3,0.766,0.752,1.134,0.633,0.923,class_8
1,0,246,25.9,32.3,0.738,0.709,1.135,0.607,0.869,class_8
1,0,247,27.6,31.8,0.731,0.719,1.113,0.597,0.869,class_8
1,0,246,26.5,31.5,0.72,0.696,1.092,0.606,0.809,class_8
1,0,248,25.1,31.9,0.744,0.722,1.154,0.591,0.839,class_8
1,0,248,24.6,31,0.713,0.7,1.086,0.59,0.837,class_8
1,0,253,28.3,31.8,0.752,0.718,1.152,0.6,0.857,class_8
0,1,253,26.7,32,0.759,0.734,1.197,0.63,0.878,class_8
0,0,253,26.7,32.5,0.767,0.765,1.23,0.6,0.878,class_9
1,0,251,27.5,31.5,0.72,0.691,1.118,0.612,0.847,class_9
1,0,250,28.3,32.4,0.754,0.718,1.179,0.607,0.916,class_9
1,1,245,26.9,31.7,0.715,0.695,1.107,0.601,0.847,class_9
1,1,256,25.7,31.7,0.752,0.751,1.187,0.595,0.858,class_9
1,1,254,27.5,31.4,0.76,0.742,1.124,0.604,0.914,class_9
0,0,251,27.9,31.9,0.769,0.745,1.168,0.622,0.86,class_10
1,0,250,25.5,32.5,0.752,0.731,1.197,0.623,0.888,class_10
1,0,246,25.8,31.4,0.689,0.662,1.073,0.604,0.836,class_10
0,1,248,24.8,32.2,0.742,0.733,1.165,0.606,0.854,class_10
0,1,248,26.3,33,0.736,0.704,1.148,0.609,0.839,class_10
0,1,254,26.4,32,0.766,0.75,1.165,0.605,0.886,class_10
