@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
0,478000,class_0
1,2536000,class_0
2,3246000,class_0
3,1796000,class_0
4,5131000,class_0
5,2873000,class_0
24,15098000,class_0
7,1719000,class_0
8,23599000,class_0
6,5690000,class_0
9,831000,class_0
10,1922000,class_0
11,6908000,class_0
12,8734000,class_0
13,5241000,class_0
14,971000,class_0
15,11912000,class_0
16,1173000,class_0
17,6303000,class_0
19,4495000,class_0
20,1902000,class_0
21,1954000,class_0
22,16983000,class_0
23,13155000,class_0
18,42200000,class_0
25,5474000,class_0
0,125000,class_1
1,3920000,class_1
2,5108000,class_1
3,3808000,class_1
4,7126000,class_1
5,9317000,class_1
24,22478000,class_1
7,1475000,class_1
8,11711000,class_1
6,12107000,class_1
9,1107000,class_1
10,9035000,class_1
11,1031000,class_1
12,8928000,class_1
13,10254000,class_1
14,687000,class_1
15,19471000,class_1
16,2448000,class_1
17,12464000,class_1
19,11263000,class_1
20,2677000,class_1
21,2071000,class_1
22,11000,class_1
23,7975000,class_1
18,33100000,class_1
25,7867000,class_1
0,484000,class_2
1,11371000,class_2
2,29448000,class_2
3,41096000,class_2
4,49212000,class_2
5,16296000,class_2
24,83033000,class_2
7,7763000,class_2
8,234131000,class_2
6,51356000,class_2
9,29846000,class_2
10,45397000,class_2
11,9903000,class_2
12,137999000,class_2
13,88174000,class_2
14,5571000,class_2
15,67244000,class_2
16,4143000,class_2
17,109244000,class_2
19,42824000,class_2
20,11393000,class_2
21,6188000,class_2
22,59660000,class_2
23,130018000,class_2
18,385000000,class_2
25,65690000,class_2
0,43000,class_3
1,35000,class_3
2,31000,class_3
3,120000,class_3
4,44000,class_3
5,41000,class_3
24,369000,class_3
7,20000,class_3
8,278000,class_3
6,81000,class_3
9,420000,class_3
10,120000,class_3
11,68000,class_3
12,273000,class_3
13,59000,class_3
14,25000,class_3
15,1734000,class_3
16,23000,class_3
17,566000,class_3
19,242000,class_3
20,57000,class_3
21,45000,class_3
22,784000,class_3
23,140000,class_3
18,1556000,class_3
25,573000,class_3
0,914000,class_4
1,326000,class_4
2,123000,class_4
3,11271000,class_4
4,990000,class_4
5,58000,class_4
24,1172000,class_4
7,104000,class_4
8,14346000,class_4
6,2220000,class_4
9,12669000,class_4
10,3183000,class_4
11,3323000,class_4
12,10497000,class_4
13,1210000,class_4
14,1999000,class_4
15,3899000,class_4
16,2811000,class_4
17,17748000,class_4
19,16543000,class_4
20,437000,class_4
21,336000,class_4
22,70093000,class_4
23,32888000,class_4
18,21000000,class_4
25,7384000,class_4
