@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8}

@data
1,158.672,class_0
2,317.345,class_0
3,349.079,class_0
4,357.013,class_0
5,349.079,class_0
6,349.079,class_0
7,285.61,class_0
8,285.61,class_0
9,285.61,class_0
10,285.61,class_0
11,190.407,class_0
12,222.141,class_0
13,158.672,class_0
14,222.141,class_0
15,317.345,class_0
16,412.548,class_0
17,174.539,class_0
18,333.212,class_0
19,285.61,class_0
20,190.407,class_0
21,253.876,class_0
22,476.017,class_0
23,412.548,class_0
24,444.282,class_0
25,476.017,class_0
26,460.15,class_0
27,444.282,class_0
28,444.282,class_0
29,476.017,class_0
30,507.751,class_0
31,412.548,class_0
32,380.813,class_0
33,285.61,class_0
34,364.946,class_0
35,301.477,class_0
36,380.813,class_0
37,412.548,class_0
38,428.415,class_0
39,476.017,class_0
40,491.884,class_0
41,444.282,class_0
42,444.282,class_0
43,317.345,class_0
44,412.548,class_0
45,349.079,class_0
46,269.743,class_0
47,238.008,class_0
48,190.407,class_0
49,158.672,class_0
50,126.938,class_0
51,95.203,class_0
52,63.469,class_0
1,154.597,class_1
2,154.597,class_1
3,340.114,class_1
4,309.195,class_1
5,216.436,class_1
6,401.953,class_1
7,324.654,class_1
8,309.195,class_1
9,401.953,class_1
10,371.033,class_1
11,309.195,class_1
12,278.275,class_1
13,340.114,class_1
14,216.436,class_1
15,247.356,class_1
16,324.654,class_1
17,309.195,class_1
18,355.574,class_1
19,278.275,class_1
20,340.114,class_1
21,401.953,class_1
22,463.792,class_1
23,432.872,class_1
24,525.631,class_1
25,494.711,class_1
26,432.872,class_1
27,340.114,class_1
28,494.711,class_1
29,371.033,class_1
30,355.574,class_1
31,340.114,class_1
32,401.953,class_1
33,371.033,class_1
34,371.033,class_1
35,401.953,class_1
36,278.275,class_1
37,463.792,class_1
38,371.033,class_1
39,216.436,class_1
40,216.436,class_1
41,309.195,class_1
42,154.597,class_1
43,108.218,class_1
44,154.597,class_1
45,432.872,class_1
46,401.953,class_1
47,587.47,class_1
