@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6}

@data
8.462789,-38.173172,39.099998,1769,class_0
7.964978,-35.927692,36.799999,1749,class_0
7.467167,-33.682213,34.500001,1749,class_0
6.969356,-31.436731,32.2,1758,class_0
6.471544,-29.19125,29.899999,1750,class_0
5.973733,-26.94577,27.6,1745,class_0
5.475922,-24.700289,25.3,1750,class_0
4.978111,-22.454807,22.999999,1753,class_0
4.4803,-20.209328,20.7,1734,class_0
3.982489,-17.963846,18.4,1710,class_0
3.463034,-15.620736,16,1711,class_0
2.965223,-13.375256,13.7,1709,class_0
2.467412,-11.129774,11.4,1674,class_0
1.969601,-8.884295,9.100001,1665,class_0
1.471789,-6.638813,6.8,1680,class_0
0.973978,-4.393332,4.5,1648,class_0
0.476167,-2.147851,2.2,1626,class_0
-0.021644,0.09763,-0.1,1581,class_0
-0.519455,2.343111,-2.4,1602,class_0
-1.017266,4.588591,-4.7,1558,class_0
-1.515077,6.834072,-7,1538,class_0
-2.012888,9.079553,-9.3,1506,class_0
-2.5107,11.325034,-11.6,1521,class_0
-3.008511,13.570514,-13.899999,1498,class_0
-3.527966,15.913624,-16.299999,1501,class_0
-4.025777,18.159105,-18.6,1491,class_0
-4.523588,20.404587,-20.9,1481,class_0
-5.021399,22.650068,-23.200001,1468,class_0
-5.51921,24.895548,-25.5,1455,class_0
-6.017021,27.141027,-27.799998,1454,class_0
-6.514832,29.386511,-30.100001,1456,class_0
-7.012644,31.631992,-32.400002,1459,class_0
-7.510455,33.877472,-34.7,1451,class_0
-8.008265,36.122952,-36.999999,1465,class_0
-8.506077,38.368431,-39.299998,1451,class_0
-9.501699,42.859398,-43.900003,1486,class_0
-11.016777,49.69347,-50.900003,1433,class_0
10.886912,-49.107689,50.3,1740,class_0
9.393479,-42.371246,43.4,1704,class_0
8.917313,-40.223396,41.200001,1748,class_0
8.397857,-37.880283,38.799998,1757,class_0
7.92169,-35.732433,36.599999,1775,class_0
7.423879,-33.486954,34.300001,1765,class_0
6.926068,-31.241472,32,1762,class_0
6.428257,-28.995993,29.700001,1752,class_0
5.908801,-26.65288,27.299999,1752,class_0
5.41099,-24.4074,25,1753,class_0
4.913179,-22.161921,22.700001,1753,class_0
4.415368,-19.916439,20.4,1748,class_0
3.917557,-17.670958,18.1,1730,class_0
3.44139,-15.523107,15.9,1709,class_0
2.921935,-13.179996,13.5,1688,class_0
2.424124,-10.934515,11.2,1687,class_0
1.926312,-8.689034,8.9,1678,class_0
1.428501,-6.443553,6.6,1654,class_0
0.93069,-4.198073,4.3,1634,class_0
0.432879,-1.952592,2,1611,class_0
-0.064932,0.292889,-0.3,1590,class_0
-0.562743,2.538369,-2.6,1562,class_0
-1.060554,4.783851,-4.9,1565,class_0
-1.558365,7.029331,-7.2,1541,class_0
-2.07782,9.372442,-9.600001,1537,class_0
-2.553988,11.520293,-11.8,1515,class_0
-3.073442,13.863403,-14.2,1498,class_0
-3.571254,16.108885,-16.500001,1479,class_0
-4.069065,18.354364,-18.799999,1481,class_0
-4.566876,20.599846,-21.1,1475,class_0
-5.064687,22.845325,-23.399999,1466,class_0
-5.562498,25.090809,-25.700001,1461,class_0
-6.060309,27.336288,-28,1457,class_0
-6.55812,29.581768,-30.299999,1455,class_0
-7.055931,31.827248,-32.599998,1452,class_0
-7.575387,34.170361,-35,1453,class_0
-8.073197,36.41584,-37.299999,1448,class_0
-8.549365,38.563694,-39.500002,1469,class_0
-9.090464,41.004433,-42,1456,class_0
-9.588275,43.249912,-44.299999,1448,class_0
-10.042798,45.300137,-46.400002,1409,class_0
-10.540609,47.545616,-48.700001,1416,class_0
-11.060064,49.888725,-51.099999,1429,class_0
27.824436,6.168529,28.5,1631,class_1
21.087994,4.675096,21.6,1618,class_1
18.842512,4.177284,19.299999,1607,class_1
16.597033,3.679473,17,1608,class_1
14.351551,3.181662,14.7,1601,class_1
12.106071,2.683851,12.4,1603,class_1
9.86059,2.18604,10.1,1612,class_1
7.615109,1.688229,7.8,1607,class_1
5.271998,1.168774,5.4,1618,class_1
3.026518,0.670963,3.1,1649,class_1
0.781037,0.173152,0.8,1595,class_1
-1.464444,-0.324659,-1.5,1580,class_1
-3.709925,-0.822471,-3.8,1574,class_1
-5.955406,-1.320282,-6.1,1574,class_1
-8.200886,-1.818093,-8.399999,1559,class_1
-10.446367,-2.315904,-10.7,1578,class_1
-12.691848,-2.813715,-13,1591,class_1
-14.937329,-3.311526,-15.3,1579,class_1
-17.18281,-3.809337,-17.6,1588,class_1
-19.428289,-4.307148,-19.899999,1581,class_1
-21.673773,-4.80496,-22.200001,1569,class_1
-23.919252,-5.302771,-24.5,1572,class_1
-26.262362,-5.822226,-26.899999,1584,class_1
-28.507845,-6.320037,-29.200002,1565,class_1
29.48414,6.536477,30.200001,1629,class_1
27.0434,5.995378,27.7,1610,class_1
25.090809,5.562498,25.700001,1603,class_1
22.650068,5.021399,23.200001,1613,class_1
20.404587,4.523588,20.9,1603,class_1
18.159105,4.025777,18.6,1606,class_1
15.913624,3.527966,16.299999,1603,class_1
13.765774,3.051799,14.1,1608,class_1
11.422663,2.532343,11.699999,1613,class_1
9.177182,2.034532,9.4,1616,class_1
6.931702,1.536721,7.1,1615,class_1
4.588591,1.017266,4.7,1611,class_1
2.44074,0.541099,2.5,1580,class_1
0.09763,0.021644,0.1,1580,class_1
-2.050221,-0.454523,-2.1,1586,class_1
-4.198073,-0.93069,-4.3,1591,class_1
-6.638813,-1.471789,-6.8,1592,class_1
-8.884295,-1.969601,-9.100001,1562,class_1
-11.129774,-2.467412,-11.4,1572,class_1
-13.277626,-2.943579,-13.6,1589,class_1
-15.523107,-3.44139,-15.9,1588,class_1
-17.866217,-3.960845,-18.3,1585,class_1
-20.111698,-4.458656,-20.6,1586,class_1
-22.357178,-4.956467,-22.899999,1573,class_1
-24.602659,-5.454278,-25.2,1573,class_1
-26.848141,-5.952089,-27.5,1558,class_1
-29.09362,-6.4499,-29.799999,1566,class_1
23.869942,-25.59738,34.999999,1718,class_2
22.301348,-23.915266,32.700001,1711,class_2
20.73275,-22.233152,30.4,1710,class_2
19.164154,-20.551039,28.1,1715,class_2
17.595556,-18.868925,25.799999,1713,class_2
16.026962,-17.186811,23.5,1717,class_2
14.390165,-15.431563,21.1,1715,class_2
12.821568,-13.749449,18.799999,1712,class_2
11.252973,-12.067336,16.5,1710,class_2
9.684377,-10.385222,14.2,1692,class_2
8.11578,-8.703109,11.899999,1669,class_2
6.547184,-7.020996,9.6,1679,class_2
4.978588,-5.338882,7.3,1691,class_2
3.409992,-3.656769,5,1647,class_2
1.841396,-1.974655,2.7,1630,class_2
0.272799,-0.292541,0.4,1616,class_2
-1.295797,1.389572,-1.9,1576,class_2
-2.864393,3.071685,-4.2,1561,class_2
-4.432989,4.753799,-6.5,1558,class_2
-6.001585,6.435913,-8.8,1538,class_2
-7.638381,8.191161,-11.2,1525,class_2
-9.206978,9.873275,-13.5,1509,class_2
-10.775575,11.555388,-15.8,1501,class_2
-12.344171,13.237502,-18.1,1494,class_2
-13.912766,14.919615,-20.399999,1489,class_2
-15.481363,16.60173,-22.700001,1493,class_2
-17.049959,18.283842,-25,1487,class_2
-18.618555,19.965956,-27.3,1495,class_2
-20.187151,21.648069,-29.6,1511,class_2
-21.755747,23.330183,-31.899999,1505,class_2
-23.324345,25.012297,-34.200001,1508,class_2
-24.892941,26.69441,-36.5,1507,class_2
-26.461536,28.376524,-38.8,1513,class_2
-28.030132,30.058636,-41.099999,1493,class_2
-29.666929,31.813887,-43.500001,1495,class_2
18.420113,-47.986034,51.4,1736,class_3
17.595865,-45.838799,49.099999,1744,class_3
16.77162,-43.691563,46.799999,1765,class_3
15.947373,-41.544331,44.500001,1766,class_3
14.263044,-37.156502,39.800001,1764,class_3
13.438798,-35.009266,37.5,1715,class_3
12.614552,-32.86203,35.199999,1751,class_3
11.790306,-30.714798,32.900002,1761,class_3
10.96606,-28.567562,30.600001,1763,class_3
10.141812,-26.420326,28.3,1758,class_3
9.317567,-24.27309,25.999999,1743,class_3
8.49332,-22.125856,23.7,1738,class_3
7.669074,-19.978621,21.399999,1732,class_3
6.844828,-17.831387,19.1,1734,class_3
6.020581,-15.684151,16.799999,1723,class_3
5.196335,-13.536916,14.5,1706,class_3
4.372089,-11.389681,12.2,1665,class_3
3.547843,-9.242446,9.9,1677,class_3
2.68776,-7.001853,7.5,1679,class_3
1.863513,-4.854618,5.2,1601,class_3
1.039267,-2.707383,2.9,1629,class_3
0.215021,-0.560148,0.6,1621,class_3
-0.609226,1.587087,-1.7,1574,class_3
-1.433472,3.734322,-4,1559,class_3
-2.257718,5.881557,-6.3,1540,class_3
-3.081964,8.028792,-8.600001,1525,class_3
-3.90621,10.176026,-10.9,1517,class_3
-4.730457,12.323261,-13.2,1506,class_3
-5.554703,14.470496,-15.5,1481,class_3
-6.378949,16.617731,-17.799999,1465,class_3
-7.203196,18.764967,-20.1,1468,class_3
-8.027442,20.912201,-22.399999,1465,class_3
