@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
1,508,235,3944,325,class_0
2,564,231,4578,323,class_0
3,322,270,4011,328,class_0
4,846,261,5233,305,class_0
5,871,300,4780,303,class_0
6,774,317,5889,307,class_0
7,856,387,5663,301,class_0
8,889,285,5759,310,class_0
9,715,300,4894,300,class_0
10,753,221,5012,324,class_1
11,649,264,4908,329,class_1
12,830,308,5753,320,class_1
13,738,379,5439,337,class_1
14,659,342,4634,328,class_1
15,664,378,4921,330,class_1
16,572,232,4869,318,class_1
17,701,231,4672,309,class_1
18,443,246,4782,333,class_1
19,446,230,4296,330,class_1
20,615,268,4827,318,class_1
21,661,337,5057,304,class_1
22,772,344,5540,328,class_2
23,766,330,5331,323,class_2
24,631,261,4715,317,class_2
25,390,214,3828,310,class_2
26,450,245,4120,321,class_2
27,476,233,3817,342,class_2
28,603,250,4243,339,class_2
29,805,243,4647,287,class_2
30,523,216,3967,325,class_2
31,588,212,3946,315,class_2
32,584,208,3724,332,class_2
33,445,215,3448,358,class_2
34,500,221,3680,320,class_2
35,661,244,3825,355,class_2
36,680,234,4189,306,class_2
37,797,269,4336,335,class_2
38,534,302,4418,335,class_3
39,541,268,4323,344,class_3
40,605,323,4813,331,class_3
41,785,304,5046,324,class_3
42,698,317,3764,366,class_3
43,796,332,4504,340,class_3
44,804,315,4005,378,class_3
45,809,291,5560,330,class_3
46,726,312,4989,313,class_3
47,671,316,4697,305,class_3
48,909,332,5438,307,class_3
49,484,546,5613,386,class_3
50,831,311,5309,333,class_3
