@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1,class_2}

@data
21,0,0,0,1,class_0
31,1,0,1,1,class_0
72,2,0,0,1,class_0
191,2,0,1,1,class_0
89,2,0,1,1,class_0
150,2,0,0,1,class_0
228,0,0,1,1,class_0
251,2,0,0,1,class_0
148,2,0,1,1,class_0
245,2,0,1,1,class_0
298,0,2,1,1,class_0
1,2,0,1,2,class_0
207,0,0,1,2,class_0
126,2,0,0,2,class_0
157,2,0,1,2,class_0
39,2,0,1,2,class_0
70,2,0,1,2,class_0
299,0,0,1,2,class_0
278,0,0,1,2,class_0
58,2,0,1,2,class_0
15,0,2,1,2,class_0
128,0,0,1,3,class_0
110,0,0,1,3,class_0
33,2,0,0,3,class_0
155,0,0,1,3,class_0
90,2,0,1,3,class_0
198,0,0,0,3,class_0
177,0,0,1,3,class_0
215,2,0,1,3,class_0
246,0,0,1,3,class_0
288,2,0,0,3,class_0
48,2,2,1,3,class_0
52,0,0,0,4,class_0
64,0,0,1,4,class_0
226,0,0,1,4,class_0
119,2,0,1,4,class_0
22,2,0,1,4,class_0
206,2,0,0,4,class_0
107,0,0,1,4,class_0
254,0,0,1,4,class_0
149,0,0,1,4,class_0
199,2,0,1,4,class_0
297,2,0,0,4,class_0
41,2,2,1,4,class_0
150,2,0,1,5,class_0
18,0,0,0,5,class_0
45,0,0,0,5,class_0
58,2,0,0,5,class_0
69,0,0,0,5,class_0
189,0,0,1,5,class_0
120,0,0,0,5,class_0
272,0,0,1,5,class_0
241,0,0,1,5,class_0
300,0,0,1,5,class_0
97,0,0,1,5,class_0
227,0,2,1,5,class_0
190,2,0,1,6,class_0
35,0,0,1,6,class_0
88,2,0,1,6,class_0
142,2,0,1,6,class_0
54,0,0,1,6,class_0
6,0,0,1,6,class_0
242,2,0,0,6,class_0
72,0,0,1,6,class_0
221,1,0,1,6,class_0
151,0,2,0,6,class_0
249,2,0,1,7,class_0
268,0,0,1,7,class_0
172,1,0,1,7,class_0
51,0,0,1,7,class_0
237,0,0,1,7,class_0
189,2,0,0,7,class_0
159,0,0,1,7,class_0
217,2,0,0,7,class_0
24,2,0,1,7,class_0
125,2,0,1,7,class_0
303,0,0,1,7,class_0
62,2,2,1,7,class_0
66,2,0,1,8,class_0
261,2,0,1,8,class_0
37,2,0,1,8,class_0
21,2,0,1,8,class_0
130,0,0,1,8,class_0
94,0,0,1,8,class_0
250,2,0,0,8,class_0
279,0,0,1,8,class_0
61,2,0,1,8,class_0
293,0,0,0,8,class_0
212,2,2,1,8,class_0
11,0,0,0,9,class_0
34,0,0,0,9,class_0
53,0,0,0,9,class_0
75,2,0,0,9,class_0
115,0,0,1,9,class_0
173,2,0,1,9,class_0
193,0,0,1,9,class_0
215,2,0,0,9,class_0
244,0,0,0,9,class_0
96,2,0,1,9,class_0
288,0,1,1,9,class_0
43,2,0,0,10,class_0
74,2,0,0,10,class_0
250,0,0,1,10,class_0
18,2,0,1,10,class_0
177,2,0,0,10,class_0
199,2,0,0,10,class_0
160,2,0,1,10,class_0
248,0,0,1,10,class_0
148,0,1,0,10,class_0
111,0,2,1,10,class_0
22,0,0,0,11,class_0
49,2,0,1,11,class_0
68,0,0,1,11,class_0
118,2,0,1,11,class_0
170,0,0,0,11,class_0
196,0,0,0,11,class_0
163,2,0,1,11,class_0
264,2,0,1,11,class_0
218,2,0,1,11,class_0
45,0,0,1,11,class_0
131,2,1,1,11,class_0
289,0,2,1,11,class_0
65,0,3,0,12,class_0
234,2,3,0,12,class_0
222,2,0,1,12,class_0
46,0,0,0,12,class_0
13,2,0,1,12,class_0
117,0,0,0,12,class_0
190,0,0,0,12,class_0
145,0,0,1,12,class_0
180,0,0,1,12,class_0
132,0,0,1,12,class_0
98,2,0,1,12,class_0
255,0,0,1,12,class_0
159,2,1,0,12,class_0
63,0,0,1,13,class_0
138,2,0,1,13,class_0
125,2,0,0,13,class_0
154,0,0,0,13,class_0
214,0,0,1,13,class_0
300,2,0,0,13,class_0
185,2,1,1,13,class_0
28,0,2,0,13,class_0
184,2,0,1,14,class_0
67,0,0,0,14,class_0
234,0,0,1,14,class_0
33,0,0,1,14,class_0
23,0,0,1,14,class_0
93,0,0,1,14,class_0
146,0,0,1,14,class_0
229,0,0,1,14,class_0
302,0,0,1,14,class_0
60,0,0,1,14,class_0
127,0,0,1,14,class_0
176,2,1,1,14,class_0
166,0,2,1,14,class_0
206,2,4,1,15,class_0
95,2,4,0,15,class_0
34,0,0,1,15,class_0
50,2,0,1,15,class_0
129,2,0,1,15,class_0
187,0,0,0,15,class_0
262,2,0,1,15,class_0
161,2,0,1,15,class_0
108,2,0,1,15,class_0
283,0,0,0,15,class_0
273,2,1,1,15,class_0
240,0,2,0,15,class_0
24,2,4,0,16,class_0
280,0,4,1,16,class_0
112,0,4,1,16,class_0
97,0,0,0,16,class_0
99,2,0,0,16,class_0
174,0,0,1,16,class_0
209,2,0,1,16,class_0
158,0,0,0,16,class_0
242,2,0,1,16,class_0
266,2,0,0,16,class_0
186,2,2,1,16,class_0
176,2,0,0,1,class_1
108,0,0,1,1,class_1
44,2,0,1,1,class_1
155,0,0,0,1,class_1
300,2,0,1,1,class_1
192,0,0,0,1,class_1
18,2,0,1,1,class_1
90,0,0,0,1,class_1
3,2,0,1,1,class_1
57,0,0,1,1,class_1
72,2,0,1,1,class_1
214,2,1,1,1,class_1
130,0,0,1,2,class_1
21,0,0,0,2,class_1
59,2,0,0,2,class_1
70,0,0,0,2,class_1
99,2,0,1,2,class_1
167,2,0,0,2,class_1
195,2,0,1,2,class_1
206,2,0,0,2,class_1
242,0,0,1,2,class_1
259,2,0,1,2,class_1
149,2,1,0,2,class_1
89,0,2,1,2,class_1
55,2,0,1,3,class_1
39,2,0,1,3,class_1
73,0,0,1,3,class_1
98,0,0,1,3,class_1
116,2,0,1,3,class_1
147,2,0,1,3,class_1
162,0,0,1,3,class_1
211,2,0,1,3,class_1
288,0,1,1,3,class_1
24,2,2,0,3,class_1
228,2,0,0,4,class_1
15,0,0,1,4,class_1
102,0,0,1,4,class_1
136,2,0,1,4,class_1
180,2,0,0,4,class_1
199,0,0,1,4,class_1
206,2,0,1,4,class_1
236,0,0,1,4,class_1
300,2,1,0,4,class_1
60,0,2,0,4,class_1
276,2,0,0,5,class_1
7,0,0,1,5,class_1
34,2,0,1,5,class_1
152,0,0,1,5,class_1
177,0,0,1,5,class_1
189,0,0,1,5,class_1
20,2,1,1,5,class_1
85,0,2,1,5,class_1
96,0,0,1,6,class_1
111,2,0,1,6,class_1
149,2,0,1,6,class_1
230,0,0,1,6,class_1
250,2,0,1,6,class_1
298,0,0,1,6,class_1
37,2,1,1,6,class_1
238,2,2,1,6,class_1
176,0,3,1,7,class_1
24,0,0,1,7,class_1
88,2,0,0,7,class_1
148,2,0,0,7,class_1
150,2,0,1,7,class_1
215,0,0,1,7,class_1
272,2,0,1,7,class_1
299,2,0,1,7,class_1
121,2,0,1,7,class_1
63,0,2,1,7,class_1
22,2,0,0,8,class_1
173,2,0,0,8,class_1
123,0,0,1,8,class_1
234,0,0,0,8,class_1
42,2,0,0,8,class_1
221,2,0,1,8,class_1
47,0,1,0,8,class_1
164,0,2,0,8,class_1
239,2,0,1,9,class_1
14,2,0,0,9,class_1
45,2,0,0,9,class_1
56,0,0,1,9,class_1
156,2,0,1,9,class_1
179,2,0,1,9,class_1
224,2,0,1,9,class_1
256,2,0,1,9,class_1
279,0,0,1,9,class_1
290,2,0,0,9,class_1
91,0,1,0,9,class_1
208,2,2,0,9,class_1
177,2,0,0,10,class_1
105,0,0,1,10,class_1
30,0,0,1,10,class_1
26,2,0,1,10,class_1
210,2,0,0,10,class_1
140,0,0,1,10,class_1
248,2,2,1,10,class_1
22,0,0,1,11,class_1
32,2,0,0,11,class_1
112,2,0,0,11,class_1
154,0,0,1,11,class_1
207,2,0,1,11,class_1
226,0,0,0,11,class_1
232,1,0,0,11,class_1
275,0,0,1,11,class_1
297,2,0,1,11,class_1
58,2,1,1,11,class_1
175,0,2,1,11,class_1
86,0,3,0,12,class_1
288,0,3,0,12,class_1
253,2,0,1,12,class_1
39,0,0,0,12,class_1
51,0,0,1,12,class_1
142,0,0,1,12,class_1
169,2,0,0,12,class_1
214,0,0,0,12,class_1
263,2,0,0,12,class_1
110,1,2,1,12,class_1
10,0,0,0,13,class_1
25,2,0,1,13,class_1
33,0,0,1,13,class_1
138,2,0,0,13,class_1
153,2,0,0,13,class_1
190,2,1,1,13,class_1
257,0,0,1,13,class_1
252,2,0,1,13,class_1
270,2,0,1,13,class_1
295,2,0,1,13,class_1
262,2,0,1,14,class_1
8,0,0,1,14,class_1
18,2,0,0,14,class_1
112,2,0,1,14,class_1
159,0,0,1,14,class_1
178,2,1,1,14,class_1
212,2,0,1,14,class_1
285,0,0,1,14,class_1
139,2,2,0,14,class_1
202,0,4,1,15,class_1
296,2,4,0,15,class_1
0,0,0,0,15,class_1
33,0,1,0,15,class_1
82,2,0,1,15,class_1
97,2,0,1,15,class_1
137,2,0,1,15,class_1
182,2,0,1,15,class_1
199,0,0,0,15,class_1
226,0,0,1,15,class_1
235,2,0,1,15,class_1
102,2,4,0,16,class_1
144,2,4,0,16,class_1
292,0,4,0,16,class_1
228,2,0,1,16,class_1
21,2,0,1,16,class_1
45,2,0,1,16,class_1
111,0,0,0,16,class_1
150,0,0,0,16,class_1
234,2,0,1,16,class_1
258,2,0,1,16,class_1
215,0,0,0,16,class_1
268,1,3,1,16,class_1
242,0,4,0,17,class_1
173,0,0,1,17,class_1
284,2,0,1,17,class_1
48,0,0,1,17,class_1
1,2,0,1,17,class_1
213,0,0,0,17,class_1
269,2,0,1,17,class_1
87,2,0,1,17,class_1
148,0,0,1,17,class_1
259,0,1,0,17,class_1
130,0,0,1,1,class_2
231,2,0,1,1,class_2
78,2,0,0,1,class_2
235,2,0,0,1,class_2
39,2,0,1,1,class_2
264,2,0,1,1,class_2
84,2,0,1,1,class_2
163,0,0,1,1,class_2
118,2,0,1,1,class_2
21,0,0,1,1,class_2
290,2,1,1,1,class_2
219,1,2,1,1,class_2
242,0,0,1,2,class_2
5,0,0,1,2,class_2
173,2,0,1,2,class_2
27,2,0,1,2,class_2
102,2,0,1,2,class_2
210,0,0,1,2,class_2
45,0,0,0,2,class_2
138,0,0,1,2,class_2
277,2,0,1,2,class_2
50,0,1,1,2,class_2
288,1,2,0,2,class_2
262,1,0,1,3,class_2
48,0,0,0,3,class_2
300,2,0,1,3,class_2
171,0,0,0,3,class_2
81,0,0,1,3,class_2
203,0,0,0,3,class_2
141,2,0,1,3,class_2
98,1,0,1,3,class_2
24,0,0,0,3,class_2
117,2,2,1,3,class_2
120,0,0,0,4,class_2
29,0,0,0,4,class_2
97,0,0,1,4,class_2
103,2,0,0,4,class_2
134,0,0,0,4,class_2
172,0,0,1,4,class_2
205,0,0,1,4,class_2
243,2,0,1,4,class_2
286,2,0,0,4,class_2
250,0,1,1,4,class_2
40,0,2,1,4,class_2
253,2,0,1,5,class_2
12,2,0,1,5,class_2
108,2,0,1,5,class_2
155,0,0,1,5,class_2
177,0,0,0,5,class_2
206,0,0,0,5,class_2
271,2,0,1,5,class_2
188,0,1,1,5,class_2
299,2,2,1,5,class_2
176,2,0,0,6,class_2
114,2,0,1,6,class_2
79,2,0,0,6,class_2
105,2,0,1,6,class_2
223,2,0,0,6,class_2
247,0,0,0,6,class_2
60,0,0,1,6,class_2
285,2,0,0,6,class_2
215,2,0,1,6,class_2
148,0,0,1,6,class_2
260,2,1,0,6,class_2
19,0,2,0,6,class_2
18,2,0,1,7,class_2
77,2,0,1,7,class_2
123,1,0,0,7,class_2
165,2,0,1,7,class_2
197,2,0,1,7,class_2
287,2,0,1,7,class_2
273,0,1,1,7,class_2
216,0,2,0,7,class_2
34,2,3,0,8,class_2
194,0,0,0,8,class_2
226,0,0,0,8,class_2
119,1,0,0,8,class_2
265,0,0,1,8,class_2
8,0,0,0,8,class_2
143,0,0,1,8,class_2
13,2,2,1,8,class_2
92,0,0,0,9,class_2
111,2,0,1,9,class_2
4,2,0,1,9,class_2
72,2,0,1,9,class_2
101,2,0,1,9,class_2
197,2,0,0,9,class_2
279,2,0,1,9,class_2
221,0,1,1,9,class_2
22,0,0,1,10,class_2
63,0,0,0,10,class_2
33,2,0,1,10,class_2
225,0,0,1,10,class_2
291,0,0,1,10,class_2
82,2,0,1,10,class_2
199,2,0,1,10,class_2
173,0,0,0,10,class_2
96,2,1,1,10,class_2
214,0,2,0,10,class_2
176,2,1,1,11,class_2
17,2,0,0,11,class_2
58,0,0,1,11,class_2
71,0,0,1,11,class_2
90,0,0,1,11,class_2
108,0,0,0,11,class_2
113,0,0,1,11,class_2
215,1,0,0,11,class_2
226,0,0,1,11,class_2
279,0,0,0,11,class_2
283,2,0,1,11,class_2
185,0,2,1,11,class_2
228,2,0,0,12,class_2
10,2,0,1,12,class_2
36,2,0,0,12,class_2
104,2,0,1,12,class_2
112,0,1,1,12,class_2
149,2,0,1,12,class_2
190,2,0,0,12,class_2
206,2,0,1,12,class_2
233,0,0,1,12,class_2
301,2,0,0,12,class_2
21,2,2,0,12,class_2
22,0,0,0,13,class_2
288,0,0,1,13,class_2
189,0,0,1,13,class_2
125,0,0,0,13,class_2
137,2,0,0,13,class_2
38,0,0,1,13,class_2
220,0,0,0,13,class_2
242,2,0,0,13,class_2
268,1,0,1,13,class_2
230,2,0,1,13,class_2
100,2,3,1,14,class_2
83,2,3,1,14,class_2
92,2,0,1,14,class_2
67,2,0,0,14,class_2
24,2,0,1,14,class_2
183,2,0,1,14,class_2
294,2,0,0,14,class_2
272,0,0,1,14,class_2
204,0,0,0,14,class_2
2,0,0,1,14,class_2
148,0,1,0,14,class_2
124,0,2,1,14,class_2
64,0,0,1,15,class_2
34,2,0,1,15,class_2
80,2,0,1,15,class_2
214,0,0,1,15,class_2
125,2,0,1,15,class_2
300,0,0,0,15,class_2
4,2,0,0,15,class_2
135,0,0,1,15,class_2
106,2,0,1,15,class_2
199,0,1,0,15,class_2
168,2,2,1,15,class_2
45,2,4,1,16,class_2
228,0,0,1,16,class_2
257,2,0,1,16,class_2
234,0,0,1,16,class_2
9,2,0,1,16,class_2
102,2,0,0,16,class_2
112,1,0,0,16,class_2
95,0,0,1,16,class_2
193,0,0,1,16,class_2
298,2,0,1,16,class_2
181,0,0,0,16,class_2
18,2,1,0,16,class_2
122,0,4,0,17,class_2
190,0,4,1,17,class_2
142,0,0,1,17,class_2
299,0,0,0,17,class_2
76,2,0,1,17,class_2
258,2,0,1,17,class_2
177,0,0,1,17,class_2
16,0,0,1,17,class_2
97,2,0,0,17,class_2
274,2,1,1,17,class_2
